request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation,actual_ttft,absolute_error,relative_error,percent_error
70,25.375854263454887,8.22677532297333,33.602629586428215,1000008.2263328864,999999.9995575632,999974.6237033,8429,57,620693,False,48.289896,22.914041736545112,0.4745100659679431,47.45100659679431
71,25.71273508276875,8.297667975967961,34.01040305873671,1000008.256525714,999999.958857738,999974.2461226552,8352,58,629122,False,48.750713,23.03797791723125,0.4725669943992665,47.25669943992665
72,26.203172568644856,8.370093875806935,34.57326644445179,1000008.3221684668,999999.952074591,999973.7489020224,12159,59,637474,False,49.377348,23.174175431355142,0.469328069854119,46.9328069854119
73,27.341194052854775,8.596045231507324,35.9372392843621,1000008.5621770234,999999.9661317918,999972.624937739,28214,60,649633,False,51.075929,23.734734947145228,0.4646951198312071,46.46951198312071
74,28.42585187279839,8.596045231507324,37.02189710430572,1000008.5954887874,999999.9994435558,999971.5735916832,26891,61,677847,False,52.884042,24.45819012720161,0.4624871549569076,46.24871549569076
75,28.51188716824816,8.674390203119556,37.18627737136772,1000008.6029977172,999999.928607514,999971.4167203458,2133,62,704738,False,52.976428,24.46454083175184,0.4618004979828357,46.18004979828357
76,29.980981181783772,8.674390203119556,38.65537138490333,1000008.6443012158,999999.9699110128,999969.9889298308,36422,63,706871,False,55.719153,25.738171818216227,0.4619268318421177,46.192683184211766
77,30.038418716111234,8.754228889778187,38.79264760588942,1000008.6877468148,999999.9335179252,999969.8950992088,1424,64,743293,False,55.726055,25.687636283888768,0.4609627629999785,46.096276299997854
78,30.768165816569372,8.835718441569313,39.60388425813869,1000008.823304617,999999.9875861754,999969.2194203588,18092,65,744717,False,56.767142,25.998976183430628,0.45799339666299616,45.799339666299616
79,32.18498522021146,9.003413734735412,41.18839895494687,1000008.9250868782,999999.9216731436,999967.7366879232,35126,66,762809,False,59.290354,27.10536877978854,0.45716321376304386,45.716321376304386
80,32.22346514138309,9.176934053671571,41.40039919505466,1000009.1165875944,999999.9396535406,999967.7161883992,954,67,797935,False,59.149271,26.92580585861691,0.4552178818673338,45.52178818673338
81,32.86286106424747,9.26575918211184,42.12862024635931,1000009.253034808,999999.9872756258,999967.1244145615,15852,68,798889,False,59.985656,27.12279493575253,0.45215467737407977,45.21546773740798
82,33.23564034251599,9.356102013768872,42.59174235628487,1000009.3182257398,999999.962123726,999966.7264833836,9242,69,814741,False,60.426138,27.19049765748401,0.4499790745767007,44.997907457670074
83,33.75705537499567,9.541554763982134,43.29861013897781,1000009.5284905155,999999.9869357516,999966.2298803764,12927,70,823983,False,60.97587,27.218814625004327,0.4463866546718288,44.63866546718288
84,34.474984218741774,9.636780725080689,44.11176494382247,1000009.5513266566,999999.9145459316,999965.4395617128,17799,71,836910,False,62.075925,27.600940781258224,0.4446319693384871,44.46319693384871
85,34.79903839766509,9.636780725080689,44.43581912274578,1000009.5541984022,999999.9174176772,999965.1183792796,8034,72,854709,False,62.517913,27.718874602334907,0.44337491883862,44.337491883862
86,35.23276438546226,9.636780725080689,44.86954511054295,1000009.5659938116,999999.9292130864,999964.6964487012,10753,73,862743,False,63.141558,27.908793614537743,0.4420035630818255,44.20035630818255
87,35.415927196825315,9.733379891546711,45.149307088372026,1000009.7261722652,999999.9927923738,999964.5768651768,4541,74,873496,False,63.193959,27.778031803174684,0.4395678359568307,43.95678359568307
88,37.13913389734337,9.831386906636276,46.970520803979646,1000009.803630834,999999.9722439272,999962.8331100298,42722,75,878037,False,66.599772,29.46063810265663,0.44235343782643327,44.23534378264333
89,37.562655042314105,9.831386906636276,47.39404194895038,1000009.8256144036,999999.9942274968,999962.4315724544,10500,76,920759,False,67.214975,29.65231995768589,0.44115645297325323,44.11564529732532
90,38.111861128973295,9.931122528109382,48.04298365708268,1000009.912519268,999999.98139674,999961.869535611,13616,77,931259,False,67.9158,29.80393887102671,0.4388366016600954,43.88366016600954
91,40.124675621957046,10.03226019905835,50.1569358210154,1000009.9331746128,999999.9009144136,999959.7762387916,49902,78,944875,False,72.247061,32.12238537804296,0.4446185759451579,44.46185759451579
92,40.81324033298517,10.134715102653818,50.94795543563899,1000010.0821473624,999999.94743226,999959.1341919268,17071,79,994777,False,73.169207,32.35596666701483,0.4422074256868034,44.220742568680336
93,41.664074145557805,10.238969286864906,51.90304343242271,1000010.1560064522,999999.9170371653,999958.2529630197,21094,80,1011848,False,74.469402,32.8053278544422,0.4405208981595179,44.05208981595179
94,42.84448807961194,10.238969286864906,53.08345736647685,1000010.2159669894,999999.9769977024,999957.1325096228,29265,81,1032942,False,76.594368,33.74987992038806,0.4406313519081202,44.06313519081202
95,43.54846089324758,10.344767405554624,53.8932282988022,1000010.2608216654,999999.91605426,999956.3675933668,17453,82,1062207,False,77.65701,34.10854910675242,0.4392204787018251,43.92204787018251
96,46.86709191454395,10.45191618924579,57.31900810378974,1000010.3851987068,999999.9332825176,999953.066190603,82276,83,1079660,False,86.648585,39.78149308545605,0.4591130147763642,45.91130147763642
97,47.91762603080706,10.45191618924579,58.36954222005285,1000010.4413391224,999999.9894229332,999952.0717969022,26045,84,1161936,False,88.306158,40.38853196919294,0.4573693713318718,45.736937133187176
99,52.836723291274254,10.560841798953868,63.39756509022812,1000010.4685017994,999999.9076600004,999947.0709367092,1322,86,1308614,False,97.556226,44.71950270872574,0.4583972191454571,45.83972191454571
100,52.87367046925456,10.895781521343782,63.76945199059834,1000010.8435017994,999999.947720278,999947.0740498088,916,87,1309936,False,97.232472,44.35880153074544,0.45621386166902594,45.621386166902596
101,52.990037945753656,11.244083331052858,64.23412127680652,1000011.1425391196,999999.8984557884,999946.9084178428,2885,88,1310852,False,97.089954,44.09991605424635,0.454217086705452,45.4217086705452
102,53.33768830275392,11.3639762685537,64.70166457130762,1000011.292913752,999999.9289374836,999946.5912491808,8619,89,1313737,False,97.428367,44.09067869724608,0.452544572539598,45.2544572539598
103,53.4074281179591,11.3639762685537,64.7714043865128,1000011.33154739,999999.9675711212,999946.5601430034,1729,90,1322356,False,97.500472,44.0930438820409,0.4522341582309561,45.22341582309561
104,53.50536234081518,11.731296118597404,65.23665845941258,1000011.70654739,999999.9752512712,999946.4698889304,2428,91,1324085,False,97.236078,43.730715659184824,0.449737551726272,44.9737551726272
105,53.970307887298766,11.983205322398778,65.95351320969755,1000011.89510565,999999.9119003277,999945.9415924402,11527,92,1326513,False,97.787659,43.81735111270124,0.44808671728915445,44.80867172891544
106,54.014152409640026,12.111305325826324,66.12545773546636,1000012.052845704,999999.941540378,999945.9273879684,1087,93,1338040,False,97.684367,43.67021459035997,0.44705428239464323,44.705428239464325
107,54.11063455999907,12.24125362046484,66.35188818046392,1000012.1274303,999999.8861766796,999945.7755421196,2392,94,1339127,False,97.718828,43.60819344000093,0.4462619367477568,44.626193674775685
108,54.59465872567991,12.24125362046484,66.83591234614475,1000012.1671535628,999999.9258999424,999945.3312412166,12000,95,1341519,False,98.174164,43.57950527432009,0.44389993760802576,44.389993760802575
109,55.14104133803929,12.24125362046484,67.38229495850413,1000012.1798233744,999999.938569754,999944.7975284158,13546,96,1353519,False,98.501892,43.36085066196071,0.44020322637011594,44.020322637011596
110,55.6931919050397,12.50655630629898,68.19974821133869,1000012.4709425836,999999.9643862773,999944.2711943722,13689,97,1367065,False,99.01669,43.3234980949603,0.43753732926196887,43.75373292619689
111,56.35727306035381,12.640963412548924,68.99823647290273,1000012.5469919442,999999.9060285316,999943.5487554712,16464,98,1380754,False,100.026388,43.669114939646185,0.4365759457359011,43.65759457359011
113,57.61956774910229,12.640963412548924,70.26053116165122,1000012.6209073128,999999.9799439,999942.360376151,8487,100,1420026,False,100.858283,43.23871525089771,0.4287076278196974,42.87076278196974
114,57.99174199716371,12.777255324489383,70.76899732165309,1000012.7291128282,999999.9518575036,999941.9601155064,9227,101,1428513,False,101.270477,43.27873500283629,0.4273578666251991,42.73578666251991
115,58.13432744930385,12.777255324489383,70.91158277379324,1000012.7534282072,999999.9761728826,999941.8418454332,3535,102,1437740,False,101.460124,43.32579655069614,0.4270229016346968,42.702290163469684
116,58.18297187795478,13.0532884728948,71.23626035084958,1000012.996205328,999999.942916855,999941.759944977,1206,103,1441275,False,101.269648,43.086676122045226,0.42546485519575644,42.54648551957565
117,58.52662903558817,13.19370317563023,71.7203322112184,1000013.1738261628,999999.9801229872,999941.4534939516,8520,104,1442481,False,101.610949,43.08431996441183,0.42401257333411807,42.401257333411806
118,58.562809841972815,13.336019315674005,71.89882915764682,1000013.33270735,999999.9966880344,999941.4338781924,897,105,1451001,False,101.452068,42.88925815802718,0.4227539073725652,42.275390737256515
119,59.505809922760506,13.479688662067796,72.9854985848283,1000013.4034320596,999999.9237433972,999940.4179334746,23379,106,1451898,False,101.978198,42.4723880772395,0.41648498316512217,41.64849831651222
121,63.23021453628597,13.771646918448525,77.0018614547345,1000013.6364709022,999999.8648239836,999936.6346094474,5164,108,1562449,False,108.927116,45.69690146371403,0.4195181433401214,41.95181433401214
122,63.47436439252481,13.771646918448525,77.24601131097333,1000013.7676438948,999999.9959969762,999936.5216325836,6053,109,1567613,False,109.13106,45.65669560747519,0.41836573022817874,41.83657302281787
123,64.09770684722746,13.920089468854204,78.01779631608166,1000013.778671907,999999.8585824382,999935.760875591,15454,110,1573666,False,110.056441,45.95873415277255,0.4175924074518505,41.75924074518505
125,67.43860298014513,13.920089468854204,81.35869244899934,1000013.851175582,999999.9310861132,999932.4924831332,13183,112,1658765,False,110.979299,43.54069601985486,0.39233169079446845,39.233169079446846
126,67.51503846297557,14.069574117250587,81.58461258022615,1000013.9363256404,999999.8667515232,999932.3517130602,1895,113,1671948,False,110.998184,43.48314553702443,0.39174645899634203,39.1746458996342
127,67.55162262283162,14.069574117250587,81.6211967400822,1000013.9863594456,999999.9167853284,999932.3651627057,907,114,1673843,False,111.000556,43.44893337716839,0.39142987155098924,39.14298715509892
128,67.58776309386911,14.069574117250587,81.6573372111197,1000014.0058716282,999999.936297511,999932.3485344172,896,115,1674750,False,110.981044,43.39328090613088,0.39099723107786666,39.099723107786666
129,68.6829484394163,14.069574117250587,82.75252255666688,1000014.0195152228,999999.9499411056,999931.2669926664,27152,116,1675646,False,112.918301,44.235352560583706,0.39174652973731605,39.174652973731604
130,68.93810984542436,14.220372475580684,83.15848232100505,1000014.1302489244,999999.9098764488,999930.9717666034,6326,117,1702798,False,113.135205,44.197095154575635,0.3906573126780089,39.06573126780089
131,69.02515352455264,14.220372475580684,83.24552600013332,1000014.153629456,999999.9332569804,999930.908103456,2158,118,1709124,False,113.213777,44.18862347544736,0.39031136180049325,39.03113618004932
132,69.47868416779558,14.527126563130636,84.00581073092621,1000014.4776132096,999999.9504866464,999930.4718024784,11244,119,1711282,False,113.583545,44.10486083220442,0.38830326023196776,38.830326023196776
133,70.10057455000117,14.6830399212346,84.78361447123577,1000014.5863669956,999999.9033270744,999929.8027525244,15418,120,1722526,False,114.393805,44.29323044999883,0.38719955551787816,38.71995555178781
134,70.22254863975274,14.6830399212346,84.90558856098734,1000014.639614344,999999.9565744228,999929.7340257833,3024,121,1737944,False,114.494275,44.27172636024726,0.3866719655655032,38.66719655655032
135,71.72092611531205,14.839771915455897,86.56069803076795,1000014.7513435344,999999.911571619,999928.1906455036,37148,122,1740968,False,117.566732,45.84580588468795,0.3899556031266391,38.99556031266391
136,71.75779262259807,14.839771915455897,86.59756453805397,1000014.754227022,999999.9144551066,999928.156662484,914,123,1778116,False,117.905751,46.14795837740192,0.3913970097811592,39.13970097811592
137,72.61608847439162,15.15788576818314,87.77397424257475,1000015.129227022,999999.9713412538,999927.3552527794,21279,124,1779030,False,118.074688,45.45859952560838,0.38499868427014927,38.499868427014924
