cdf,batch_num_tokens,replica
0.0,0.9900000000000001,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,0.9900000000000001,0
0.08,0.9900000000000001,0
0.09,1.993661701417351,0
0.1,1.993661701417351,0
0.11,1.993661701417351,0
0.12,1.993661701417351,0
0.13,1.993661701417351,0
0.14,1.993661701417351,0
0.15,1.993661701417351,0
0.16,1.993661701417351,0
0.17,1.993661701417351,0
0.18,1.993661701417351,0
0.19,2.974233423476717,0
0.2,2.974233423476717,0
0.21,4.014835333028612,0
0.22,5.002829575110743,0
0.23,5.002829575110743,0
0.24,5.98951037117267,0
0.25,7.028793021534833,0
0.26,7.028793021534833,0
0.27,7.028793021534833,0
0.28,7.028793021534833,0
0.29,7.924973703917148,0
0.3,7.924973703917148,0
0.31,7.924973703917148,0
0.32,7.924973703917148,0
0.33,7.924973703917148,0
0.34,7.924973703917148,0
0.35000000000000003,7.924973703917148,0
0.36,8.935418643763667,0
0.37,8.935418643763667,0
0.38,8.935418643763667,0
0.39,8.935418643763667,0
0.4,10.074696689511441,0
0.41000000000000003,10.074696689511441,0
0.42,10.074696689511441,0
0.43,10.074696689511441,0
0.44,10.074696689511441,0
0.45,10.074696689511441,0
0.46,10.913817739716958,0
0.47000000000000003,10.913817739716958,0
0.48,12.06167417903937,0
0.49,13.066290498147941,0
0.5,13.066290498147941,0
0.51,13.874292528934198,0
0.52,13.874292528934198,0
0.53,15.029881751769887,0
0.54,15.029881751769887,0
0.55,15.029881751769887,0
0.56,15.959309654787097,0
0.5700000000000001,15.959309654787097,0
0.58,15.959309654787097,0
0.59,15.959309654787097,0
0.6,15.959309654787097,0
0.61,16.94621214351123,0
0.62,16.94621214351123,0
0.63,17.994143369901202,0
0.64,223.66073809127272,0
0.65,507.8355509801901,0
0.66,507.8355509801901,0
0.67,507.8355509801901,0
0.68,507.8355509801901,0
0.6900000000000001,507.8355509801901,0
0.7000000000000001,507.8355509801901,0
0.71,507.8355509801901,0
0.72,507.8355509801901,0
0.73,507.8355509801901,0
0.74,507.8355509801901,0
0.75,507.8355509801901,0
0.76,507.8355509801901,0
0.77,507.8355509801901,0
0.78,507.8355509801901,0
0.79,507.8355509801901,0
0.8,507.8355509801901,0
0.81,507.8355509801901,0
0.8200000000000001,507.8355509801901,0
0.8300000000000001,507.8355509801901,0
0.84,507.8355509801901,0
0.85,507.8355509801901,0
0.86,507.8355509801901,0
0.87,507.8355509801901,0
0.88,507.8355509801901,0
0.89,507.8355509801901,0
0.9,507.8355509801901,0
0.91,507.8355509801901,0
0.92,507.8355509801901,0
0.93,507.8355509801901,0
0.9400000000000001,507.8355509801901,0
0.9500000000000001,507.8355509801901,0
0.96,507.8355509801901,0
0.97,507.8355509801901,0
0.98,507.8355509801901,0
0.99,507.8355509801901,0
1.0,507.8355509801901,0
