cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.9900000000000001,0
0.09,0.9900000000000001,0
0.1,0.9900000000000001,0
0.11,0.9900000000000001,0
0.12,0.9900000000000001,0
0.13,0.9900000000000001,0
0.14,1.993661701417351,0
0.15,1.993661701417351,0
0.16,1.993661701417351,0
0.17,1.993661701417351,0
0.18,1.993661701417351,0
0.19,1.993661701417351,0
0.2,1.993661701417351,0
0.21,2.974233423476717,0
0.22,2.974233423476717,0
0.23,2.974233423476717,0
0.24,4.014835333028612,0
0.25,4.014835333028612,0
0.26,4.014835333028612,0
0.27,4.014835333028612,0
0.28,4.014835333028612,0
0.29,4.014835333028612,0
0.3,4.014835333028612,0
0.31,4.014835333028612,0
0.32,4.014835333028612,0
0.33,4.014835333028612,0
0.34,5.002829575110743,0
0.35000000000000003,5.002829575110743,0
0.36,5.002829575110743,0
0.37,5.002829575110743,0
0.38,5.002829575110743,0
0.39,5.002829575110743,0
0.4,5.002829575110743,0
0.41000000000000003,5.002829575110743,0
0.42,5.002829575110743,0
0.43,5.002829575110743,0
0.44,5.002829575110743,0
0.45,5.002829575110743,0
0.46,5.002829575110743,0
0.47000000000000003,5.002829575110743,0
0.48,5.002829575110743,0
0.49,5.002829575110743,0
0.5,5.002829575110743,0
0.51,5.002829575110743,0
0.52,5.002829575110743,0
0.53,5.002829575110743,0
0.54,5.002829575110743,0
0.55,5.002829575110743,0
0.56,5.98951037117267,0
0.5700000000000001,5.98951037117267,0
0.58,5.98951037117267,0
0.59,5.98951037117267,0
0.6,5.98951037117267,0
0.61,5.98951037117267,0
0.62,5.98951037117267,0
0.63,5.98951037117267,0
0.64,5.98951037117267,0
0.65,5.98951037117267,0
0.66,5.98951037117267,0
0.67,5.98951037117267,0
0.68,5.98951037117267,0
0.6900000000000001,5.98951037117267,0
0.7000000000000001,5.98951037117267,0
0.71,5.98951037117267,0
0.72,5.98951037117267,0
0.73,5.98951037117267,0
0.74,5.98951037117267,0
0.75,5.98951037117267,0
0.76,5.98951037117267,0
0.77,5.98951037117267,0
0.78,5.98951037117267,0
0.79,5.98951037117267,0
0.8,5.98951037117267,0
0.81,5.98951037117267,0
0.8200000000000001,7.028793021534833,0
0.8300000000000001,7.028793021534833,0
0.84,7.028793021534833,0
0.85,7.028793021534833,0
0.86,7.028793021534833,0
0.87,7.028793021534833,0
0.88,7.028793021534833,0
0.89,7.028793021534833,0
0.9,7.028793021534833,0
0.91,7.028793021534833,0
0.92,7.924973703917148,0
0.93,7.924973703917148,0
0.9400000000000001,7.924973703917148,0
0.9500000000000001,7.924973703917148,0
0.96,7.924973703917148,0
0.97,7.924973703917148,0
0.98,7.924973703917148,0
0.99,7.924973703917148,0
1.0,7.924973703917148,0
