cdf,batch_size,replica
0.0,0.9900000000000001,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,1.993661701417351,0
0.08,1.993661701417351,0
0.09,1.993661701417351,0
0.1,1.993661701417351,0
0.11,1.993661701417351,0
0.12,1.993661701417351,0
0.13,1.993661701417351,0
0.14,2.974233423476717,0
0.15,2.974233423476717,0
0.16,2.974233423476717,0
0.17,2.974233423476717,0
0.18,2.974233423476717,0
0.19,2.974233423476717,0
0.2,2.974233423476717,0
0.21,4.014835333028612,0
0.22,4.014835333028612,0
0.23,5.002829575110743,0
0.24,5.002829575110743,0
0.25,5.002829575110743,0
0.26,5.002829575110743,0
0.27,5.002829575110743,0
0.28,5.002829575110743,0
0.29,5.002829575110743,0
0.3,5.002829575110743,0
0.31,5.002829575110743,0
0.32,5.002829575110743,0
0.33,5.98951037117267,0
0.34,5.98951037117267,0
0.35000000000000003,5.98951037117267,0
0.36,5.98951037117267,0
0.37,5.98951037117267,0
0.38,5.98951037117267,0
0.39,5.98951037117267,0
0.4,5.98951037117267,0
0.41000000000000003,5.98951037117267,0
0.42,5.98951037117267,0
0.43,5.98951037117267,0
0.44,5.98951037117267,0
0.45,5.98951037117267,0
0.46,5.98951037117267,0
0.47000000000000003,5.98951037117267,0
0.48,5.98951037117267,0
0.49,5.98951037117267,0
0.5,5.98951037117267,0
0.51,5.98951037117267,0
0.52,5.98951037117267,0
0.53,5.98951037117267,0
0.54,5.98951037117267,0
0.55,5.98951037117267,0
0.56,7.028793021534833,0
0.5700000000000001,7.028793021534833,0
0.58,7.028793021534833,0
0.59,7.028793021534833,0
0.6,7.028793021534833,0
0.61,7.028793021534833,0
0.62,7.028793021534833,0
0.63,7.028793021534833,0
0.64,7.028793021534833,0
0.65,7.028793021534833,0
0.66,7.028793021534833,0
0.67,7.028793021534833,0
0.68,7.028793021534833,0
0.6900000000000001,7.028793021534833,0
0.7000000000000001,7.028793021534833,0
0.71,7.028793021534833,0
0.72,7.028793021534833,0
0.73,7.028793021534833,0
0.74,7.028793021534833,0
0.75,7.028793021534833,0
0.76,7.028793021534833,0
0.77,7.028793021534833,0
0.78,7.028793021534833,0
0.79,7.028793021534833,0
0.8,7.028793021534833,0
0.81,7.924973703917148,0
0.8200000000000001,7.924973703917148,0
0.8300000000000001,7.924973703917148,0
0.84,7.924973703917148,0
0.85,7.924973703917148,0
0.86,7.924973703917148,0
0.87,7.924973703917148,0
0.88,7.924973703917148,0
0.89,7.924973703917148,0
0.9,7.924973703917148,0
0.91,8.935418643763667,0
0.92,8.935418643763667,0
0.93,8.935418643763667,0
0.9400000000000001,8.935418643763667,0
0.9500000000000001,8.935418643763667,0
0.96,8.935418643763667,0
0.97,8.935418643763667,0
0.98,8.935418643763667,0
0.99,8.935418643763667,0
1.0,8.935418643763667,0
