cdf,batch_execution_time,replica
0.0,0.021275941673373044,0
0.01,0.02214425885216595,0
0.02,0.023048013932348215,0
0.03,0.023048013932348215,0
0.04,0.023048013932348215,0
0.05,0.02351363037542594,0
0.06,0.02351363037542594,0
0.07,0.02351363037542594,0
0.08,0.02351363037542594,0
0.09,0.023988653211293134,0
0.1,0.023988653211293134,0
0.11,0.023988653211293134,0
0.12,0.023988653211293134,0
0.13,0.023988653211293134,0
0.14,0.024473272468086938,0
0.15,0.024473272468086938,0
0.16,0.024473272468086938,0
0.17,0.024473272468086938,0
0.18,0.024967682012896775,0
0.19,0.024967682012896775,0
0.2,0.024967682012896775,0
0.21,0.024967682012896775,0
0.22,0.024967682012896775,0
0.23,0.025472079629318932,0
0.24,0.025472079629318932,0
0.25,0.025472079629318932,0
0.26,0.025472079629318932,0
0.27,0.025472079629318932,0
0.28,0.025986667096577903,0
0.29,0.025986667096577903,0
0.3,0.025986667096577903,0
0.31,0.025986667096577903,0
0.32,0.025986667096577903,0
0.33,0.026511650270246143,0
0.34,0.026511650270246143,0
0.35000000000000003,0.026511650270246143,0
0.36,0.026511650270246143,0
0.37,0.026511650270246143,0
0.38,0.027047239164594554,0
0.39,0.027047239164594554,0
0.4,0.027047239164594554,0
0.41000000000000003,0.027047239164594554,0
0.42,0.027047239164594554,0
0.43,0.027047239164594554,0
0.44,0.027593648036606563,0
0.45,0.027593648036606563,0
0.46,0.027593648036606563,0
0.47000000000000003,0.027593648036606563,0
0.48,0.027593648036606563,0
0.49,0.02815109547168953,0
0.5,0.02815109547168953,0
0.51,0.02815109547168953,0
0.52,0.02815109547168953,0
0.53,0.028719804471117598,0
0.54,0.028719804471117598,0
0.55,0.028719804471117598,0
0.56,0.028719804471117598,0
0.5700000000000001,0.028719804471117598,0
0.58,0.028719804471117598,0
0.59,0.02930000254124119,0
0.6,0.02930000254124119,0
0.61,0.02989192178449859,0
0.62,0.02989192178449859,0
0.63,0.02989192178449859,0
0.64,0.030495798992266235,0
0.65,0.030495798992266235,0
0.66,0.030495798992266235,0
0.67,0.031111875739584745,0
0.68,0.031111875739584745,0
0.6900000000000001,0.031111875739584745,0
0.7000000000000001,0.03174039848179858,0
0.71,0.03174039848179858,0
0.72,0.03174039848179858,0
0.73,0.03174039848179858,0
0.74,0.03238161865314803,0
0.75,0.033035792767353044,0
0.76,0.033035792767353044,0
0.77,0.03370318252022886,0
0.78,0.03370318252022886,0
0.79,0.0343840548943749,0
0.8,0.0343840548943749,0
0.81,0.03507868226597844,0
0.8200000000000001,0.03507868226597844,0
0.8300000000000001,0.03578734251377598,0
0.84,0.0365103191302159,0
0.85,0.0365103191302159,0
0.86,0.037247901334866725,0
0.87,0.037247901334866725,0
0.88,0.03800038419011656,0
0.89,0.03800038419011656,0
0.9,0.038768068719209826,0
0.91,0.038768068719209826,0
0.92,0.039551262026668615,0
0.93,0.039551262026668615,0
0.9400000000000001,0.040350277421146774,0
0.9500000000000001,0.040350277421146774,0
0.96,0.0411654345407659,0
0.97,0.0411654345407659,0
0.98,0.041997059480983395,0
0.99,0.04284548492504366,0
1.0,0.044594101797813514,0
