cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.009617961800371621
0.02,0.010802140238137317
0.03,0.012345406894456547
0.04,0.013316034420149654
0.05,0.014802815190649908
0.06,0.016222202266629536
0.07,0.017248983526154536
0.08,0.017855436861260784
0.09,0.01904933673921925
0.1,0.020228779748048858
0.11,0.021665740710120594
0.12,0.022269070008533468
0.13,0.02331014343823216
0.14,0.02448225048956684
0.15,0.025726159748799417
0.16,0.02635437037461293
0.17,0.026640167887925247
0.18,0.02695368241490405
0.19,0.027243223668958334
0.2,0.02779981580770789
0.21,0.028750973060374954
0.22,0.029107468877610298
0.23,0.029669014941046287
0.24,0.029829788328194176
0.25,0.030315253055228787
0.26,0.030491467462668904
0.27,0.030902045308082104
0.28,0.031048708555443102
0.29,0.03121385479353271
0.3,0.031366709164777934
0.31,0.0315289255815919
0.32,0.031779877897018284
0.33,0.03192421217951597
0.34,0.03206588183359806
0.35000000000000003,0.03219270052001879
0.36,0.03224712679097598
0.37,0.03237798060421151
0.38,0.03245597183101138
0.39,0.032603892461068845
0.4,0.03277210815964481
0.41000000000000003,0.032903242698659546
0.42,0.033166576418572104
0.43,0.03330508416094376
0.44,0.03334959886865965
0.45,0.03351779029628763
0.46,0.03376601287337869
0.47000000000000003,0.0338787626750235
0.48,0.03399561953095434
0.49,0.03424113779782664
0.5,0.03436947259253973
0.51,0.03458003954227356
0.52,0.034663100781403236
0.53,0.034798327636931886
0.54,0.03492950883060734
0.55,0.03503415824094737
0.56,0.03508983965954227
0.5700000000000001,0.035338601388005854
0.58,0.03565478444626027
0.59,0.035974003848809506
0.6,0.036280353281859176
0.61,0.03650639360641569
0.62,0.0367434699569522
0.63,0.03687683509969145
0.64,0.0371595657025898
0.65,0.03738233722760984
0.66,0.03758860257094663
0.67,0.03767201181784779
0.68,0.037900609824464776
0.6900000000000001,0.0380365524107606
0.7000000000000001,0.03815463773467743
0.71,0.03822958321485984
0.72,0.03847621988883504
0.73,0.038663713254258894
0.74,0.039197554766218286
0.75,0.039412031048953834
0.76,0.03977962684752723
0.77,0.03997016060312032
0.78,0.0403319560329325
0.79,0.04069595516821118
0.8,0.040888549629253375
0.81,0.041085844073208456
0.8200000000000001,0.04147259335660889
0.8300000000000001,0.04215913089859447
0.84,0.04283033225926989
0.85,0.04338767303777348
0.86,0.0439338365556168
0.87,0.04453064529373435
0.88,0.04518658848649134
0.89,0.045633200955955966
0.9,0.04612700363406993
0.91,0.046643274261818954
0.92,0.046960918586676365
0.93,0.04736536951051421
0.9400000000000001,0.04795136153354333
0.9500000000000001,0.04899818608506911
0.96,0.05018992019644177
0.97,0.05111538749180412
0.98,0.05166229430013597
0.99,0.05388942432853159
1.0,0.06246382752560607
