cdf,request_execution_time_normalized
0.0,0.010157714186560654
0.01,0.011819812555266042
0.02,0.013097935941416512
0.03,0.014675763488861796
0.04,0.016824575485918376
0.05,0.017969674276003336
0.06,0.019104792288544434
0.07,0.0206857640266115
0.08,0.023523220004874876
0.09,0.025154037958172427
0.1,0.026038452711213796
0.11,0.028365097695303803
0.12,0.02939271849015602
0.13,0.030335833249613923
0.14,0.03131251263369217
0.15,0.032070681566500135
0.16,0.03233505374067249
0.17,0.03272812559371519
0.18,0.033046774304759496
0.19,0.033395187394893014
0.2,0.03351546228694402
0.21,0.03371580683453116
0.22,0.03386124333207793
0.23,0.03409307088439915
0.24,0.03417584292876719
0.25,0.03434896904798356
0.26,0.03451183744293574
0.27,0.03468769776829564
0.28,0.03485339518959175
0.29,0.035131334091613474
0.3,0.03530308295379983
0.31,0.03547345701419915
0.32,0.03566484869827761
0.33,0.03601607181136905
0.34,0.036145531072169175
0.35000000000000003,0.036301421869193835
0.36,0.03648177648026127
0.37,0.036825496561021055
0.38,0.03698966580001163
0.39,0.037248082637668975
0.4,0.03748988144347533
0.41000000000000003,0.03763920623664779
0.42,0.03790186067834585
0.43,0.03805961227815286
0.44,0.03824867326189724
0.45,0.038368973686092475
0.46,0.038465289818342144
0.47000000000000003,0.038526600486585044
0.48,0.03882352176090541
0.49,0.03907780950836961
0.5,0.03927880225305947
0.51,0.039350610579774174
0.52,0.03955087272984956
0.53,0.039868852073790116
0.54,0.040039400288201084
0.55,0.04015399499578118
0.56,0.04042455825730238
0.5700000000000001,0.04064699560113144
0.58,0.04081105369643226
0.59,0.04106912127288142
0.6,0.041320231910843754
0.61,0.041679101964778704
0.62,0.04188548427854557
0.63,0.04215936962655081
0.64,0.042518425491722564
0.65,0.04291818044272063
0.66,0.04363872441138455
0.67,0.044361459594357874
0.68,0.04518366830231596
0.6900000000000001,0.045384420997685464
0.7000000000000001,0.04563452243787941
0.71,0.045970293953985185
0.72,0.046511131372512074
0.73,0.04674807289739086
0.74,0.047132505041471116
0.75,0.04728379607679269
0.76,0.04764023543069551
0.77,0.04804840485989775
0.78,0.04856794071213528
0.79,0.048737215708052124
0.8,0.04922662873056436
0.81,0.05002609438941666
0.8200000000000001,0.050597186834850774
0.8300000000000001,0.05125643143222292
0.84,0.0516930961132093
0.85,0.05233318781017675
0.86,0.05340497118338011
0.87,0.054059817322626436
0.88,0.054955827407804726
0.89,0.056406666801980025
0.9,0.05730919969468407
0.91,0.058217081583322144
0.92,0.06233202652366287
0.93,0.0644566614375997
0.9400000000000001,0.07118707627443718
0.9500000000000001,0.08306778112163642
0.96,0.09988866441465709
0.97,0.12066234974370676
0.98,0.25220919720800367
0.99,0.47153095360390096
1.0,1.4776673669200544
