Request Id,prefill_e2e_time_normalized
8,4.833255284781654e-05
18,0.00019801230465638504
9,4.422204354847441e-05
14,0.00013498652559850406
30,0.0009748565847154168
32,0.00025913135922134636
40,0.0004961177031440892
28,0.00011066152224582084
37,0.00042244593120249714
60,0.00010431110223674244
20,2.976573611146667e-05
4,4.7701195572498974e-05
12,5.128538617300995e-05
7,4.30255993776906e-05
48,0.00010476609333281375
17,0.00016656060335341368
5,4.791106587723708e-05
88,0.0005630121533021725
49,0.00023578993595921465
56,0.00011948339225739925
38,9.110782032371014e-05
61,0.001352099324623054
36,0.00033551776341912736
29,8.06481016039468e-05
24,6.486666936492786e-05
92,0.0004684452527778079
68,0.00012753973422839656
41,0.002322974039916213
46,0.00020629408840651286
45,0.00028468575407580106
77,0.0003231793687413103
16,4.7230336313735345e-05
10,6.285968527001989e-05
19,0.0011130937124103092
21,6.904247983197768e-05
52,0.0001480008973000615
25,9.795169669287965e-05
26,0.0003171175847775538
112,0.0005428457528353148
69,0.001916177170459068
80,0.0021757103670667945
13,5.862485577128112e-05
11,6.472226716247721e-05
67,0.008759996159473512
71,0.0005747295381424441
53,0.00025592153743341943
98,0.0007506488006768446
106,0.00561745042849021
44,0.00047329156496773935
62,0.0018930199654594428
64,0.00012070988799110172
50,0.0003396061007759142
23,0.0006786599608516149
15,0.0001248937022831753
83,0.011181690964683457
6,4.821333018969899e-05
70,0.0017642249564443168
78,0.0021491911017270733
42,0.0005986113461495233
34,0.0006324755566848072
58,0.0003489995207260483
35,0.0007337143853617843
72,0.00041286114320839186
120,0.00084120342690013
74,0.0006684485488063459
152,0.001885403147683632
47,0.007535695193715548
51,0.00809306241721996
65,0.0008802236346688651
33,0.00037692648286574655
140,0.0005122863889760609
116,0.0008523948282021703
132,0.0003546391901813351
108,0.0005895747873150466
75,0.0011206796568759708
76,0.00014839595083921623
142,0.006672561173801639
90,0.0016598558456411593
114,0.0007458464958182532
55,0.0014459184566703261
54,0.0001335068939523047
66,0.0004137492411164045
39,0.0007287967610085183
84,0.00028408918895073484
118,0.003128355380697285
154,0.0017276020136752846
162,0.011457587179083413
96,0.0002886083208172255
200,0.0013702993545160358
86,0.0006204624292550657
150,0.01062818950578829
79,0.000455173695269046
100,0.000290653346452321
63,0.008853179323727109
124,0.0013054312336200058
82,0.00022835728422204834
174,0.0021818704016911684
73,0.0008215753387225663
138,0.00034421037049279986
104,0.0021115808725529314
160,0.004793255748570944
43,0.004836179109649931
22,0.00011739310131931885
176,0.0010730458314023568
59,0.00045951687792958654
148,0.0004805280298621888
81,0.0005252948673595582
156,0.0010972317940405043
128,0.0005861588825638416
144,0.0031328106906828843
168,0.0035393748251644048
57,0.00030218266798456085
244,0.0017271951916049463
136,0.0006421384627491553
184,0.0007501157353206849
87,0.0009366131853180688
192,0.0011725870621513497
133,0.00413057018468568
126,0.0009058178329590548
170,0.0008279194565976016
188,0.008015587045880117
232,0.0009004363277392211
208,0.008094518111011067
260,0.0011692244721929967
125,0.004287102380656675
31,0.0018342472974434562
93,0.0007546676780571032
169,0.0020343710930550494
97,0.00042011330927488707
137,0.00789033316457666
158,0.011287231894162144
117,0.0029559892217077494
256,0.0074655235481565375
94,0.00025057793157501985
102,0.007271683544228578
180,0.00750446715524347
89,0.0009045291002204811
85,0.0010069405856177184
130,0.010064681615002572
172,0.0006464963453683422
189,0.0013907197116888495
27,0.0009603596985677384
202,0.0016412362188726233
212,0.0020543434301341476
110,0.004111059923885545
296,0.012300735762705552
113,0.0020050409045034713
161,0.0038345314396095592
146,0.001250169966694475
123,0.0004531833878599673
91,0.00047323696626220776
103,0.02085390718883839
164,0.004858937571244369
95,0.0012099759327578866
194,0.014929403950116042
228,0.006393002843696529
264,0.0030880414859480016
252,0.0016969646110042737
204,0.005681647398232651
119,0.01753108999205557
122,0.0005780115116320469
166,0.011310249440862888
134,0.005340686938028921
308,0.0018416986565685611
210,0.003039100189749515
224,0.0007181847841324613
178,0.010847642026124824
272,0.0004296982220818594
216,0.0006754806190538406
248,0.000756326018830251
157,0.002737425676941187
141,0.003331406733513683
220,0.008031481863474034
240,0.0015780558777756556
196,0.000711817990160758
109,0.017537944283648216
129,0.011657488498413228
230,0.005145364193448144
153,0.004816266305027333
234,0.023708578769342976
238,0.005107781688828912
292,0.013884378960219898
101,0.00024010412065355354
186,0.005193093985250615
145,0.0172314725026359
105,0.003148636098159733
280,0.001439892853320485
190,0.0026985888680647937
316,0.0011089333263201268
182,0.0002764169414082622
226,0.0007497530047253427
121,0.02004110844447684
236,0.0005529469662015
250,0.022801475583047893
181,0.0019266270619392855
300,0.0008077720973658085
336,0.0016539244224830607
107,0.009880292051682985
173,0.0012586100740567875
115,0.0013062128090817128
284,0.005503720139351733
177,0.002254167298531846
111,0.002342745156920174
242,0.004834347812627173
288,0.014151132112401056
225,0.0015160813735543783
163,0.007889457064703198
254,0.020518257175246326
185,0.0026492235266741366
312,0.0007992370169803466
159,0.0025518669025552123
99,0.0003649249164608338
198,0.012843972465588832
356,0.0010919928965641517
155,0.017814543526117967
276,0.000547200143661961
328,0.003094158684541846
165,0.013990209565602131
206,0.003952319224858619
222,0.004347855768536734
304,0.00376576765989694
171,0.034595424873945194
282,0.0009070197789815391
262,0.01340050495973755
266,0.0012115811266922283
332,0.0006253974754588906
214,0.0008041136370546138
360,0.00565103779617392
193,0.0005080718184207139
127,0.0006620509581949213
139,0.03247197464624985
324,0.0022847943880345287
344,0.01953637896570743
246,0.017272022104922225
368,0.005145833942648664
348,0.018919804808116628
131,0.032911292436435
340,0.0009591248776251726
352,0.013517183711237503
396,0.0037397077453143164
221,0.0027110469869063066
135,0.003957958234719066
420,0.012671537649293985
201,0.0021885246025462562
372,0.0028202295559977032
258,0.0018843501454662284
416,0.004308271289378712
209,0.005615555440743331
191,0.03247475477010148
149,0.019123560485439103
320,0.002364912266296398
167,0.00413683136199665
179,0.0060622251349586875
213,0.005113654710705508
364,0.0011568759791338314
151,0.007874190337695744
143,0.031364113304360015
388,0.0053127813728691764
187,0.01083795456310977
274,0.011639499050744032
376,0.004490475720433107
314,0.021900920494633283
278,0.004160314600001197
229,0.0018316219488691595
322,0.0032959773694688317
218,0.0033729662652250384
217,0.0026113155024231833
147,0.0011668468228512138
380,0.019516829858657898
424,0.001410983216080598
175,0.023617119796890424
464,0.0034447928815122685
326,0.008403411393432234
261,0.041866443580231845
199,0.02644455607765009
392,0.0030456106291898684
286,0.008069125390322058
205,0.0037814793021207745
237,0.008127411421781177
289,0.008544538087589808
211,0.0015036997906801792
233,0.00905529670721637
432,0.0011589139725732265
448,0.005123691535460021
476,0.001332427432831843
404,0.0012905686470338898
281,0.042160639802980855
