cdf,prefill_time_execution_plus_preemption_normalized,replica
0.77,6.942396355251309e-05,1
0.78,6.976341473788968e-05,1
0.79,7.001296122860556e-05,1
0.8,7.024536403561002e-05,1
0.81,7.03521208442928e-05,1
0.8200000000000001,7.057762869272368e-05,1
0.8300000000000001,7.131407819215146e-05,1
0.84,7.178332572847903e-05,1
0.85,7.215247450038623e-05,1
0.86,7.235470484875634e-05,1
0.87,7.276995618550922e-05,1
0.88,7.317179635362838e-05,1
0.89,7.347215619249095e-05,1
0.9,7.499539064750045e-05,1
0.91,7.672981700423425e-05,1
0.92,7.76624178443547e-05,1
0.93,8.085958772244842e-05,1
0.9400000000000001,8.33926226874464e-05,1
0.9500000000000001,9.796073520328686e-05,1
0.96,0.00010752836679952362,1
0.97,0.00010976455748633596,1
0.98,0.00011455868658881444,1
0.99,0.00011813829588041336,1
1.0,0.00013919109000716916,1
0.0,4.1643507575913965e-05,2
0.01,4.689509551292942e-05,2
0.02,4.7824317770196314e-05,2
0.03,4.847554446243992e-05,2
0.04,4.92635012602817e-05,2
0.05,5.003647830121981e-05,2
0.06,5.13064225577846e-05,2
0.07,5.2241354581460585e-05,2
0.08,5.250454817310453e-05,2
0.09,5.303534730273355e-05,2
0.1,5.36683951726836e-05,2
0.11,5.4774956148810275e-05,2
0.12,5.523403719939375e-05,2
0.13,5.538053479353409e-05,2
0.14,5.571563316772653e-05,2
0.15,5.5816466448092894e-05,2
0.16,5.584291841910151e-05,2
0.17,5.585438617438976e-05,2
0.18,5.6105372296891055e-05,2
0.19,5.652580075324296e-05,2
0.2,5.6617879232126053e-05,2
0.21,5.677752703044429e-05,2
0.22,5.695801568854291e-05,2
0.23,5.7048858575945345e-05,2
0.24,5.710909625012471e-05,2
0.25,5.721731968703607e-05,2
0.26,5.7360349822742605e-05,2
0.27,5.7847464427496606e-05,2
0.28,5.794743549564306e-05,2
0.29,5.822803373077682e-05,2
0.3,5.838908003057684e-05,2
0.31,5.868502437942219e-05,2
0.32,5.894993775037896e-05,2
0.33,5.915925626477869e-05,2
0.34,5.9334216006195594e-05,2
0.35000000000000003,5.934336538907412e-05,2
0.36,5.9364417258684116e-05,2
0.37,5.959658377562295e-05,2
0.38,5.962547451863045e-05,2
0.39,5.969720126696609e-05,2
0.4,5.976020961307006e-05,2
0.41000000000000003,6.000708102497228e-05,2
0.42,6.011595425532938e-05,2
0.43,6.0258894969833355e-05,2
0.44,6.039149360436366e-05,2
0.45,6.0457295657041446e-05,2
0.46,6.0660475923613634e-05,2
0.47000000000000003,6.079058937909971e-05,2
0.48,6.1285876237087e-05,2
0.49,6.143238490726847e-05,2
0.5,6.154567273923103e-05,2
0.51,6.164643751154717e-05,2
0.52,6.172833508144586e-05,2
0.53,6.199614723722786e-05,2
0.54,6.230719030201458e-05,2
0.55,6.268084823245555e-05,2
0.56,6.278182286525824e-05,2
0.5700000000000001,6.293963038140502e-05,2
0.58,6.31105657357692e-05,2
0.59,6.320668091219554e-05,2
0.6,6.330261074478994e-05,2
0.61,6.349615501798898e-05,2
0.62,6.37615405727984e-05,2
0.63,6.453353502988326e-05,2
0.64,6.458887619796581e-05,2
0.65,6.47316525741069e-05,2
0.66,6.497915392755087e-05,2
0.67,6.510264052533933e-05,2
0.68,6.520108491258098e-05,2
0.6900000000000001,6.545931281001229e-05,2
0.7000000000000001,6.588313113386836e-05,2
0.71,6.66914690785404e-05,2
0.72,6.684695001187703e-05,2
0.73,6.701955499905368e-05,2
0.74,6.713825172937223e-05,2
0.75,6.722154124885021e-05,2
0.76,6.736993005168635e-05,2
0.77,6.74493687648698e-05,2
0.78,6.777252975991226e-05,2
0.79,6.801208255828216e-05,2
0.8,6.859876618428286e-05,2
0.81,6.889106796956838e-05,2
0.8200000000000001,6.91091270219023e-05,2
0.8300000000000001,6.98246471451781e-05,2
0.84,7.133462141097135e-05,2
0.85,7.232313000977361e-05,2
0.86,7.406375777042326e-05,2
0.87,7.53816582030982e-05,2
0.88,7.673583881734229e-05,2
0.89,7.865870664125445e-05,2
0.9,7.903071381065038e-05,2
0.91,8.00571210484208e-05,2
0.92,8.431310089310361e-05,2
0.93,8.634418339395803e-05,2
0.9400000000000001,8.779386916326671e-05,2
0.9500000000000001,8.969172085380897e-05,2
0.96,9.078517098650607e-05,2
0.97,0.0001004997479288729,2
0.98,0.00013126955858555056,2
0.99,0.00013668081041393745,2
1.0,0.00013877982138428145,2
0.0,4.30255993776906e-05,3
0.01,4.861238732680256e-05,3
0.02,4.951127159976971e-05,3
0.03,4.991855694650465e-05,3
0.04,5.0819130779523206e-05,3
0.05,5.195747172242741e-05,3
0.06,5.244700533878543e-05,3
0.07,5.308009115131825e-05,3
0.08,5.338221401525095e-05,3
0.09,5.387597544043408e-05,3
0.1,5.412620681320166e-05,3
0.11,5.433335806588062e-05,3
0.12,5.500152260003941e-05,3
0.13,5.552111266469906e-05,3
0.14,5.562718274153943e-05,3
0.15,5.5989520616553864e-05,3
0.16,5.617952785297892e-05,3
0.17,5.634055835869372e-05,3
0.18,5.648142789891741e-05,3
0.19,5.671304888521398e-05,3
0.2,5.678737666881171e-05,3
0.21,5.726028459885569e-05,3
0.22,5.758088886449686e-05,3
0.23,5.785980599077237e-05,3
0.24,5.823057327100125e-05,3
0.25,5.865689614879708e-05,3
0.26,5.8705778055971594e-05,3
0.27,5.889686937918327e-05,3
0.28,5.8939231814574134e-05,3
0.29,5.904342221863115e-05,3
0.3,5.9275617041008e-05,3
0.31,5.9533618538126074e-05,3
0.32,5.985988884220962e-05,3
0.33,6.0045823709927854e-05,3
0.34,6.0108599052902256e-05,3
0.35000000000000003,6.020801136285891e-05,3
0.36,6.039401552890805e-05,3
0.37,6.053581593603832e-05,3
0.38,6.066104896096276e-05,3
0.39,6.0883204425466565e-05,3
0.4,6.120386156974708e-05,3
0.41000000000000003,6.127207190466262e-05,3
0.42,6.129760454176809e-05,3
0.43,6.14399252274157e-05,3
0.44,6.152603224516123e-05,3
0.45,6.156871140155015e-05,3
0.46,6.172983764502367e-05,3
0.47000000000000003,6.197863558835958e-05,3
0.48,6.209927499453226e-05,3
0.49,6.235052427158524e-05,3
0.5,6.26570587508155e-05,3
0.51,6.309359635472526e-05,3
0.52,6.338363664166958e-05,3
0.53,6.344829076573768e-05,3
0.54,6.363552057221071e-05,3
0.55,6.375380027198029e-05,3
0.56,6.380562136920517e-05,3
0.5700000000000001,6.392124908441173e-05,3
0.58,6.396762445213962e-05,3
0.59,6.416553453434904e-05,3
0.6,6.4571851566711e-05,3
0.61,6.468730111599288e-05,3
0.62,6.505843051013847e-05,3
0.63,6.519136176397139e-05,3
0.64,6.541644638901714e-05,3
0.65,6.55576842032242e-05,3
0.66,6.590466345420231e-05,3
0.67,6.621031910053838e-05,3
0.68,6.639800471176555e-05,3
0.6900000000000001,6.663900174180058e-05,3
0.7000000000000001,6.66631790516975e-05,3
0.71,6.677463344084881e-05,3
0.72,6.679225986413879e-05,3
0.73,6.696561891918986e-05,3
0.74,6.743711469671614e-05,3
0.75,6.760430776674816e-05,3
0.76,6.78706565122337e-05,3
0.77,6.816966218729084e-05,3
0.78,6.8260397085565e-05,3
0.79,6.853614876407556e-05,3
0.8,6.876753784123073e-05,3
0.81,6.944699411068343e-05,3
0.8200000000000001,6.978212171939402e-05,3
0.8300000000000001,7.038645160552625e-05,3
0.84,7.073789020232479e-05,3
0.85,7.160222893537878e-05,3
0.86,7.2654597200898e-05,3
0.87,7.338518531171702e-05,3
0.88,7.456613864045807e-05,3
0.89,7.87085164409685e-05,3
0.9,8.052835482202875e-05,3
0.91,8.206716168844025e-05,3
0.92,8.325017093443694e-05,3
0.93,9.008772903753496e-05,3
0.9400000000000001,9.524973872796593e-05,3
0.9500000000000001,0.00010195877753489457,3
0.96,0.00010303155130013413,3
0.97,0.00010449585895797396,3
0.98,0.00010974326418715288,3
0.99,0.00011167293440499146,3
1.0,0.00011605231638725517,3
