cdf,request_e2e_time_normalized
0.0,0.023344372284838603
0.01,0.02870490037733718
0.02,0.03361435794076492
0.03,0.03540681760704233
0.04,0.03760646524913066
0.05,0.03944178326852359
0.06,0.04275851014329183
0.07,0.045234777755597165
0.08,0.04652502581956235
0.09,0.049122102667171604
0.1,0.05120504570679278
0.11,0.05247942656208916
0.12,0.05514588857280567
0.13,0.05653690041645055
0.14,0.058975195714872454
0.15,0.060862817460058345
0.16,0.0641395831573861
0.17,0.06490742192866293
0.18,0.06710826933301543
0.19,0.06777737372327547
0.2,0.06989597960157663
0.21,0.07130498296257776
0.22,0.07196355987069981
0.23,0.07555209162041324
0.24,0.07903865677703126
0.25,0.08176855548018747
0.26,0.08454058666580519
0.27,0.08626641389772424
0.28,0.08723623100922961
0.29,0.08944762617424602
0.3,0.09425774099471888
0.31,0.0963246499722845
0.32,0.09842937727805054
0.33,0.10160818305175665
0.34,0.10322621573397148
0.35000000000000003,0.10533422626938216
0.36,0.10612413862824807
0.37,0.10861531898130025
0.38,0.11250019386664209
0.39,0.11453332962640544
0.4,0.11792974269224943
0.41000000000000003,0.12189183380853667
0.42,0.12446260096227732
0.43,0.12588364278929978
0.44,0.12873116279118993
0.45,0.133737564061599
0.46,0.13625220907668076
0.47000000000000003,0.1400552041556653
0.48,0.14317846493516395
0.49,0.14606062294852903
0.5,0.15112049056465693
0.51,0.15653393402107862
0.52,0.15968466565713085
0.53,0.16229329867502354
0.54,0.16718564916383646
0.55,0.17397467909298941
0.56,0.17968710813274869
0.5700000000000001,0.18464703890378156
0.58,0.18766787716081082
0.59,0.19201641773126213
0.6,0.1965531428439935
0.61,0.20113677206729047
0.62,0.20907045864925503
0.63,0.2114575823779813
0.64,0.21586488129691808
0.65,0.2202099860900561
0.66,0.22167375493843425
0.67,0.22956432074823038
0.68,0.23434642422557025
0.6900000000000001,0.2390401952004892
0.7000000000000001,0.24844534539997365
0.71,0.2570808763275285
0.72,0.26186607985315385
0.73,0.2698450755741788
0.74,0.27547237039841427
0.75,0.2805963341037433
0.76,0.29028242901021634
0.77,0.3016213796985294
0.78,0.3201769375346301
0.79,0.3415844465331823
0.8,0.35283945789629734
0.81,0.37757602566351106
0.8200000000000001,0.4112323464056259
0.8300000000000001,0.44485143776557323
0.84,0.48492280313413266
0.85,0.5452613997635576
0.86,0.6206359579312639
0.87,0.7256081500060106
0.88,0.8486468355163757
0.89,1.0367938541735984
0.9,1.2248687257103466
0.91,1.4312256904693321
0.92,1.7165445670192432
0.93,2.0106044899776156
0.9400000000000001,3.0018494066338146
0.9500000000000001,3.505009483879794
0.96,4.94910479929985
0.97,6.257149549624079
0.98,9.21376595887561
0.99,21.772676349042328
1.0,37.705932151174835
