cdf,request_execution_plus_preemption_time
0.0,0.11395655033959888
0.01,0.3736544793933135
0.02,0.5422477740603088
0.03,0.7769649463489418
0.04,0.8127360648534782
0.05,0.9273338662586205
0.06,0.976492849247773
0.07,1.0653204252394688
0.08,1.1964209741021286
0.09,1.3187767861052087
0.1,1.6057093212177043
0.11,1.7275702955005505
0.12,1.9312999023031865
0.13,2.0371152801608137
0.14,2.426635415802399
0.15,2.701655777017146
0.16,2.959366197125575
0.17,3.4242062107513975
0.18,3.8116215522540866
0.19,4.053146528917886
0.2,4.751725545334835
0.21,4.958381837920116
0.22,5.18469809059753
0.23,5.772095912459134
0.24,6.061887355966893
0.25,6.264193861347809
0.26,6.57437383912339
0.27,6.918320949855665
0.28,7.187787547698993
0.29,7.471232111718928
0.3,8.139385262752425
0.31,8.314100918748801
0.32,8.713355590567314
0.33,9.080841921353919
0.34,9.283548139699397
0.35000000000000003,9.471852563246328
0.36,9.619840960637733
0.37,9.916202939098284
0.38,10.277441782461143
0.39,10.750964413713902
0.4,11.070405158939812
0.41000000000000003,11.452550997530459
0.42,11.697715534332024
0.43,11.81343559465434
0.44,12.00985073332889
0.45,12.304788253149912
0.46,12.54707282778007
0.47000000000000003,12.73603965592642
0.48,12.907263855982375
0.49,13.115013137076291
0.5,13.321706800801994
0.51,13.743279953125535
0.52,14.119200415650646
0.53,14.269854537462686
0.54,14.55329470400151
0.55,14.691615252710482
0.56,14.905666460504454
0.5700000000000001,15.311533467294748
0.58,15.589094473052974
0.59,15.731316205889298
0.6,15.949980621855076
0.61,16.126324021417588
0.62,16.434917328383445
0.63,16.854662710097816
0.64,16.990544073669167
0.65,17.254614161198166
0.66,17.497808583626107
0.67,17.869415227614937
0.68,18.075897826253655
0.6900000000000001,18.3888873266178
0.7000000000000001,18.596242445787905
0.71,18.79317543514896
0.72,19.140372540337832
0.73,19.48241461082724
0.74,19.914712957530472
0.75,20.276152226219608
0.76,20.50030403945568
0.77,20.829428124827277
0.78,21.01729345037879
0.79,21.15394316250604
0.8,21.364089427797744
0.81,21.711499329427834
0.8200000000000001,22.027524800125523
0.8300000000000001,22.194489620233288
0.84,22.704368232408246
0.85,23.001084136128803
0.86,23.735717813231435
0.87,24.35738784087476
0.88,24.73400071299903
0.89,25.173220020382526
0.9,25.6859316605538
0.91,25.901217776940193
0.92,26.974047328285838
0.93,27.30522820613694
0.9400000000000001,28.590223535742748
0.9500000000000001,29.145503867165566
0.96,30.033028787761356
0.97,32.60933196745101
0.98,35.17648859859004
0.99,39.598109914024086
1.0,70.97821768781924
