Time (sec),request_completion,replica
1.0314020808921103,1,0
6.259719855465134,2,0
7.127106629845605,3,0
7.735992872624178,4,0
11.29914382598187,5,0
11.710182591110547,6,0
12.016125483215378,7,0
12.340000902058494,8,0
13.262984357966012,9,0
14.365700264323504,10,0
14.612620469690011,11,0
15.64645507785326,12,0
15.965126127635767,13,0
16.039780632120262,14,0
16.193289569189822,15,0
17.5782516490419,16,0
18.671483223257756,17,0
20.26000470957342,18,0
21.878621478759854,19,0
24.89319190175987,20,0
26.005494408236295,21,0
28.469211435342075,22,0
28.499520590505465,23,0
28.931634468612312,24,0
29.79567682313461,25,0
30.236694683650676,26,0
30.885410839927008,27,0
31.021241637951956,28,0
32.14339448552998,29,0
34.12278770275274,30,0
34.54494582866764,31,0
35.33580130300717,32,0
36.625931511865105,33,0
37.11472032305534,34,0
37.94523090618578,35,0
38.91598221858685,36,0
39.35149496908692,37,0
39.688926063852286,38,0
40.40784292225616,39,0
40.490407338786326,40,0
40.607004366991895,41,0
41.172389748312305,42,0
42.05839732437522,43,0
42.132214206222,44,0
42.245028784928174,45,0
43.080266331339,46,0
43.34171920409751,47,0
44.11243130750225,48,0
44.14288060525764,49,0
44.17397268214903,50,0
46.82729667245477,51,0
47.57647521769762,52,0
50.32860112116458,53,0
51.84886144304631,54,0
52.07412190176144,55,0
53.985020397759435,56,0
54.56928845683985,57,0
54.7436923907368,58,0
54.81641885184757,59,0
54.96228327700852,60,0
56.02167976284054,61,0
56.14040717149871,62,0
56.649135423987374,63,0
56.693572369230765,64,0
57.824621681010015,65,0
58.791489221690036,66,0
58.84299350603282,67,0
59.28755320506767,68,0
61.349823396571566,69,0
62.24287544848398,70,0
62.60481114473971,71,0
63.28127132156195,72,0
64.53521617974555,73,0
64.7323873367739,74,0
65.9650928803247,75,0
66.64130841334327,76,0
69.81386508047581,77,0
71.53902776626103,78,0
72.70144612389181,79,0
72.70144612389181,80,0
73.04054651604694,81,0
74.94979214996447,82,0
75.5744811464255,83,0
77.80092087564832,84,0
78.02482347655327,85,0
78.11382032076804,86,0
78.245704700617,87,0
78.67461560468044,88,0
78.81002800414998,89,0
78.84493547636937,90,0
79.6837193841059,91,0
79.88095244228163,92,0
80.09871588125735,93,0
80.94902656660501,94,0
82.85418384140976,95,0
83.46501325557139,96,0
85.11774273111703,97,0
88.43198587424445,98,0
88.43198587424445,99,0
89.61197567712311,100,0
90.94448183373868,101,0
93.59202564014527,102,0
93.63395420727666,103,0
93.63395420727666,104,0
93.67354709389605,105,0
95.51537787073194,106,0
95.57056859398672,107,0
96.31495578935943,108,0
96.67503092166532,109,0
96.91545864455252,110,0
98.1409828296421,111,0
98.40151463095964,112,0
98.69379811710274,113,0
98.72431344800233,114,0
98.74435551877528,115,0
98.84365397224431,116,0
99.04553759027752,117,0
99.07282978736269,118,0
99.81625509253671,119,0
99.89151128709601,120,0
100.02453358404317,121,0
100.42280991812602,122,0
100.49189473759584,123,0
100.58213381489333,124,0
100.88123044509297,125,0
101.60435051028723,126,0
102.73593648474407,127,0
109.84467761665373,128,0
5.077969020221487,1,1
8.71812230776994,2,1
13.940572500678039,3,1
14.152895314318988,4,1
14.440978310944883,5,1
15.110657911730234,6,1
15.910449341873148,7,1
16.398786454028002,8,1
16.976170176980556,9,1
17.501392409464625,10,1
18.336809586716136,11,1
18.983206785471893,12,1
21.18904806967472,13,1
21.930836915388216,14,1
24.44297258472504,15,1
29.698267898421026,16,1
29.774573747088414,17,1
37.75290722372228,18,1
40.14887134203554,19,1
42.02243041217529,20,1
43.14592645736507,21,1
44.5301610206072,22,1
45.39671833651933,23,1
45.425046748002714,24,1
45.87161703792217,25,1
45.97621712549234,26,1
46.43676591004039,27,1
47.95545449214605,28,1
48.4471758014209,29,1
50.84510510610389,30,1
52.73960573780032,31,1
53.36499457508438,32,1
57.95524288657751,33,1
58.11019944970429,34,1
59.45988800030413,35,1
59.93477543618931,36,1
60.12403347961765,37,1
61.36591545344938,38,1
61.940780895021184,39,1
62.23525032364708,40,1
63.199337939664154,41,1
63.55028111644084,42,1
65.22302066339203,43,1
66.03283879257981,44,1
66.697946245635,45,1
69.15596438117194,46,1
72.86571124504114,47,1
75.88906319071027,48,1
79.24117072597562,49,1
79.74662929932364,50,1
80.18463419139174,51,1
80.78998054500012,52,1
82.66639508215957,53,1
86.42371056412294,54,1
87.10379645613689,55,1
90.02814129815454,56,1
92.82691521250842,57,1
92.9665213920374,58,1
93.38350576160946,59,1
93.52570665234302,60,1
93.80684093787411,61,1
94.98558322477554,62,1
95.39150105976482,63,1
98.32791897383788,64,1
102.16635075427027,65,1
102.7456268580593,66,1
105.2197265573844,67,1
105.76750689310941,68,1
105.96094889404175,69,1
106.30733327537163,70,1
106.77258805929802,71,1
109.43174657988943,72,1
110.17267694248318,73,1
110.20225173399857,74,1
112.96788511122094,75,1
114.28813665656344,76,1
114.47341830728779,77,1
115.25666618668153,78,1
116.41223879592354,79,1
116.70968395395752,80,1
117.59245112338296,81,1
