Request Id,request_e2e_time_normalized
8,0.12233648864923381
18,0.13566401187624985
9,0.023344372284838603
14,0.05579865935021354
30,0.08550128406355265
32,0.20545776683242406
40,0.07122781370415684
28,0.04835626991480717
37,3.9219880252839836
60,0.04249748668273059
20,0.026114144724675336
4,0.023660494510630344
12,0.027143598847783532
7,0.03905855093431787
48,0.03633810573984995
17,0.033071948342830226
5,0.02835671402534489
88,4.811501862120366
49,0.07952796109341276
56,0.03668492601504526
38,0.04289297677449004
61,0.32796403827908555
36,0.03530150962014914
29,0.04534301896572708
24,0.03512220101365185
92,0.18276959496078812
68,0.04657931030326534
41,0.047495956123347415
46,0.04538471084986108
45,0.05070664403495178
77,2.9686345406749695
16,0.028396772474607864
10,0.03636737935379712
19,0.10657547412917105
21,0.03409636330487295
52,0.03416549653233309
25,0.03359699735897711
26,0.038800593655763174
112,0.47530478442571134
69,0.06762084112322353
80,0.04548577470294903
13,0.03348810718212684
11,0.045009518600734384
67,0.24998614279419634
71,0.5527548874893942
53,0.049962477125597024
98,0.41589224563573557
106,0.43743240892065277
44,0.0334768474695024
62,0.05171511044412318
64,0.035620624731946694
50,0.041376456856512644
23,0.06712418932429139
15,0.06070312284050449
83,0.3727307512754787
6,0.033675909094376275
70,0.05244565628346219
78,0.05406056239063255
42,0.04049981137485052
34,0.03776632846045885
58,0.049961289863783336
35,0.06863820536829207
72,0.037480858440229935
120,0.06605902770624572
74,0.052468326993414145
152,0.8376033650247046
47,0.07261808536530416
51,0.07128782982028259
65,0.05921898935808646
33,0.04388914954421604
140,0.13213017838835972
116,0.057567932584631366
132,0.07808285007919835
108,0.051276503989346245
75,0.09788178771433857
76,0.03910649662042044
142,1.7141441665877437
90,0.06311713675932865
114,0.11004166938462877
55,0.06486817077184288
54,0.04612693960574045
66,0.049129838351538925
39,0.06444178794833771
84,0.03953855786125483
118,0.09413828135037543
154,1.0369319907295784
162,0.8088566608259994
96,0.04331960812869244
200,0.6728419556539862
86,0.05635596828252996
150,0.2578208086322041
79,0.10585698356448157
100,0.045302062957699035
63,0.07046404671779415
124,0.0475268206899234
82,0.052521182082342806
174,0.37973185114806846
73,0.0672587114749528
138,0.13379408340543347
104,0.04372380389327634
160,0.07194982963131524
43,0.06445254037652592
22,0.03932350321074096
176,0.08155114832839319
59,0.07105363089246718
148,0.06512340559305661
81,0.08094461686075535
156,0.06796742024848272
128,0.0470657804889369
144,0.05759290344097307
168,0.06418616236268712
57,0.06014848600430438
244,0.5420193582754631
136,0.05158398354063361
184,0.071637080483459
87,0.09541850251431105
192,0.06975396282252225
133,1.036274197605864
126,0.08720447018669716
170,0.1548002497279394
188,0.06582097893982526
232,0.10340707149905361
208,0.07198252067746899
260,0.8930682078001522
125,0.3456462598423431
31,0.055292921439248785
93,0.07212235583018402
169,9.079183909513096
97,0.07958850457249833
137,0.28231173676877036
158,0.12243518936225174
117,0.21067283176212176
256,0.15671235994806856
94,0.06775857791309013
102,0.07188039168142858
180,0.0580557308187712
89,0.06441184677945261
85,0.061912895667226714
130,0.08711092411957666
172,0.05507067254341881
189,5.870425880947375
27,0.0558381373228977
202,1.1981720393094126
212,0.059001973447042194
110,0.06399208234059953
296,6.447625386435028
113,0.1124822993135135
161,0.14190244796896012
146,0.08627474482334394
123,5.70066749135053
91,0.09453648016485364
103,0.1616039842674721
164,0.050421858612217776
95,0.0998063662931151
194,0.24946514236656384
228,0.05999246289386061
264,0.08317755504681554
252,0.07900528870333201
204,0.05507669663565597
119,0.18825356619560515
122,0.0677170860474905
166,0.08274580740536003
134,0.06900314889527187
308,0.6063623888353332
210,0.26874165453756266
224,0.058943760985803624
178,0.0856695609116742
272,0.10661625643619815
216,0.056521974912903485
248,0.06872758955616134
157,0.12083536194424771
141,0.11470234405997819
220,0.053545127789391286
240,0.06138602579333635
196,0.05119710589762017
