cdf,request_execution_plus_preemption_time_normalized,replica
0.0,0.01097060935287801,0
0.01,0.012263148279396154,0
0.02,0.013319607584529384,0
0.03,0.014658517802492372,0
0.04,0.015384659263682179,0
0.05,0.01749513592227363,0
0.06,0.021788729984092856,0
0.07,0.02439400352921399,0
0.08,0.024798959138039835,0
0.09,0.025420248466389243,0
0.1,0.0260070289714469,0
0.11,0.02660027286154221,0
0.12,0.02744140684059345,0
0.13,0.028812190232759795,0
0.14,0.029350798535827647,0
0.15,0.02945611265572115,0
0.16,0.030762433601772388,0
0.17,0.03125510529847604,0
0.18,0.03136511611199729,0
0.19,0.031774838641411646,0
0.2,0.032280053481738735,0
0.21,0.032330245414652355,0
0.22,0.032376913509704494,0
0.23,0.032623649601089426,0
0.24,0.03288173489988616,0
0.25,0.03309246836120619,0
0.26,0.03326826513233589,0
0.27,0.03342313865875594,0
0.28,0.033659855544002124,0
0.29,0.033884739139855166,0
0.3,0.03393429161975709,0
0.31,0.034038880346054554,0
0.32,0.03409351453453606,0
0.33,0.03409968583304576,0
0.34,0.03413384812847254,0
0.35000000000000003,0.03414604048881509,0
0.36,0.03417817430227199,0
0.37,0.03427573911773966,0
0.38,0.03432797454064455,0
0.39,0.034384401980349914,0
0.4,0.034414958207557377,0
0.41000000000000003,0.034448938812344544,0
0.42,0.03449508115657524,0
0.43,0.034608694847567456,0
0.44,0.03478659836329758,0
0.45,0.034828758615708305,0
0.46,0.03488845876557969,0
0.47000000000000003,0.03502967643661903,0
0.48,0.035077069560524615,0
0.49,0.03514453406406846,0
0.5,0.03523680707092455,0
0.51,0.03525306911068068,0
0.52,0.03530028802425253,0
0.53,0.03536348327379703,0
0.54,0.03544794314806949,0
0.55,0.0355072685081578,0
0.56,0.035522776785324874,0
0.5700000000000001,0.0355592762376862,0
0.58,0.03568969414133857,0
0.59,0.03597981187963145,0
0.6,0.03601037845705525,0
0.61,0.0360937277363247,0
0.62,0.03629585802984544,0
0.63,0.036560867896654275,0
0.64,0.03671646404734546,0
0.65,0.0370356004724118,0
0.66,0.037155760125267306,0
0.67,0.03719063602793691,0
0.68,0.03725358740583353,0
0.6900000000000001,0.03747345772683262,0
0.7000000000000001,0.03773629732248899,0
0.71,0.03785677915339194,0
0.72,0.03795326697721666,0
0.73,0.03815257106494671,0
0.74,0.03831517936736269,0
0.75,0.03844311577105858,0
0.76,0.039055437253831274,0
0.77,0.039358300426033686,0
0.78,0.03969540657844649,0
0.79,0.040748417184363804,0
0.8,0.040991093629631624,0
0.81,0.04144390538770066,0
0.8200000000000001,0.04199165969406973,0
0.8300000000000001,0.043247126070049255,0
0.84,0.04479419758772509,0
0.85,0.045405298171967874,0
0.86,0.046615667120139995,0
0.87,0.047154008400155496,0
0.88,0.04834053088020077,0
0.89,0.049635643278240264,0
0.9,0.050826356143574614,0
0.91,0.052755780950002544,0
