Time (sec),request_arrival,replica
0.18587822790020653,1,0
0.6643926149444088,2,0
1.4282741652495143,3,0
2.016820332956791,4,0
2.439661213850804,5,0
2.9699117525845815,6,0
3.8674912794396046,7,0
3.999684420308469,8,0
4.738288605227173,9,0
4.919044405016743,10,0
5.24228243716196,11,0
5.886348892776472,12,0
6.337738975085511,13,0
6.578621672395099,14,0
7.134390131074273,15,0
7.411528298160123,16,0
7.902172335208592,17,0
8.154586160737452,18,0
8.562177023416455,19,0
8.687746814904635,20,0
9.253034808023447,21,0
9.554198402203138,22,0
9.825614403453466,23,0
10.156006452213798,24,0
10.441339122315064,25,0
11.142539119607381,26,0
11.895105649925805,27,0
12.179823374336326,28,0
12.620907312753477,29,0
13.173826162656459,30,0
13.636470902233178,31,0
13.851175582048043,32,0
14.019515222820162,33,0
14.586366995523656,34,0
15.129227022026681,35,0
15.496498466727637,36,0
16.11425323916579,37,0
16.367583993241745,38,0
16.891115516281136,39,0
17.187133669929644,40,0
17.681282196962638,41,0
18.12955746010763,42,0
18.662964408698766,43,0
19.208361331973805,44,0
19.65166869386867,45,0
20.75390463989047,46,0
21.35751223819587,47,0
21.73555370764719,48,0
22.16965142929304,49,0
22.551804145581436,50,0
23.07287592496371,51,0
23.555879691501506,52,0
23.763922082254226,53,0
24.136914819398353,54,0
24.683242819847784,55,0
25.135988892966,56,0
25.77290626778676,57,0
26.326415009665027,58,0
26.80220924741861,59,0
27.53612035143128,60,0
27.96589400921318,61,0
28.40921335097296,62,0
28.902684157154674,63,0
29.43222471821916,64,0
29.884881357346593,65,0
30.039958541832583,66,0
30.64069230423921,67,0
30.741385109991224,68,0
30.782030195259487,69,0
31.146910161251782,70,0
31.738268053855077,71,0
31.9387867445672,72,0
32.1635891784903,73,0
32.73124574245635,74,0
33.642374336587714,75,0
34.35106482641797,76,0
34.79899615360388,77,0
35.10374349073168,78,0
35.304305056688705,79,0
35.52784725813237,80,0
36.398347994555536,81,0
36.861839964337335,82,0
37.41832549446169,83,0
37.80338224339631,84,0
38.199103825819854,85,0
38.7338054659044,86,0
39.6138823367636,87,0
40.32495294078102,88,0
40.58465310627529,89,0
41.04215762319665,90,0
41.776607285235194,91,0
41.95365968464588,92,0
42.39732181777426,93,0
42.95887282349065,94,0
43.39134953566633,95,0
43.78795435537768,96,0
44.46188647612075,97,0
45.38577451576297,98,0
45.87722676788769,99,0
46.31747950318832,100,0
46.55584943527014,101,0
47.448807163268626,102,0
47.99548917858933,103,0
48.650569842977205,104,0
48.99215094038546,105,0
49.64257632517291,106,0
49.77089281176652,107,0
50.25108414837089,108,0
51.1159759306386,109,0
51.393455218406416,110,0
52.01451193658646,111,0
52.2676995708918,112,0
52.92259480355767,113,0
53.47172410113335,114,0
53.90785884312117,115,0
54.408821046150834,116,0
54.94599803848398,117,0
55.600361893908776,118,0
55.850022590390644,119,0
56.02398258957766,120,0
56.39989076031138,121,0
56.593759200878615,122,0
56.88001406184943,123,0
57.398217832562935,124,0
57.809445719557104,125,0
58.24498150125675,126,0
59.0136203687992,127,0
59.574142522061216,128,0
0.2581054418999912,1,1
1.0393926149444088,2,1
1.5030915342908466,3,1
2.2331027873161404,4,1
2.447904286645341,5,1
3.024633039957767,6,1
3.894549315955471,7,1
4.1433104132662475,8,1
4.796134282485957,9,1
4.999756984424623,10,1
5.4657619810465015,11,1
6.090542396136543,12,1
6.356555865258917,13,1
6.71526912764862,14,1
7.239520993032181,15,1
7.491146889138603,16,1
8.00298405064613,17,1
8.226332886218005,18,1
8.595488787439717,19,1
8.823304616923215,20,1
9.318225739733611,21,1
9.565993811592302,22,1
9.912519268068793,23,1
10.215966989442919,24,1
10.452805560085608,25,1
11.292913752093453,26,1
12.05284570397926,27,1
12.470942583562485,28,1
12.729112828100911,29,1
13.332707349955594,30,1
13.767643894638669,31,1
13.93632564030726,32,1
14.130248924400881,33,1
14.639614344158831,34,1
15.211522771272447,35,1
15.580839939034648,36,1
16.15307528614855,37,1
16.37031512339819,38,1
16.992055187477533,39,1
17.321772790968506,40,1
17.990917134915776,41,1
18.187495019463423,42,1
19.037964408698766,43,1
19.552055483158156,44,1
20.02666869386867,45,1
21.03379331284151,46,1
21.492975701367016,47,1
21.773608164455883,48,1
22.391966864963738,49,1
22.8112971445744,50,1
23.44787592496371,51,1
23.588494460200796,52,1
23.852158065091537,53,1
24.340699339314444,54,1
24.6997563425316,55,1
25.219810395294598,56,1
26.096370786064803,57,1
26.34040685335102,58,1
26.915514964463185,59,1
27.728122553885555,60,1
28.16510009207599,61,1
28.662085561774035,62,1
28.972049217070033,63,1
29.46782542205021,64,1
29.898786646438257,65,1
30.257590070850043,66,1
30.66331237307239,67,1
30.74405696489586,68,1
30.893829171935533,69,1
31.234690270903517,70,1
31.763303046242825,71,1
32.00607471409555,72,1
32.17699166763523,73,1
32.74429269278127,74,1
33.84482670724811,75,1
34.369128354901,76,1
34.87666910777681,77,1
35.122562695281445,78,1
35.3615667730229,79,1
35.67254041510491,80,1
36.4803078477485,81,1
36.99399521250105,82,1
37.46081248829953,83,1
38.04979003018729,84,1
38.36080255804075,85,1
39.1088054659044,86,1
39.812045542634884,87,1
40.3374372781197,88,1
40.69085791421802,89,1
41.2428661991663,90,1
41.79254861985855,91,1
42.021451005671445,92,1
42.683119635246605,93,1
43.00606272693846,94,1
43.46335987208503,95,1
44.13183709107714,96,1
44.83688647612075,97,1
45.62336003956279,98,1
46.02206042231471,99,1
46.361237860899806,100,1
46.86915438205711,101,1
47.713009562606686,102,1
48.37048917858933,103,1
48.93473866853581,104,1
49.179593868372706,105,1
49.64718042335265,106,1
49.97300213052938,107,1
50.45286775221597,108,1
51.34348053615593,109,1
51.48123652721185,110,1
52.03559577976876,111,1
52.42239279338232,112,1
53.04233451098922,113,1
53.49548724944639,114,1
53.984549369193516,115,1
54.4284218169369,116,1
55.096401317447835,117,1
55.689111114869135,118,1
55.86802004359859,119,1
56.14200057996726,120,1
56.43056896298994,121,1
56.66150575446435,122,1
56.98428722533771,123,1
57.445731644793405,124,1
57.93238732626018,125,1
58.516868649296526,126,1
59.21471914080917,127,1
59.589534541177926,128,1
0.5026239187698309,1,2
1.2183771680830981,2,2
1.561004405250437,3,2
2.3063445298344227,4,2
2.6676691302857094,5,2
3.399633039957767,6,2
3.973138134280582,7,2
4.314005344092296,8,2
4.875389348924266,9,2
5.03192685513306,10,2
5.616369089588529,11,2
6.1518137758420055,12,2
6.384434466632794,13,2
6.867936713317787,14,2
7.258344351644796,15,2
7.59526591023464,16,2
8.105381583916207,17,2
8.256525713955755,18,2
8.602997717176656,19,2
8.925086878200645,20,2
9.52849051551531,21,2
9.726172265279871,22,2
9.933174612642292,23,2
10.260821665409571,24,2
10.468501799428651,25,2
11.33154738982286,26,2
12.127430300090746,27,2
12.546991944154405,28,2
12.753428207162882,29,2
13.403432059467972,30,2
13.778671906980861,31,2
13.986359445591871,32,2
14.153629456080253,33,2
14.751343534407326,34,2
15.402352586060012,35,2
15.92806815039126,36,2
16.20342804864195,37,2
16.58911251264565,38,2
17.006422038039766,39,2
17.484055760481617,40,2
18.023622474042238,41,2
18.408835119593647,42,2
19.08093739307596,43,2
19.57453723126487,44,2
20.304498722926226,45,2
21.125242510738115,46,2
21.55145798865609,47,2
22.11881554914922,48,2
22.412765654409093,49,2
22.838634242698642,50,2
23.534704756559414,51,2
23.60616430608528,52,2
24.000286587319923,53,2
24.497786294938916,54,2
25.027885325285034,55,2
25.35571908283199,56,2
26.09951749943588,57,2
26.35930908435442,58,2
27.253441128302644,59,2
27.730372275970044,60,2
28.198200116262413,61,2
28.77759668083142,62,2
29.103968544131376,63,2
29.50158227619064,64,2
29.907396317407333,65,2
30.30403367506639,66,2
30.705197538030884,67,2
30.7511805725768,68,2
31.036537881443884,69,2
31.49462540594581,70,2
31.79707341219019,71,2
32.01238827228654,72,2
32.4010555519282,73,2
32.97618998124001,74,2
34.03379617391934,75,2
34.46513052573906,76,2
34.93745392576174,77,2
35.20379427171878,78,2
35.41860746330332,79,2
35.716568251449864,80,2
36.53006217155042,81,2
37.19795043035636,82,2
37.62676528494332,83,2
38.0675002861241,84,2
38.371837246518346,85,2
39.31053904013542,86,2
40.17695460780064,87,2
40.45713031936987,88,2
40.769274368843334,89,2
41.327563134461194,90,2
41.80811704160006,91,2
42.20753144158487,92,2
42.86283501284109,93,2
43.02750199520851,94,2
43.523785464686064,95,2
44.32127447850018,96,2
44.99501126891385,97,2
45.75005453988775,98,2
46.02360779611573,99,2
46.43792548717505,100,2
47.05915776691195,101,2
47.7547529676216,102,2
48.50744803200557,103,2
48.938417205918064,104,2
49.20720653724038,105,2
49.64786100201003,106,2
50.00706893965135,107,2
50.78139924485017,108,2
51.348602987485414,109,2
51.65214024774354,110,2
52.20142035883028,111,2
52.79739279338232,112,2
53.047743697015,113,2
53.507512710104905,114,2
54.17615583199079,115,2
54.793324839268266,116,2
55.227355509471934,117,2
55.75380765438999,118,2
55.90874939104983,119,2
56.26785587054656,120,2
56.54150340391669,121,2
56.741844045973416,122,2
57.13562086429594,123,2
57.63929344305752,124,2
57.988301665700206,125,2
58.834247612438574,126,2
59.261910997336095,127,2
59.59888295171507,128,2
0.6520286474043208,1,3
1.4111371432162756,2,3
1.8877646149933345,3,3
2.338567667730464,4,3
2.7925142299716663,5,3
3.6791404225404687,6,3
3.978737149415827,7,3
4.689005344092296,8,3
4.901647924060357,9,3
5.170439246487655,10,3
5.663181526098627,11,3
6.194331062580397,12,3
6.385358154759903,13,3
7.057617589908098,14,3
7.273548949712905,15,3
7.7762865230834315,16,3
8.150673324295209,17,3
8.322168466744031,18,3
8.64430121577366,19,3
9.11658759422144,20,3
9.551326656543973,21,3
9.80363083381668,22,3
