cdf,request_execution_time,replica
0.0,0.14023011296894838,0
0.01,0.22756222406408078,0
0.02,0.31800319928486315,0
0.03,0.4743779292310916,0
0.04,0.6992948877662696,0
0.05,0.8353162674146946,0
0.06,0.9528607233814389,0
0.07,0.9956464927883827,0
0.08,1.0766206418695754,0
0.09,1.2125600975794328,0
0.1,1.289496379721295,0
0.11,1.6864192398106659,0
0.12,1.7561064259555197,0
0.13,1.9680406144358609,0
0.14,2.836813938864163,0
0.15,3.4572375539045175,0
0.16,3.712741282237969,0
0.17,4.444968132732067,0
0.18,4.959879788394014,0
0.19,5.0437573609429975,0
0.2,5.224766433607384,0
0.21,5.59704221921121,0
0.22,5.860929862356152,0
0.23,6.276220685083731,0
0.24,6.441288818303564,0
0.25,6.803034181198716,0
0.26,7.059063805337859,0
0.27,7.251579132726786,0
0.28,7.351394565771811,0
0.29,7.5241157003241765,0
0.3,8.131103310041924,0
0.31,8.194695297205538,0
0.32,8.446313849653745,0
0.33,8.826394003198011,0
0.34,9.052807963113418,0
0.35000000000000003,9.157864757795885,0
0.36,9.257608667558092,0
0.37,9.288598856877961,0
0.38,9.501847676066623,0
0.39,9.592109206752449,0
0.4,9.65490918926908,0
0.41000000000000003,9.787447284031808,0
0.42,10.319181905622742,0
0.43,10.477875145428742,0
0.44,10.696647033198182,0
0.45,10.828859196447105,0
0.46,10.963461576921924,0
0.47000000000000003,11.20165900722044,0
0.48,11.496159257181821,0
0.49,11.763997003892593,0
0.5,11.809668262918162,0
0.51,11.890365064170538,0
0.52,11.92631775057291,0
0.53,12.061121429020385,0
0.54,12.22858712158644,0
0.55,12.37749275922468,0
0.56,12.464233180645726,0
0.5700000000000001,12.559670217958415,0
0.58,12.682031265055441,0
0.59,12.976100057085544,0
0.6,13.073155242235316,0
0.61,13.318149328000715,0
0.62,13.461701713126418,0
0.63,14.275546421731827,0
0.64,14.338270409178511,0
0.65,14.417692577903221,0
0.66,14.542347233906852,0
0.67,14.66020124279624,0
0.68,14.899202519087963,0
0.6900000000000001,15.156607138326866,0
0.7000000000000001,15.528080329503148,0
0.71,15.849162178668614,0
0.72,15.98104805407685,0
0.73,16.299657401071023,0
0.74,16.5840484730114,0
0.75,16.907476438137,0
0.76,17.086246421857048,0
0.77,17.39642072901786,0
0.78,17.718744041008808,0
0.79,18.13500088389296,0
0.8,18.458671097674014,0
0.81,18.59848452805184,0
0.8200000000000001,19.051225283439358,0
