cdf,request_e2e_time,replica
0.0,0.36700946594770145,0
0.01,2.222094991617369,0
0.02,3.128607160491735,0
0.03,4.108465795580223,0
0.04,4.923715011444081,0
0.05,6.621030461449757,0
0.06,7.784200731094871,0
0.07,8.075101256063453,0
0.08,8.447821896905793,0
0.09,9.97470876826727,0
0.1,10.910658657554112,0
0.11,11.802691639759987,0
0.12,12.389017742699842,0
0.13,12.676223283218704,0
0.14,12.948746587173588,0
0.15,13.23595609642056,0
0.16,14.155411478246966,0
0.17,14.511732825822676,0
0.18,15.233400180105255,0
0.19,15.731011675217934,0
0.2,17.07756615195835,0
0.21,17.542951283398875,0
0.22,17.77580256222082,0
0.23,18.705721784445668,0
0.24,19.23017127024004,0
0.25,19.573901138274703,0
0.26,20.146563469862947,0
0.27,20.39361420995856,0
0.28,20.94298322322523,0
0.29,21.323967691234433,0
0.3,21.51489658539965,0
0.31,21.823331163037643,0
0.32,22.66172717217558,0
0.33,23.439061878886587,0
0.34,23.527157581343086,0
0.35000000000000003,23.57761791152866,0
0.36,24.162777240438555,0
0.37,24.70058590417971,0
0.38,24.93234867616838,0
0.39,25.53304543954216,0
0.4,25.91253781855355,0
0.41000000000000003,26.216417145253217,0
0.42,26.69480816688392,0
0.43,26.879742903725905,0
0.44,27.2559259686902,0
0.45,27.602691107667937,0
0.46,27.992062315353465,0
0.47000000000000003,28.575834912292176,0
0.48,29.17064013692014,0
0.49,29.708925156184232,0
0.5,30.792205143439137,0
0.51,30.94022211211532,0
0.52,31.008080158880688,0
0.53,31.161346726116694,0
0.54,31.388811427135128,0
0.55,31.633013111337966,0
0.56,31.96947737577932,0
0.5700000000000001,32.71696750170563,0
0.58,33.720463586099655,0
0.59,34.21852433674571,0
0.6,34.56636315233829,0
0.61,34.706093631631056,0
0.62,35.07496604025296,0
0.63,35.842811704320155,0
0.64,36.20036235423106,0
0.65,36.4001663311374,0
0.66,37.002910629481,0
0.67,37.48793586729695,0
0.68,37.59427423394472,0
0.6900000000000001,37.75507181457288,0
0.7000000000000001,38.414960718720664,0
0.71,38.641624449235245,0
0.72,38.733449947783704,0
0.73,38.941148782640695,0
0.74,39.27133936290936,0
0.75,39.58714145270179,0
0.76,40.78858546306385,0
0.77,41.3056322395407,0
0.78,41.41252931499286,0
0.79,41.68431126533173,0
0.8,41.98589116438854,0
0.81,42.14214385810433,0
0.8200000000000001,42.96532639387237,0
0.8300000000000001,43.22474225029873,0
0.84,43.71950731232482,0
0.85,44.016655996611924,0
0.86,44.32716824305119,0
0.87,44.47920313739806,0
0.88,44.62646582970361,0
0.89,45.052052627674954,0
0.9,45.46243771132357,0
0.91,45.876748749055096,0
0.92,46.14486534494374,0
0.93,47.02011961962122,0
0.9400000000000001,47.12790756480674,0
0.9500000000000001,47.6206476193063,0
0.96,47.92535667490857,0
0.97,50.13643240298707,0
0.98,51.213567655243175,0
0.99,59.530291275395605,0
1.0,68.05310581286354,0
0.0,3.9219880252839836,1
0.01,5.073367743900742,1
0.02,8.129958376597608,1
0.03,8.80036475765376,1
0.04,11.407939767709832,1
0.05,11.5793797270338,1
0.06,11.898696507146482,1
0.07,13.057345979786389,1
0.08,14.213848340843285,1
0.09,15.918862731611426,1
0.1,17.448063827280524,1
0.11,20.357505521248434,1
0.12,23.028915167171963,1
0.13,26.450470415127903,1
0.14,28.624489855990713,1
0.15,29.360851651375242,1
0.16,29.922076029812843,1
0.17,31.094716389463372,1
0.18,31.335057733462545,1
0.19,33.915589148275814,1
0.2,35.377976398096216,1
0.21,35.59907122506978,1
0.22,36.01996747997767,1
0.23,38.5447534505918,1
0.24,39.67601234611155,1
0.25,40.78955656288444,1
0.26,41.506546666902224,1
0.27,43.07990804423254,1
0.28,43.65247174541466,1
0.29,45.61684545113941,1
0.3,46.202544724822594,1
0.31,46.40465262675753,1
0.32,47.07358906103971,1
0.33,48.05780947884993,1
0.34,50.0549968643665,1
0.35000000000000003,50.92626189854921,1
0.36,53.226981858938174,1
0.37,54.537154789872126,1
0.38,55.322343971602415,1
0.39,56.77591171567685,1
0.4,58.43845604460428,1
0.41000000000000003,60.14321361056022,1
0.42,60.6843708096731,1
0.43,62.10621001538249,1
0.44,62.74018354284023,1
0.45,64.63848608425418,1
0.46,65.23694027460516,1
0.47000000000000003,66.58194535411069,1
0.48,67.1707071323403,1
0.49,68.16104028364963,1
0.5,70.16240289494672,1
0.51,71.0645629815689,1
0.52,73.24854195271067,1
0.53,74.32494832567937,1
0.54,75.33853187602566,1
0.55,75.88120931019975,1
0.56,76.00674439171122,1
0.5700000000000001,76.31629820566097,1
0.58,76.87361169289552,1
0.59,77.2443015615899,1
0.6,79.77212179282753,1
0.61,81.2350882835344,1
0.62,82.3764688056268,1
0.63,82.64400658086078,1
0.64,83.83082563804616,1
0.65,84.2513933140863,1
0.66,86.28957143309354,1
0.67,87.15284708973905,1
0.68,87.7714705626225,1
0.6900000000000001,88.50474467787701,1
0.7000000000000001,92.20249828512574,1
0.71,93.11016662679037,1
0.72,94.37883065124201,1
0.73,94.5940788679686,1
0.74,96.14573365919306,1
0.75,97.25868298228039,1
0.76,97.88881560591591,1
0.77,98.18338730488934,1
0.78,98.56279739444375,1
0.79,99.16984508319801,1
0.8,100.22387671986105,1
0.81,100.50695078111251,1
0.8200000000000001,102.64426166988936,1
0.8300000000000001,102.76729989041137,1
0.84,103.39487277542533,1
0.85,104.06717157888714,1
0.86,104.80647283793131,1
0.87,104.94594085510282,1
0.88,104.98383099404822,1
0.89,105.15993210074447,1
0.9,105.26240450249044,1
0.91,105.77300726759883,1
0.92,106.21845993758384,1
0.93,106.44397251516288,1
0.9400000000000001,107.00927001331773,1
0.9500000000000001,107.92601639097819,1
0.96,108.61698676875973,1
0.97,109.07454112787607,1
0.98,109.57577521538123,1
0.99,110.11974383830713,1
1.0,129.82657408809968,1
0.0,1.899296166267498,2
0.01,2.6924746712698227,2
0.02,7.334989589435434,2
0.03,10.725646583167046,2
0.04,13.640070590197077,2
0.05,15.165235855610172,2
0.06,16.406716912767262,2
0.07,16.929717504037637,2
0.08,17.2192660141215,2
0.09,17.885536397865746,2
0.1,18.319343601896797,2
0.11,18.747010621292922,2
0.12,19.22905830718752,2
