cdf,request_scheduling_delay,replica
0.0,0.0,0
0.01,0.0002763555112853089,0
0.02,0.00121231920437733,0
0.03,0.001851481114721638,0
0.04,0.04426265673204395,0
0.05,0.49865348309573765,0
0.06,0.565518859109953,0
0.07,0.6012257890156918,0
0.08,0.8164268617915701,0
0.09,0.9585000199192147,0
0.1,1.1779528486327722,0
0.11,1.2391108557452288,0
0.12,1.3193386375505471,0
0.13,1.8997334086890931,0
0.14,2.2699886894282186,0
0.15,3.644712146282946,0
0.16,4.161514758704597,0
0.17,4.426793753621596,0
0.18,4.754671063708059,0
0.19,5.972684661491501,0
0.2,6.547586257337072,0
0.21,6.90939830809583,0
0.22,7.079414464098657,0
0.23,7.11430461496776,0
0.24,7.159800877780835,0
0.25,7.658795504176451,0
0.26,9.206798740132173,0
0.27,9.841219968880939,0
0.28,10.559486108588683,0
0.29,10.764010156824448,0
0.3,10.856910831894705,0
0.31,10.915675666990284,0
0.32,11.074505931162204,0
0.33,11.164766716703046,0
0.34,11.191564254429379,0
0.35000000000000003,11.300501417553807,0
0.36,11.37558398275342,0
0.37,11.399742254083959,0
0.38,11.58442748370583,0
0.39,11.602394815758727,0
0.4,11.702321895935304,0
0.41000000000000003,11.7286956987629,0
0.42,11.76589869555277,0
0.43,11.775244843905043,0
0.44,11.805332682613166,0
0.45,11.900805126951122,0
0.46,12.311312668532368,0
0.47000000000000003,12.810775304138906,0
0.48,12.82932353222638,0
0.49,13.125186697805523,0
0.5,13.321122681046624,0
0.51,13.519123284455441,0
0.52,13.674045321655962,0
0.53,14.846250703169492,0
0.54,17.80821633086791,0
0.55,19.07445805687905,0
0.56,19.325493260009118,0
0.5700000000000001,19.50162202025126,0
0.58,19.647026085659267,0
0.59,19.71086663383156,0
0.6,19.882480102980477,0
0.61,20.661322481837843,0
0.62,22.100530052780034,0
0.63,22.361088296121693,0
0.64,22.52303807340367,0
0.65,24.08678473355895,0
0.66,25.632263143001722,0
0.67,25.837807436014927,0
0.68,26.124126928907938,0
0.6900000000000001,26.5461476680967,0
0.7000000000000001,26.94622317243899,0
0.71,27.379479748550878,0
0.72,27.585869952250384,0
0.73,27.856838908518366,0
0.74,27.884899379507168,0
0.75,28.01781532901056,0
0.76,28.08008648221752,0
0.77,28.132673393607373,0
0.78,28.188514240901075,0
0.79,28.74602920117169,0
0.8,29.46496268504916,0
0.81,30.05588144087198,0
0.8200000000000001,30.45322643733548,0
0.8300000000000001,30.646689021376726,0
0.84,31.168544355599824,0
0.85,32.016802782386385,0
0.86,33.15745173510662,0
0.87,33.401391620693424,0
0.88,33.49195214169846,0
0.89,33.80799219902753,0
0.9,33.933032904294414,0
0.91,34.20540100441706,0
0.92,34.306729014273834,0
0.93,34.536328562836665,0
0.9400000000000001,36.21541171029709,0
0.9500000000000001,36.48506083294002,0
0.96,37.187028156233225,0
0.97,37.290699550374114,0
0.98,37.56621512748085,0
0.99,37.76016415846757,0
1.0,37.786395044577866,0
0.0,0.0,1
0.01,0.00032225292562622967,1
0.02,0.0013862052140822191,1
0.03,0.14637509065858076,1
0.04,0.2885102953626422,1
0.05,1.349747154274624,1
0.06,3.3595772157968358,1
0.07,3.4348590543697215,1
0.08,3.5154476340062972,1
0.09,4.047066213910788,1
0.1,5.401170282321356,1
0.11,6.799452446648547,1
0.12,6.896962541386064,1
0.13,6.929309043112071,1
0.14,6.948684661263679,1
0.15,8.615628130008249,1
0.16,9.336109421400941,1
0.17,9.699840680828173,1
0.18,10.251220732748482,1
0.19,14.052975855590159,1
0.2,26.288451701986915,1
0.21,26.34922339246537,1
0.22,26.39104836112963,1
0.23,26.669210929721615,1
0.24,26.799501084378758,1
0.25,27.19578358892629,1
0.26,27.327057292886693,1
0.27,27.434337703543218,1
