cdf,prefill_time_execution_plus_preemption,replica
0.85,1.4843479279387923,2
0.86,1.7737991926928598,2
0.87,1.8966813409870529,2
0.88,2.0855633063621037,2
0.89,2.5149681690546215,2
0.9,2.8817774191843286,2
0.91,3.078571514500482,2
0.92,3.6400017498206942,2
0.93,3.8957526575506765,2
0.9400000000000001,4.17068670840678,2
0.9500000000000001,4.467465959650474,2
0.96,4.697921987929512,2
0.97,6.585597901147626,2
0.98,14.200632363037254,2
0.99,15.776181686392214,2
1.0,16.904770042819322,2
0.0,0.07346437041195486,3
0.01,0.07742830982936859,3
0.02,0.07831074563864938,3
0.03,0.07945513441048987,3
0.04,0.0832185423562197,3
0.05,0.08369012918040823,3
0.06,0.08535626524441313,3
0.07,0.08662690586393004,3
0.08,0.0875278507804137,3
0.09,0.09055394834200754,3
0.1,0.09223889604377433,3
0.11,0.09355471459096165,3
0.12,0.10139086559001015,3
0.13,0.10738301789261627,3
0.14,0.10790680305354926,3
0.15,0.11097626841401968,3
0.16,0.11297875699262334,3
0.17,0.11802307883308719,3
0.18,0.12126862229618408,3
0.19,0.12964701090400502,3
0.2,0.13625149859455235,3
0.21,0.1377344578658014,3
0.22,0.14247174862463055,3
0.23,0.1463235798387001,3
0.24,0.14937158944382986,3
0.25,0.15639351649349464,3
0.26,0.20127288910662355,3
0.27,0.23549791629376812,3
0.28,0.24098592986175846,3
0.29,0.2460237851323636,3
0.3,0.2516733383201185,3
0.31,0.2661878633595743,3
0.32,0.3051203523477682,3
0.33,0.3247492674475592,3
0.34,0.3361646285563881,3
0.35000000000000003,0.35755933604211637,3
0.36,0.369064833062866,3
0.37,0.3731789739692178,3
0.38,0.38518519161995546,3
0.39,0.42185629348243214,3
0.4,0.4475188568338184,3
0.41000000000000003,0.4635731454814342,3
0.42,0.47028890542497176,3
0.43,0.48558117903861586,3
0.44,0.4924919694204732,3
0.45,0.5303664993346459,3
0.46,0.5360149125570339,3
0.47000000000000003,0.547509575296368,3
0.48,0.587774982594608,3
0.49,0.5946263340185278,3
0.5,0.6044926188701325,3
0.51,0.6139786306508194,3
0.52,0.6340290429651808,3
0.53,0.6469354140161274,3
0.54,0.6670881826040096,3
0.55,0.6734517117056796,3
0.56,0.6866488961051609,3
0.5700000000000001,0.6980743551003539,3
0.58,0.7257706866550722,3
0.59,0.7491248024595691,3
0.6,0.7544245891208788,3
0.61,0.7685289772251184,3
0.62,0.7799088949260127,3
0.63,0.8205163541678494,3
0.64,0.8452328688498568,3
0.65,0.924523981092379,3
0.66,0.9735000043955757,3
0.67,0.9821478197009718,3
0.68,1.0023869539930286,3
0.6900000000000001,1.0461945000683512,3
0.7000000000000001,1.092363762615363,3
0.71,1.1063247157609746,3
0.72,1.1455328539554035,3
0.73,1.1852616314794897,3
0.74,1.201419478538267,3
0.75,1.227513466889529,3
0.76,1.2581496869368742,3
0.77,1.2793787565150851,3
0.78,1.2929267920156673,3
0.79,1.326498823331581,3
0.8,1.3972728844637545,3
0.81,1.4150493022265003,3
0.8200000000000001,1.4707932113174982,3
0.8300000000000001,1.6132604596855116,3
0.84,1.699313906220221,3
0.85,1.7397757010742296,3
0.86,1.7671142440175927,3
0.87,1.788536469994069,3
0.88,1.85093332360951,3
0.89,2.032722793611706,3
0.9,2.5713266845560225,3
0.91,3.0583374524432494,3
0.92,3.3976082469365965,3
0.93,3.7166083195462085,3
0.9400000000000001,5.512964678895451,3
0.9500000000000001,6.948329407482651,3
0.96,7.107723548647781,3
0.97,7.395604290793266,3
0.98,8.742603132945169,3
0.99,9.584222223851423,3
1.0,10.175931310100083,3
