cdf,decode_time_execution_plus_preemption_normalized,replica
0.0,0.0,0
0.01,0.0013981627474541592,0
0.02,0.007626619228268936,0
0.03,0.01055623461749676,0
0.04,0.01231262789441968,0
0.05,0.013686590009568416,0
0.06,0.014346937993382321,0
0.07,0.014940340751850703,0
0.08,0.016277492511353655,0
0.09,0.018803121268042098,0
0.1,0.02065121859434063,0
0.11,0.02283843036884158,0
0.12,0.022981557676873446,0
0.13,0.023736874372197625,0
0.14,0.024510791482182777,0
0.15,0.02544316182001896,0
0.16,0.025820752660105785,0
0.17,0.026052000147767256,0
0.18,0.026302835186399302,0
0.19,0.026414992909060197,0
0.2,0.02656046325202744,0
0.21,0.026723548942877387,0
0.22,0.026883836362710932,0
0.23,0.027263510279554662,0
0.24,0.027996523937514273,0
0.25,0.028645704999359495,0
0.26,0.028900868389792243,0
0.27,0.029330257767380408,0
0.28,0.03025010873696634,0
0.29,0.030357075183031736,0
0.3,0.030432414132243048,0
0.31,0.030741738894525736,0
0.32,0.031016975991413412,0
0.33,0.03108148559026927,0
0.34,0.031179039666626985,0
0.35000000000000003,0.031496540057946006,0
0.36,0.03152459413874583,0
0.37,0.03156021392217628,0
0.38,0.03174952473056529,0
0.39,0.03178640606073328,0
0.4,0.03182266996829925,0
0.41000000000000003,0.031952824762517096,0
0.42,0.03202550591846023,0
0.43,0.03203505238178653,0
0.44,0.03207131949087358,0
0.45,0.032101598193998736,0
0.46,0.03212161873841227,0
0.47000000000000003,0.03221402648858395,0
0.48,0.03224597645377357,0
0.49,0.032251528468493315,0
0.5,0.03226708549824664,0
0.51,0.03233241676524197,0
0.52,0.03240049960809864,0
0.53,0.03243751309920368,0
0.54,0.03248276067063678,0
0.55,0.0325234805242836,0
0.56,0.03258979641896061,0
0.5700000000000001,0.03271683857082509,0
0.58,0.03285527077048061,0
0.59,0.03288727419604834,0
0.6,0.03331109269559497,0
0.61,0.03332059697565839,0
0.62,0.0333452274434387,0
0.63,0.033482775933226065,0
0.64,0.03369308260283772,0
0.65,0.03379194229103689,0
0.66,0.03382754704513881,0
0.67,0.03387653954378523,0
0.68,0.033879851253576114,0
0.6900000000000001,0.03390197497342544,0
0.7000000000000001,0.03391877191208615,0
0.71,0.03398656413313633,0
0.72,0.034088344194313,0
0.73,0.034133777813009955,0
0.74,0.03423537008147951,0
0.75,0.03426980365131148,0
0.76,0.034323984592040384,0
0.77,0.03439072454484601,0
0.78,0.03443634854575999,0
0.79,0.03448635573855337,0
0.8,0.034579999989686014,0
0.81,0.034593079302587676,0
0.8200000000000001,0.03461206854112784,0
0.8300000000000001,0.03471285785628708,0
0.84,0.03479419060124786,0
0.85,0.03486847119436846,0
0.86,0.03492560968072526,0
0.87,0.03493995046396856,0
0.88,0.03496378725201652,0
0.89,0.03502155892503665,0
0.9,0.03503937798770719,0
0.91,0.035056261575600135,0
0.92,0.03506971122848386,0
0.93,0.03525971703929836,0
0.9400000000000001,0.03534481491957039,0
0.9500000000000001,0.03543708964470273,0
0.96,0.03553855807169213,0
0.97,0.035663198207439545,0
0.98,0.03593344012278315,0
0.99,0.03613885525599947,0
1.0,0.03674256085070855,0
0.0,0.0,1
0.01,0.011161082844931957,1
