cdf,decode_time_execution_plus_preemption_normalized,replica
0.0,0.008787106608149433,0
0.01,0.00888261757610558,0
0.02,0.008978128544061728,0
0.03,0.009073639512017876,0
0.04,0.009169150479974025,0
0.05,0.009264661447930173,0
0.06,0.00936017241588632,0
0.07,0.009447913425642154,0
0.08,0.009520114518997359,0
0.09,0.009592315612352563,0
0.1,0.009664516705707768,0
0.11,0.009736717799062973,0
0.12,0.009808918892418177,0
0.13,0.009881119985773382,0
0.14,0.009921680316683857,0
0.15,0.009946420266371965,0
0.16,0.009971160216060074,0
0.17,0.009995900165748183,0
0.18,0.010020640115436292,0
0.19,0.0100453800651244,0
0.2,0.010070120014812509,0
0.21,0.010087502457339297,0
0.22,0.010104884899866082,0
0.23,0.01012226734239287,0
0.24,0.010139649784919658,0
0.25,0.010157032227446445,0
0.26,0.010174414669973233,0
0.27,0.010186883565605948,0
0.28,0.010189525367450523,0
0.29,0.010192167169295097,0
0.3,0.010194808971139672,0
0.31,0.010197450772984248,0
0.32,0.010200092574828823,0
0.33,0.010202734376673397,0
0.34,0.010208857306165999,0
0.35000000000000003,0.010216720799482612,0
0.36,0.010224584292799226,0
0.37,0.010232447786115841,0
0.38,0.010240311279432455,0
0.39,0.01024817477274907,0
0.4,0.010256038266065684,0
0.41000000000000003,0.010262935587954136,0
0.42,0.010269832909842588,0
0.43,0.01027673023173104,0
0.44,0.010283627553619492,0
0.45,0.010290524875507944,0
0.46,0.010297422197396397,0
0.47000000000000003,0.010307774230551145,0
0.48,0.010325035686238482,0
0.49,0.01034229714192582,0
0.5,0.010359558597613158,0
0.51,0.010376820053300498,0
0.52,0.010394081508987836,0
0.53,0.010411342964675174,0
0.54,0.0106777363967693,0
0.55,0.011068695817066812,0
0.56,0.011459655237364329,0
0.5700000000000001,0.011850614657661846,0
0.58,0.012241574077959358,0
0.59,0.012632533498256873,0
0.6,0.01302349291855439,0
0.61,0.01322254982299943,0
0.62,0.013421606727444474,0
0.63,0.013620663631889511,0
0.64,0.013819720536334554,0
