cdf,request_execution_time,replica
0.0,1.6556956159430039,0
0.01,1.6603719890785122,0
0.02,1.6650483622140204,0
0.03,1.6697247353495288,0
0.04,1.6744011084850372,0
0.05,1.6790774816205454,0
0.06,1.6837538547560538,0
0.07,1.756374967730254,0
0.08,1.9648855603818383,0
0.09,2.1733961530334223,0
0.1,2.381906745685007,0
0.11,2.590417338336591,0
0.12,2.798927930988175,0
0.13,3.00743852363976,0
0.14,3.105054519017379,0
0.15,3.147223215758016,0
0.16,3.1893919124986523,0
0.17,3.2315606092392892,0
0.18,3.273729305979926,0
0.19,3.3158980027205627,0
0.2,3.3580666994611996,0
0.21,3.362778838306985,0
0.22,3.367490977152771,0
0.23,3.372203115998557,0
0.24,3.3769152548443424,0
0.25,3.381627393690128,0
0.26,3.386339532535914,0
0.27,3.4007930587367046,0
0.28,3.4347293596475046,0
0.29,3.4686656605583046,0
0.3,3.5026019614691046,0
0.31,3.536538262379905,0
0.32,3.570474563290705,0
0.33,3.6044108642015056,0
0.34,3.7053267255304716,0
0.35000000000000003,3.8397323670685197,0
0.36,3.974138008606568,0
0.37,4.108543650144616,0
0.38,4.242949291682665,0
0.39,4.3773549332207145,0
0.4,4.511760574758762,0
0.41000000000000003,4.516745323678102,0
0.42,4.521730072597443,0
0.43,4.526714821516784,0
0.44,4.531699570436125,0
0.45,4.536684319355465,0
0.46,4.541669068274805,0
0.47000000000000003,4.548879208104997,0
0.48,4.560540129756889,0
0.49,4.572201051408783,0
0.5,4.583861973060675,0
0.51,4.595522894712568,0
0.52,4.607183816364461,0
0.53,4.618844738016354,0
0.54,4.710238330490929,0
0.55,4.841498258376842,0
0.56,4.972758186262757,0
0.5700000000000001,5.104018114148672,0
0.58,5.235278042034586,0
0.59,5.3665379699205005,0
0.6,5.497797897806415,0
0.61,5.712728426579678,0
0.62,5.927658955352941,0
0.63,6.1425894841262005,0
0.64,6.357520012899464,0
0.65,6.572450541672726,0
0.66,6.787381070445989,0
0.67,6.974556170287359,0
0.68,7.106220412264944,0
0.6900000000000001,7.237884654242528,0
0.7000000000000001,7.369548896220113,0
0.71,7.501213138197697,0
0.72,7.632877380175281,0
0.73,7.7645416221528665,0
0.74,7.944690460773156,0
0.75,8.149081597714797,0
0.76,8.35347273465644,0
0.77,8.557863871598082,0
0.78,8.762255008539725,0
0.79,8.966646145481366,0
0.8,9.171037282423006,0
0.81,9.192151235345094,0
0.8200000000000001,9.213265188267183,0
0.8300000000000001,9.23437914118927,0
0.84,9.25549309411136,0
0.85,9.276607047033448,0
0.86,9.297720999955535,0
0.87,9.377427696281147,0
0.88,9.574319879413801,0
0.89,9.771212062546459,0
0.9,9.968104245679115,0
0.91,10.164996428811772,0
0.92,10.36188861194443,0
0.93,10.558780795077086,0
0.9400000000000001,10.681947584770656,0
0.9500000000000001,10.768251677744685,0
0.96,10.854555770718713,0
0.97,10.940859863692742,0
0.98,11.02716395666677,0
0.99,11.113468049640801,0
1.0,11.19977214261483,0
0.0,0.5335353816130144,1
0.01,0.5955090217171496,1
0.02,0.6574826618212849,1
0.03,0.7194563019254201,1
0.04,0.7814299420295553,1
0.05,0.8434035821336906,1
0.06,0.9053772222378258,1
0.07,0.9602106844776496,1
0.08,1.0007637909888505,1
0.09,1.0413168975000515,1
0.1,1.0818700040112523,1
0.11,1.1224231105224534,1
0.12,1.1629762170336542,1
0.13,1.2035293235448552,1
0.14,1.2902742481208835,1
0.15,1.4001150817293255,1
0.16,1.5099559153377675,1
0.17,1.6197967489462097,1
0.18,1.7296375825546513,1
0.19,1.8394784161630935,1
0.2,1.9493192497715355,1
0.21,2.0036449477887546,1
0.22,2.0579706458059737,1
0.23,2.112296343823193,1
0.24,2.1666220418404123,1
0.25,2.2209477398576314,1
0.26,2.275273437874851,1
0.27,2.4805749619492503,1
0.28,2.987828138138001,1
0.29,3.495081314326752,1
0.3,4.002334490515506,1
0.31,4.50958766670426,1
0.32,5.016840842893011,1
0.33,5.5240940190817645,1
0.34,5.876534558628289,1
0.35000000000000003,6.151568779853698,1
0.36,6.426603001079107,1
0.37,6.701637222304518,1
0.38,6.976671443529928,1
0.39,7.251705664755338,1
0.4,7.5267398859807475,1
0.41000000000000003,7.67910090862546,1
0.42,7.831461931270174,1
0.43,7.9838229539148875,1
0.44,8.1361839765596,1
0.45,8.288544999204314,1
0.46,8.440906021849027,1
0.47000000000000003,8.717809323667513,1
0.48,9.243797183833545,1
0.49,9.769785043999578,1
0.5,10.295772904165613,1
0.51,10.821760764331648,1
0.52,11.347748624497681,1
0.53,11.873736484663713,1
0.54,12.084726349125772,1
0.55,12.138217215735843,1
0.56,12.191708082345913,1
0.5700000000000001,12.245198948955986,1
0.58,12.298689815566055,1
0.59,12.352180682176128,1
0.6,12.405671548786199,1
0.61,12.864772026279919,1
0.62,13.32387250377364,1
0.63,13.782972981267356,1
0.64,14.242073458761077,1
0.65,14.701173936254797,1
0.66,15.160274413748517,1
0.67,15.718003592680152,1
0.68,16.47299017448761,1
0.6900000000000001,17.22797675629506,1
0.7000000000000001,17.982963338102515,1
0.71,18.737949919909966,1
0.72,19.492936501717423,1
0.73,20.24792308352488,1
0.74,20.65361302574273,1
0.75,20.884654648165768,1
0.76,21.115696270588806,1
0.77,21.346737893011845,1
0.78,21.577779515434884,1
0.79,21.808821137857922,1
0.8,22.039862760280958,1
0.81,22.057728308274456,1
0.8200000000000001,22.075593856267954,1
0.8300000000000001,22.093459404261456,1
0.84,22.111324952254954,1
0.85,22.129190500248452,1
0.86,22.147056048241954,1
0.87,22.19738611953878,1
0.88,22.31264523744226,1
0.89,22.427904355345746,1
0.9,22.54316347324923,1
0.91,22.658422591152718,1
0.92,22.773681709056202,1
0.93,22.888940826959686,1
0.9400000000000001,23.245289718105415,1
0.9500000000000001,23.72218349587227,1
0.96,24.199077273639116,1
0.97,24.675971051405973,1
0.98,25.152864829172827,1
0.99,25.62975860693968,1
1.0,26.106652384706535,1
0.0,0.2583742639826386,2
0.01,0.4970096605761559,2
0.02,0.7356450571696733,2
0.03,0.9742804537631906,2
0.04,1.212915850356708,2
0.05,1.4515512469502254,2
0.06,1.6901866435437427,2
0.07,1.9143653758834132,2
0.08,2.1096307797153884,2
0.09,2.3048961835473643,2
0.1,2.50016158737934,2
0.11,2.6954269912113156,2
0.12,2.890692395043291,2
0.13,3.085957798875267,2
0.14,3.2681635923589725,2
0.15,3.4438395806685427,2
0.16,3.619515568978113,2
0.17,3.7951915572876835,2
0.18,3.9708675455972533,2
0.19,4.146543533906824,2
0.2,4.322219522216394,2
0.21,4.561754485786023,2
0.22,4.801289449355651,2
0.23,5.0408244129252795,2
0.24,5.280359376494907,2
0.25,5.519894340064536,2
0.26,5.759429303634166,2
0.27,5.957387356177431,2
0.28,6.07219158666797,2
0.29,6.18699581715851,2
0.3,6.301800047649051,2
0.31,6.416604278139591,2
0.32,6.531408508630131,2
0.33,6.646212739120671,2
0.34,6.853674746840389,2
0.35000000000000003,7.107465643174695,2
0.36,7.361256539509002,2
0.37,7.61504743584331,2
0.38,7.868838332177617,2
0.39,8.122629228511924,2
0.4,8.37642012484623,2
0.41000000000000003,8.41706252828081,2
0.42,8.45770493171539,2
0.43,8.49834733514997,2
0.44,8.53898973858455,2
0.45,8.57963214201913,2
0.46,8.62027454545371,2
0.47000000000000003,8.647617503134416,2
0.48,8.648361569307376,2
0.49,8.649105635480334,2
0.5,8.649849701653292,2
0.51,8.650593767826251,2
0.52,8.651337833999209,2
0.53,8.652081900172169,2
0.54,8.748650637950766,2
0.55,8.893131711532178,2
0.56,9.037612785113593,2
0.5700000000000001,9.182093858695008,2
0.58,9.32657493227642,2
0.59,9.471056005857836,2
0.6,9.61553707943925,2
0.61,9.6399861833824,2
0.62,9.664435287325551,2
0.63,9.6888843912687,2
0.64,9.71333349521185,2
0.65,9.737782599155,2
0.66,9.762231703098152,2
0.67,9.816651097499278,2
0.68,9.931011072816359,2
0.6900000000000001,10.045371048133436,2
0.7000000000000001,10.159731023450517,2
0.71,10.274090998767596,2
0.72,10.388450974084675,2
0.73,10.502810949401756,2
0.74,10.56664537095958,2
0.75,10.605217015637779,2
0.76,10.643788660315975,2
0.77,10.682360304994173,2
0.78,10.720931949672371,2
0.79,10.75950359435057,2
0.8,10.798075239028766,2
0.81,11.236258950446148,2
0.8200000000000001,11.674442661863523,2
0.8300000000000001,12.112626373280905,2
0.84,12.550810084698288,2
0.85,12.988993796115668,2
0.86,13.42717750753305,2
0.87,13.935651823396142,2
0.88,14.584707348150646,2
0.89,15.233762872905155,2
0.9,15.882818397659666,2
0.91,16.531873922414174,2
0.92,17.180929447168687,2
0.93,17.829984971923196,2
0.9400000000000001,18.14260063413484,2
0.9500000000000001,18.286996365075062,2
0.96,18.43139209601528,2
0.97,18.5757878269555,2
0.98,18.720183557895723,2
0.99,18.864579288835944,2
1.0,19.008975019776166,2
0.0,2.3530453168977705,3
0.01,3.2215158858330653,3
0.02,4.08998645476836,3
0.03,4.958457023703655,3
0.04,5.826927592638949,3
0.05,6.695398161574245,3
0.06,7.5638687305095385,3
0.07,8.187835440475268,3
0.08,8.322794432501867,3
0.09,8.457753424528464,3
0.1,8.592712416555063,3
0.11,8.727671408581662,3
0.12,8.862630400608259,3
0.13,8.997589392634858,3
0.14,9.182020201422123,3
0.15,9.391186918589721,3
0.16,9.600353635757319,3
0.17,9.809520352924919,3
0.18,10.018687070092517,3
0.19,10.227853787260116,3
0.2,10.437020504427714,3
0.21,10.516410216978645,3
0.22,10.595799929529576,3
0.23,10.675189642080507,3
0.24,10.754579354631439,3
0.25,10.83396906718237,3
0.26,10.9133587797333,3
0.27,11.000082793902774,3
0.28,11.10147541130933,3
0.29,11.202868028715889,3
0.3,11.304260646122447,3
0.31,11.405653263529004,3
0.32,11.507045880935562,3
0.33,11.608438498342121,3
0.34,11.653737520416156,3
0.35000000000000003,11.670989744823931,3
0.36,11.688241969231706,3
0.37,11.70549419363948,3
0.38,11.722746418047254,3
0.39,11.73999864245503,3
0.4,11.757250866862805,3
0.41000000000000003,11.758032554813195,3
0.42,11.758814242763583,3
0.43,11.759595930713973,3
0.44,11.760377618664362,3
0.45,11.76115930661475,3
0.46,11.76194099456514,3
0.47000000000000003,11.77688564878898,3
0.48,11.820156235559722,3
0.49,11.863426822330462,3
0.5,11.906697409101204,3
0.51,11.949967995871946,3
0.52,11.993238582642686,3
0.53,12.036509169413428,3
0.54,12.174151811083583,3
0.55,12.358980480203439,3
