cdf,request_execution_time_normalized,replica
0.0,0.009357756501822507,0
0.01,0.00948186329324143,0
0.02,0.009605970084660352,0
0.03,0.009730076876079272,0
0.04,0.009854183667498195,0
0.05,0.009978290458917117,0
0.06,0.01010239725033604,0
0.07,0.010219254844303843,0
0.08,0.010321614043369409,0
0.09,0.010423973242434974,0
0.1,0.01052633244150054,0
0.11,0.010628691640566105,0
0.12,0.01073105083963167,0
0.13,0.010833410038697236,0
0.14,0.010880336374108466,0
0.15,0.010899546277692526,0
0.16,0.010918756181276587,0
0.17,0.010937966084860648,0
0.18,0.01095717598844471,0
0.19,0.01097638589202877,0
0.2,0.010995595795612831,0
0.21,0.011007766700012625,0
0.22,0.011019937604412418,0
0.23,0.01103210850881221,0
0.24,0.011044279413212003,0
0.25,0.011056450317611797,0
0.26,0.01106862122201159,0
0.27,0.011088195941933993,0
0.28,0.011122578292901615,0
0.29,0.011156960643869238,0
0.3,0.011191342994836862,0
0.31,0.011225725345804485,0
0.32,0.011260107696772107,0
0.33,0.01129449004773973,0
0.34,0.011384943033714156,0
0.35000000000000003,0.011503431337191986,0
0.36,0.011621919640669815,0
0.37,0.011740407944147645,0
0.38,0.011858896247625473,0
0.39,0.011977384551103303,0
0.4,0.012095872854581132,0
0.41000000000000003,0.012307901018819237,0
0.42,0.012519929183057344,0
0.43,0.01273195734729545,0
0.44,0.012943985511533555,0
0.45,0.013156013675771662,0
0.46,0.013368041840009767,0
0.47000000000000003,0.013562941524079448,0
0.48,0.013723584247812282,0
0.49,0.013884226971545116,0
0.5,0.014044869695277951,0
0.51,0.014205512419010784,0
0.52,0.01436615514274362,0
0.53,0.014526797866476452,0
0.54,0.014884236522618308,0
0.55,0.015340073144964664,0
0.56,0.015795909767311024,0
0.5700000000000001,0.016251746389657387,0
0.58,0.016707583012003743,0
0.59,0.017163419634350103,0
0.6,0.017619256256696466,0
0.61,0.017838319813749448,0
0.62,0.018057383370802434,0
0.63,0.018276446927855412,0
0.64,0.018495510484908394,0
0.65,0.018714574041961377,0
0.66,0.018933637599014362,0
0.67,0.01917999061989286,0
0.68,0.019480922568422397,0
0.6900000000000001,0.019781854516951927,0
0.7000000000000001,0.020082786465481464,0
0.71,0.020383718414010994,0
0.72,0.020684650362540528,0
0.73,0.020985582311070065,0
0.74,0.021556748808170188,0
0.75,0.02226303257955561,0
0.76,0.022969316350941033,0
0.77,0.023675600122326456,0
0.78,0.02438188389371188,0
0.79,0.0250881676650973,0
0.8,0.025794451436482718,0
0.81,0.02663488890650565,0
0.8200000000000001,0.027475326376528574,0
0.8300000000000001,0.028315763846551507,0
0.84,0.029156201316574436,0
0.85,0.02999663878659737,0
0.86,0.030837076256620303,0
0.87,0.03177431638724618,0
0.88,0.032905161839077934,0
0.89,0.034036007290909706,0
0.9,0.03516685274274148,0
0.91,0.03629769819457324,0
0.92,0.037428543646405014,0
0.93,0.03855938909823678,0
0.9400000000000001,0.03991239681203028,0
0.9500000000000001,0.04137648565680467,0
0.96,0.042840574501579035,0
0.97,0.044304663346353426,0
0.98,0.04576875219112781,0
0.99,0.0472328410359022,0
1.0,0.04869692988067659,0
0.0,0.011273620616128082,1
0.01,0.011633780376037952,1
0.02,0.011993940135947822,1
0.03,0.012354099895857692,1
0.04,0.012714259655767562,1
0.05,0.013074419415677432,1
0.06,0.013434579175587302,1
0.07,0.013713292201173666,1
0.08,0.013829111758113018,1
0.09,0.01394493131505237,1
0.1,0.014060750871991722,1
0.11,0.014176570428931076,1
0.12,0.014292389985870428,1
0.13,0.01440820954280978,1
0.14,0.015461127470179123,1
0.15,0.01698259458276346,1
0.16,0.0185040616953478,1
0.17,0.02002552880793214,1
