cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.0013871231137825026
0.02,0.006422952356775106
0.03,0.007717802023305312
0.04,0.00777169204709689
0.05,0.007800408246024138
0.06,0.008046274448401742
0.07,0.008687294543451936
0.08,0.008786669820868873
0.09,0.008828572279377077
0.1,0.008925156877203157
0.11,0.009281074157738328
0.12,0.009369754100935903
0.13,0.009397720689546885
0.14,0.009418510959398834
0.15,0.00976058833392505
0.16,0.009832369457897326
0.17,0.009892844523241413
0.18,0.010047029395103607
0.19,0.010188292526589721
0.2,0.010224584292799226
0.21,0.010286846303834104
0.22,0.010410192200962684
0.23,0.010502456481630128
0.24,0.010584788774485078
0.25,0.010745119780846902
0.26,0.010879063770462844
0.27,0.010908528557600695
0.28,0.010972655703714829
0.29,0.011150682180098792
0.3,0.01125037163752504
0.31,0.011436269467157359
0.32,0.012339536370537675
0.33,0.012882481410158594
0.34,0.013042403459413907
0.35000000000000003,0.013267475328525312
0.36,0.013476743696519656
0.37,0.013493236968225856
0.38,0.013699764924332773
0.39,0.014058007949492742
0.4,0.014220659896902965
0.41000000000000003,0.014372951944623623
0.42,0.014710274334279894
0.43,0.015112826754008797
0.44,0.015557260932797374
0.45,0.016309061186867004
0.46,0.016504827428399253
0.47000000000000003,0.016564291002510112
0.48,0.016773908981552517
0.49,0.017042513949349605
0.5,0.01776154654479168
0.51,0.01818959871975462
0.52,0.018600270591838018
0.53,0.018976466029028145
0.54,0.019140645716812153
0.55,0.019441869792091834
0.56,0.019607373649375832
0.5700000000000001,0.020185572798111225
0.58,0.020580348036116688
0.59,0.02133144022217687
0.6,0.02172348487299894
0.61,0.02222114559249514
0.62,0.022448784271126954
0.63,0.022712320538565756
0.64,0.023326753047811868
0.65,0.023696808844930917
0.66,0.023814543091012004
0.67,0.023876674794466785
0.68,0.024455363363819822
0.6900000000000001,0.025228767197827667
0.7000000000000001,0.025698653574258653
0.71,0.026126270401885424
0.72,0.026683215243464987
0.73,0.027501520049680785
0.74,0.02816465005728849
0.75,0.028530789057713953
0.76,0.029283914323618467
0.77,0.029602355029209187
0.78,0.029963015593412072
0.79,0.03024567075763275
0.8,0.0311762661704587
0.81,0.032087561642596144
0.8200000000000001,0.03263628230942876
0.8300000000000001,0.03283673218665795
0.84,0.03357724722268361
0.85,0.0338710170904879
0.86,0.03427164658611784
0.87,0.0351614938836179
0.88,0.03562667423659513
0.89,0.035683095421658574
0.9,0.036148688640829756
0.91,0.03669608605980717
0.92,0.036941475985191215
0.93,0.03766579405490885
0.9400000000000001,0.03788442183987899
0.9500000000000001,0.03923766420082907
0.96,0.04097301080078836
0.97,0.042124165355734565
0.98,0.04615692257056124
0.99,0.046512621538450837
1.0,0.05649217556942527
