cdf,request_scheduling_delay,replica
0.0,0.0,0
0.01,4.6408589037039145e-06,0
0.02,9.281717807407829e-06,0
0.03,1.3922576711111744e-05,0
0.04,1.856343561481566e-05,0
0.05,2.3204294518519575e-05,0
0.06,2.784515342222349e-05,0
0.07,4.941101535143046e-05,0
0.08,0.00010482688333164346,0
0.09,0.00016024275131185645,0
0.1,0.00021565861929206953,0
0.11,0.00027107448727228253,0
0.12,0.0003264903552524955,0
0.13,0.0003819062232327087,0
0.14,0.000483578612225033,0
0.15,0.0006083792617234129,0
0.16,0.0007331799112217929,0
0.17,0.0008579805607201731,0
0.18,0.0009827812102185527,0
0.19,0.001107581859716933,0
0.2,0.001232382509215313,0
0.21,0.0015640961041704757,0
0.22,0.0018958096991256385,0
0.23,0.0022275232940808026,0
0.24,0.002559236889035964,0
0.25,0.002890950483991128,0
0.26,0.003222664078946292,0
0.27,0.0034464167663473154,0
0.28,0.0034542476386400624,0
0.29,0.003462078510932809,0
0.3,0.0034699093832255556,0
0.31,0.0034777402555183023,0
0.32,0.003485571127811049,0
0.33,0.003493402000103796,0
0.34,0.003716893016868729,0
0.35000000000000003,0.004048214105869752,0
0.36,0.004379535194870775,0
0.37,0.0047108562838718004,0
0.38,0.005042177372872825,0
0.39,0.00537349846187385,0
0.4,0.005704819550874873,0
0.41000000000000003,0.0057370826195084264,0
0.42,0.00576934568814198,0
0.43,0.0058016087567755335,0
0.44,0.0058338718254090875,0
0.45,0.0058661348940426405,0
0.46,0.005898397962676194,0
0.47000000000000003,0.0059600706257404434,0
0.48,0.006080562477666084,0
0.49,0.006201054329591726,0
0.5,0.006321546181517368,0
0.51,0.006442038033443009,0
0.52,0.006562529885368652,0
0.53,0.006683021737294292,0
0.54,0.05718797177776792,0
0.55,0.13288515091251374,0
0.56,0.20858233004726046,0
0.5700000000000001,0.2842795091820072,0
0.58,0.359976688316753,0
0.59,0.4356738674514997,0
0.6,0.5113710465862464,0
0.61,0.6966722265785283,0
0.62,0.8819734065708102,0
0.63,1.06727458656309,0
0.64,1.2525757665553718,0
0.65,1.4378769465476537,0
0.66,1.6231781265399357,0
0.67,1.749538211337168,0
0.68,1.7580161057443036,0
0.6900000000000001,1.766494000151439,0
0.7000000000000001,1.7749718945585746,0
0.71,1.7834497889657102,0
0.72,1.7919276833728457,0
0.73,1.8004055777799812,0
0.74,1.8330381373132674,0
0.75,1.877748029409629,0
0.76,1.9224579215059905,0
0.77,1.967167813602352,0
0.78,2.011877705698714,0
0.79,2.0565875977950756,0
0.8,2.1012974898914365,0
0.81,2.1037355617463986,0
0.8200000000000001,2.1061736336013603,0
0.8300000000000001,2.1086117054563225,0
0.84,2.111049777311284,0
0.85,2.1134878491662463,0
0.86,2.1159259210212085,0
0.87,2.128894991769579,0
0.88,2.162926060304766,0
0.89,2.196957128839954,0
0.9,2.230988197375142,0
0.91,2.26501926591033,0
0.92,2.2990503344455178,0
0.93,2.333081402980705,0
0.9400000000000001,2.3490901686706054,0
0.9500000000000001,2.356087782937862,0
0.96,2.363085397205119,0
0.97,2.370083011472375,0
0.98,2.377080625739632,0
0.99,2.3840782400068887,0
1.0,2.3910758542741455,0
0.0,0.0,1
0.01,0.0007647611875454374,1
0.02,0.0015295223750908748,1
0.03,0.002294283562636312,1
0.04,0.0030590447501817495,1
0.05,0.003823805937727187,1
0.06,0.004588567125272624,1
0.07,0.00517997832226883,1
0.08,0.005424689538166572,1
0.09,0.0056694007540643125,1
0.1,0.005914111969962055,1
0.11,0.006158823185859796,1
0.12,0.006403534401757538,1
0.13,0.00664824561765528,1
0.14,0.0141374681642029,1
0.15,0.025248946376075443,1
0.16,0.036360424587947984,1
0.17,0.04747190279982056,1
0.18,0.058583381011693074,1
0.19,0.06969485922356565,1
0.2,0.08080633743543819,1
0.21,0.41795077585840884,1
0.22,0.7550952142813795,1
0.23,1.0922396527043512,1
0.24,1.4293840911273208,1
0.25,1.7665285295502926,1
0.26,2.103672967973264,1
0.27,2.341065909842957,1
0.28,2.378955858606095,1
0.29,2.416845807369233,1
0.3,2.4547357561323713,1
0.31,2.4926257048955094,1
0.32,2.5305156536586475,1
0.33,2.568405602421786,1
0.34,2.5866354316457825,1
0.35000000000000003,2.5950352011002082,1
0.36,2.603434970554634,1
0.37,2.61183474000906,1
0.38,2.6202345094634856,1
0.39,2.6286342789179113,1
0.4,2.637034048372337,1
0.41000000000000003,2.65587192132116,1
0.42,2.674709794269983,1
0.43,2.693547667218806,1
0.44,2.712385540167629,1
0.45,2.731223413116452,1
0.46,2.750061286065275,1
0.47000000000000003,2.764708839274562,1
0.48,2.770975753004777,1
0.49,2.777242666734992,1
0.5,2.783509580465207,1
0.51,2.789776494195422,1
0.52,2.796043407925637,1
0.53,2.802310321655852,1
0.54,2.848488772191253,1
0.55,2.914622991129246,1
0.56,2.980757210067239,1
0.5700000000000001,3.0468914290052322,1
0.58,3.113025647943225,1
0.59,3.179159866881218,1
0.6,3.2452940858192116,1
0.61,3.2716078257097214,1
0.62,3.297921565600231,1
0.63,3.3242353054907405,1
0.64,3.3505490453812503,1
0.65,3.3768627852717596,1
0.66,3.4031765251622694,1
0.67,3.422656598931748,1
0.68,3.428469340459164,1
0.6900000000000001,3.4342820819865807,1
0.7000000000000001,3.4400948235139968,1
0.71,3.445907565041413,1
0.72,3.4517203065688293,1
0.73,3.4575330480962454,1
0.74,3.4838839076113772,1
0.75,3.5205038261203674,1
0.76,3.5571237446293575,1
0.77,3.5937436631383473,1
0.78,3.6303635816473374,1
0.79,3.666983500156327,1
0.8,3.703603418665317,1
0.81,5.779471857676926,1
0.8200000000000001,7.855340296688512,1
0.8300000000000001,9.931208735700121,1
0.84,12.007077174711732,1
0.85,14.082945613723341,1
0.86,16.15881405273495,1
0.87,17.568673759556386,1
0.88,17.646516001997497,1
0.89,17.724358244438612,1
0.9,17.802200486879723,1
0.91,17.880042729320834,1
0.92,17.95788497176195,1
0.93,18.03572721420306,1
0.9400000000000001,18.115272048353585,1
0.9500000000000001,18.195668178358815,1
0.96,18.276064308364045,1
0.97,18.356460438369275,1
0.98,18.436856568374505,1
0.99,18.51725269837974,1
1.0,18.59764882838497,1
0.0,0.0,2
0.01,0.00012924033351120466,2
0.02,0.0002584806670224093,2
0.03,0.000387721000533614,2
0.04,0.0005169613340448187,2
0.05,0.0006462016675560234,2
0.06,0.000775442001067228,2
0.07,0.0009442876146092517,2
0.08,0.0011923437882129127,2
0.09,0.001440399961816574,2
0.1,0.0016884561354202354,2
0.11,0.0019365123090238966,2
0.12,0.0021845684826275577,2
0.13,0.0024326246562312195,2
0.14,0.0030363762136888187,2
0.15,0.0038179754630733864,2
0.16,0.004599574712457954,2
0.17,0.0053811739618425235,2
0.18,0.0061627732112270895,2
0.19,0.006944372460611659,2
0.2,0.007725971709996227,2
0.21,0.007774587222236317,2
0.22,0.007823202734476408,2
0.23,0.0078718182467165,2
0.24,0.007920433758956591,2
0.25,0.007969049271196682,2
0.26,0.008017664783436773,2
0.27,0.05360274858610137,2
0.28,0.19026076896961255,2
0.29,0.32691878935312374,2
0.3,0.46357680973663573,2
0.31,0.6002348301201477,2
0.32,0.7368928505036589,2
0.33,0.8735508708871709,2
0.34,0.9256048079774326,2
0.35000000000000003,0.9353567034210695,2
0.36,0.9451085988647063,2
0.37,0.9548604943083433,2
0.38,0.9646123897519802,2
0.39,0.9743642851956171,2
0.4,0.984116180639254,2
0.41000000000000003,0.9938542389589491,2
0.42,1.0035922972786444,2
0.43,1.0133303555983395,2
0.44,1.0230684139180348,2
0.45,1.03280647223773,2
0.46,1.0425445305574252,2
0.47000000000000003,1.0669979131924798,2
0.48,1.1208819444582532,2
0.49,1.174765975724027,2
0.5,1.2286500069898008,2
0.51,1.2825340382555745,2
0.52,1.3364180695213483,2
0.53,1.3903021007871217,2
0.54,1.454738124278774,2
0.55,1.5244501438833642,2
0.56,1.594162163487955,2
0.5700000000000001,1.663874183092546,2
0.58,1.733586202697136,2
0.59,1.803298222301727,2
0.6,1.873010241906318,2
0.61,1.9285086285596427,2
0.62,1.9840070152129676,2
0.63,2.039505401866292,2
0.64,2.0950037885196164,2
0.65,2.1505021751729414,2
0.66,2.2060005618262664,2
0.67,2.245869163724753,2
0.68,2.2544781961135656,2
0.6900000000000001,2.2630872285023775,2
0.7000000000000001,2.27169626089119,2
0.71,2.280305293280002,2
0.72,2.2889143256688143,2
0.73,2.2975233580576266,2
0.74,2.364058064179335,2
0.75,2.4595556071674927,2
0.76,2.55505315015565,2
0.77,2.6505506931438076,2
0.78,2.746048236131965,2
0.79,2.8415457791201226,2
0.8,2.937043322108279,2
0.81,2.968046166483259,2
0.8200000000000001,2.999049010858239,2
0.8300000000000001,3.030051855233219,2
0.84,3.0610546996081993,2
0.85,3.0920575439831794,2
0.86,3.1230603883581596,2
0.87,3.169860747435742,2
0.88,3.248256135918528,2
0.89,3.3266515244013144,2
0.9,3.405046912884101,2
0.91,3.483442301366888,2
0.92,3.5618376898496744,2
0.93,3.6402330783324612,2
0.9400000000000001,3.8210296734089813,2
0.9500000000000001,4.053026871782371,2
0.96,4.285024070155758,2
0.97,4.517021268529147,2
0.98,4.749018466902536,2
0.99,4.981015665275925,2
1.0,5.213012863649315,2
0.0,0.0,3
0.01,0.00020516268979801078,3
0.02,0.00041032537959602157,3
0.03,0.0006154880693940323,3
0.04,0.0008206507591920431,3
0.05,0.0010258134489900539,3
0.06,0.0012309761387880645,3
0.07,0.3089118589894709,3
0.08,1.231544182161922,3
0.09,2.154176505334373,3
0.1,3.0768088285068256,3
0.11,3.9994411516792767,3
0.12,4.922073474851728,3
0.13,5.844705798024181,3
0.14,6.234369052999483,3
0.15,6.357547773876212,3
0.16,6.480726494752941,3
0.17,6.60390521562967,3
0.18,6.727083936506398,3
0.19,6.850262657383127,3
0.2,6.973441378259856,3
0.21,7.009361754372405,3
0.22,7.045282130484954,3
0.23,7.081202506597504,3
0.24,7.117122882710053,3
0.25,7.153043258822602,3
0.26,7.188963634935152,3
0.27,7.225923792209412,3
0.28,7.264963511807094,3
0.29,7.304003231404777,3
0.3,7.3430429510024595,3
0.31,7.382082670600142,3
0.32,7.421122390197825,3
0.33,7.460162109795507,3
0.34,7.512785513011447,3
0.35000000000000003,7.572200758036513,3
0.36,7.63161600306158,3
0.37,7.691031248086647,3
0.38,7.750446493111713,3
0.39,7.809861738136781,3
0.4,7.869276983161847,3
0.41000000000000003,7.883490040984692,3
0.42,7.897703098807538,3
0.43,7.911916156630383,3
0.44,7.926129214453228,3
0.45,7.940342272276074,3
0.46,7.954555330098919,3
0.47000000000000003,7.971218504139401,3
0.48,7.992781910615155,3
0.49,8.014345317090909,3
0.5,8.035908723566664,3
0.51,8.057472130042417,3
0.52,8.079035536518171,3
0.53,8.100598942993924,3
0.54,8.144869283565368,3
0.55,8.200493091184654,3
0.56,8.256116898803942,3
0.5700000000000001,8.311740706423228,3
0.58,8.367364514042515,3
0.59,8.422988321661801,3
0.6,8.478612129281089,3
0.61,8.489998259837906,3
0.62,8.501384390394723,3
0.63,8.51277052095154,3
0.64,8.524156651508356,3
0.65,8.535542782065173,3
0.66,8.54692891262199,3
0.67,8.56309227101657,3
0.68,8.588810085086678,3
0.6900000000000001,8.614527899156785,3
0.7000000000000001,8.640245713226893,3
0.71,8.665963527297,3
0.72,8.691681341367108,3
0.73,8.717399155437215,3
0.74,8.736873665558534,3
0.75,8.753226523705457,3
0.76,8.769579381852381,3
0.77,8.785932239999305,3
0.78,8.802285098146228,3
0.79,8.818637956293152,3
0.8,8.834990814440076,3
0.81,8.876977336243911,3
0.8200000000000001,8.918963858047746,3
0.8300000000000001,8.960950379851582,3
0.84,9.002936901655417,3
0.85,9.044923423459252,3
0.86,9.086909945263088,3
0.87,9.147529049011563,3
0.88,9.245413316649318,3
0.89,9.343297584287072,3
0.9,9.441181851924826,3
0.91,9.53906611956258,3
0.92,9.636950387200335,3
0.93,9.734834654838089,3
0.9400000000000001,9.802636082373107,3
0.9500000000000001,9.855396089856757,3
0.96,9.908156097340408,3
0.97,9.960916104824058,3
0.98,10.01367611230771,3
0.99,10.06643611979136,3
1.0,10.11919612727501,3
0.0,0.0,4
0.01,0.0,4
0.02,0.0,4
0.03,0.0,4
