cdf,prefill_e2e_time_normalized,replica
0.0,2.889329882685135e-05,0
0.01,3.048339909488193e-05,0
0.02,3.2073499362912514e-05,0
0.03,3.36635996309431e-05,0
0.04,3.525369989897368e-05,0
0.05,3.684380016700426e-05,0
0.06,3.8433900435034846e-05,0
0.07,3.977327186678395e-05,0
0.08,4.061118562597009e-05,0
0.09,4.144909938515623e-05,0
0.1,4.228701314434237e-05,0
0.11,4.312492690352851e-05,0
0.12,4.396284066271465e-05,0
0.13,4.480075442190079e-05,0
0.14,4.510345703004793e-05,0
0.15,4.513855406267558e-05,0
0.16,4.5173651095303224e-05,0
0.17,4.5208748127930873e-05,0
0.18,4.5243845160558516e-05,0
0.19,4.5278942193186165e-05,0
0.2,4.531403922581381e-05,0
0.21,4.567211267781658e-05,0
0.22,4.603018612981936e-05,0
0.23,4.638825958182213e-05,0
0.24,4.6746333033824906e-05,0
0.25,4.710440648582768e-05,0
0.26,4.746247993783046e-05,0
0.27,4.78735290386056e-05,0
0.28,4.839052943692548e-05,0
0.29,4.890752983524536e-05,0
0.3,4.9424530233565245e-05,0
0.31,4.994153063188513e-05,0
0.32,5.0458531030205e-05,0
0.33,5.097553142852488e-05,0
0.34,5.124137919428769e-05,0
0.35000000000000003,5.138165064377197e-05,0
0.36,5.1521922093256246e-05,0
0.37,5.166219354274052e-05,0
0.38,5.1802464992224795e-05,0
0.39,5.1942736441709066e-05,0
0.4,5.2083007891193344e-05,0
0.41000000000000003,5.2653323973566784e-05,0
0.42,5.3223640055940223e-05,0
0.43,5.379395613831367e-05,0
0.44,5.43642722206871e-05,0
0.45,5.493458830306055e-05,0
0.46,5.550490438543399e-05,0
0.47000000000000003,5.6084205363200404e-05,0
0.48,5.668147613175277e-05,0
0.49,5.7278746900305136e-05,0
0.5,5.7876017668857506e-05,0
0.51,5.8473288437409876e-05,0
0.52,5.9070559205962246e-05,0
0.53,5.966782997451461e-05,0
0.54,6.252190328810362e-05,0
0.55,6.650437787421087e-05,0
0.56,7.048685246031816e-05,0
0.5700000000000001,7.446932704642546e-05,0
0.58,7.84518016325327e-05,0
0.59,8.243427621863999e-05,0
0.6,8.641675080474729e-05,0
0.61,9.541819449682813e-05,0
0.62,0.00010441963818890898,0
0.63,0.00011342108188098971,0
0.64,0.00012242252557307057,0
0.65,0.0001314239692651514,0
0.66,0.00014042541295723225,0
0.67,0.00014743423192019905,0
0.68,0.00015045780142493783,0
0.6900000000000001,0.00015348137092967659,0
0.7000000000000001,0.00015650494043441536,0
0.71,0.00015952850993915412,0
0.72,0.0001625520794438929,0
0.73,0.00016557564894863167,0
0.74,0.00017489543616531022,0
0.75,0.00018736333223795868,0
0.76,0.00019983122831060716,0
0.77,0.00021229912438325562,0
0.78,0.0002247670204559041,0
0.79,0.00023723491652855256,0
0.8,0.0002497028126012009,0
0.81,0.0002509149377218792,0
0.8200000000000001,0.00025212706284255743,0
0.8300000000000001,0.00025333918796323574,0
0.84,0.00025455131308391404,0
0.85,0.00025576343820459235,0
0.86,0.00025697556332527065,0
0.87,0.0002607307187314814,0
0.88,0.0002695719347087568,0
0.89,0.00027841315068603237,0
0.9,0.0002872543666633079,0
0.91,0.00029609558264058353,0
0.92,0.0003049367986178591,0
0.93,0.00031377801459513463,0
0.9400000000000001,0.00032178852912783355,0
0.9500000000000001,0.00032938369293824437,0
0.96,0.0003369788567486551,0
0.97,0.00034457402055906584,0
0.98,0.00035216918436947666,0
