cdf,request_e2e_time_normalized,replica
0.0,0.010186262937139035,0
0.01,0.01029122229220513,0
0.02,0.010396181647271227,0
0.03,0.010501141002337322,0
0.04,0.010606100357403418,0
0.05,0.010711059712469514,0
0.06,0.01081601906753561,0
0.07,0.010891472162148,0
0.08,0.010907912735852973,0
0.09,0.010924353309557946,0
0.1,0.01094079388326292,0
0.11,0.010957234456967894,0
0.12,0.010973675030672867,0
0.13,0.010990115604377841,0
0.14,0.011026638995474533,0
0.15,0.011073203795267082,0
0.16,0.01111976859505963,0
0.17,0.01116633339485218,0
0.18,0.011212898194644728,0
0.19,0.011259462994437277,0
0.2,0.011306027794229826,0
0.21,0.011561327042448414,0
0.22,0.011816626290667003,0
0.23,0.012071925538885593,0
0.24,0.01232722478710418,0
0.25,0.01258252403532277,0
0.26,0.012837823283541359,0
0.27,0.013214864479975134,0
0.28,0.01383538957283927,0
0.29,0.01445591466570341,0
0.3,0.01507643975856755,0
0.31,0.015696964851431693,0
0.32,0.01631748994429583,0
0.33,0.01693801503715997,0
0.34,0.01716610230597062,0
0.35000000000000003,0.01719797066275452,0
0.36,0.017229839019538427,0
0.37,0.01726170737632233,0
0.38,0.01729357573310623,0
0.39,0.017325444089890136,0
0.4,0.017357312446674038,0
0.41000000000000003,0.017523810746184008,0
0.42,0.01769030904569398,0
0.43,0.017856807345203955,0
0.44,0.018023305644713924,0
0.45,0.018189803944223898,0
0.46,0.01835630224373387,0
0.47000000000000003,0.01846924924881053,0
0.48,0.018475093665020568,0
0.49,0.018480938081230608,0
0.5,0.018486782497440644,0
0.51,0.01849262691365068,0
0.52,0.01849847132986072,0
0.53,0.018504315746070758,0
0.54,0.018529463003165166,0
0.55,0.018564261680701754,0
0.56,0.018599060358238342,0
0.5700000000000001,0.01863385903577493,0
0.58,0.01866865771331152,0
0.59,0.01870345639084811,0
0.6,0.0187382550683847,0
0.61,0.018789783722553924,0
0.62,0.018841312376723145,0
0.63,0.01889284103089237,0
0.64,0.01894436968506159,0
0.65,0.018995898339230814,0
0.66,0.01904742699340004,0
0.67,0.01918568504773815,0
0.68,0.019497401902414044,0
0.6900000000000001,0.019809118757089933,0
0.7000000000000001,0.020120835611765826,0
0.71,0.020432552466441715,0
0.72,0.020744269321117607,0
0.73,0.0210559861757935,0
0.74,0.021624316182722498,0
0.75,0.02232095276577805,0
0.76,0.023017589348833602,0
0.77,0.023714225931889155,0
0.78,0.024410862514944703,0
0.79,0.025107499098000256,0
0.8,0.0258041356810558,0
0.81,0.026653411104731455,0
0.8200000000000001,0.027502686528407098,0
0.8300000000000001,0.02835196195208275,0
0.84,0.029201237375758405,0
0.85,0.03005051279943406,0
0.86,0.030899788223109712,0
0.87,0.03184045748742739,0
0.88,0.032963914433029116,0
0.89,0.03408737137863085,0
0.9,0.035210828324232585,0
0.91,0.03633428526983432,0
0.92,0.03745774221543605,0
0.93,0.03858119916103779,0
0.9400000000000001,0.04615790138214644,0
0.9500000000000001,0.05696122624100862,0
0.96,0.06776455109987067,0
0.97,0.07856787595873285,0
0.98,0.08937120081759503,0
0.99,0.10017452567645722,0
1.0,0.1109778505353194,0
0.0,0.02458993014568514,1
0.01,0.02590588732002757,1
0.02,0.027221844494370002,1
0.03,0.02853780166871243,1
0.04,0.02985375884305486,1
0.05,0.031169716017397292,1
0.06,0.03248567319173972,1
0.07,0.033721604158353624,1
0.08,0.03479748270951048,1
0.09,0.035873361260667334,1
0.1,0.03694923981182419,1
0.11,0.038025118362981045,1
0.12,0.0391009969141379,1
0.13,0.04017687546529476,1
0.14,0.04076256636814898,1
0.15,0.04110316344685188,1
0.16,0.04144376052555478,1
0.17,0.04178435760425768,1
0.18,0.04212495468296058,1
0.19,0.04246555176166348,1
0.2,0.04280614884036638,1
0.21,0.04327254477765456,1
0.22,0.04373894071494275,1
0.23,0.04420533665223093,1
0.24,0.044671732589519106,1
0.25,0.04513812852680729,1
0.26,0.04560452446409548,1
0.27,0.04596164485616865,1
0.28,0.04610021415781183,1
0.29,0.046238783459455,1
0.3,0.04637735276109818,1
0.31,0.046515922062741355,1
0.32,0.04665449136438453,1
0.33,0.0467930606660277,1
0.34,0.04696539018982478,1
0.35000000000000003,0.0471545998246988,1
0.36,0.04734380945957283,1
0.37,0.047533019094446856,1
0.38,0.04772222872932088,1
0.39,0.04791143836419491,1
0.4,0.048100647999068935,1
0.41000000000000003,0.04817832649917312,1
0.42,0.048256004999277305,1
0.43,0.04833368349938149,1
0.44,0.04841136199948568,1
0.45,0.04848904049958987,1
0.46,0.04856671899969405,1
0.47000000000000003,0.04865002746952229,1
0.48,0.04874459587879863,1
0.49,0.04883916428807497,1
0.5,0.048933732697351316,1
0.51,0.04902830110662766,1
0.52,0.049122869515904,1
0.53,0.049217437925180345,1
0.54,0.04960065940109235,1
0.55,0.05012820741032219,1
0.56,0.05065575541955202,1
0.5700000000000001,0.05118330342878186,1
0.58,0.051710851438011685,1
0.59,0.052238399447241526,1
0.6,0.05276594745647136,1
0.61,0.055053085039226,1
0.62,0.05734022262198064,1
0.63,0.05962736020473525,1
0.64,0.061914497787489885,1
0.65,0.06420163537024452,1
0.66,0.06648877295299917,1
0.67,0.07097946889887607,1
0.68,0.07987728157099742,1
0.6900000000000001,0.08877509424311869,1
0.7000000000000001,0.09767290691524005,1
0.71,0.1065707195873613,1
0.72,0.11546853225948267,1
0.73,0.12436634493160403,1
0.74,0.1320656670239403,1
0.75,0.13916574382638403,1
0.76,0.14626582062882776,1
0.77,0.15336589743127146,1
0.78,0.1604659742337152,1
0.79,0.1675660510361589,1
0.8,0.17466612783860255,1
0.81,0.1800838042321231,1
0.8200000000000001,0.18550148062564362,1
0.8300000000000001,0.19091915701916418,1
0.84,0.19633683341268474,1
0.85,0.2017545098062053,1
0.86,0.20717218619972588,1
0.87,0.27154069155052757,1
0.88,0.45381085481588734,1
0.89,0.6360810180812493,1
0.9,0.8183511813466111,1
0.91,1.000621344611973,1
0.92,1.182891507877335,1
0.93,1.3651616711426968,1
0.9400000000000001,1.6171200204592608,1
0.9500000000000001,1.9039224628014297,1
0.96,2.190724905143595,1
0.97,2.477527347485764,1
0.98,2.764329789827933,1
0.99,3.0511322321701018,1
1.0,3.3379346745122707,1
0.0,0.010234624449716389,2
0.01,0.01119963505531308,2
0.02,0.012164645660909771,2
0.03,0.013129656266506463,2
0.04,0.014094666872103156,2
0.05,0.015059677477699847,2
0.06,0.01602468808329654,2
0.07,0.01681430347654269,2
0.08,0.017253128445087754,2
0.09,0.01769195341363282,2
0.1,0.018130778382177887,2
0.11,0.01856960335072295,2
0.12,0.01900842831926802,2
0.13,0.019447253287813087,2
0.14,0.019680622201998288,2
0.15,0.01981126308900356,2
0.16,0.01994190397600883,2
0.17,0.020072544863014102,2
0.18,0.020203185750019375,2
0.19,0.020333826637024644,2
0.2,0.020464467524029917,2
0.21,0.020643474090852435,2
0.22,0.020822480657674954,2
0.23,0.021001487224497472,2
0.24,0.02118049379131999,2
0.25,0.02135950035814251,2
0.26,0.021538506924965027,2
0.27,0.02166322147410843,2
0.28,0.0216793519878936,2
0.29,0.021695482501678773,2
0.3,0.021711613015463944,2
0.31,0.021727743529249114,2
0.32,0.021743874043034288,2
0.33,0.021760004556819458,2
0.34,0.021861681644883647,2
0.35000000000000003,0.022006132020087343,2
0.36,0.022150582395291038,2
0.37,0.022295032770494733,2
0.38,0.022439483145698432,2
0.39,0.022583933520902127,2
0.4,0.022728383896105823,2
0.41000000000000003,0.02279670467545404,2
0.42,0.02286502545480226,2
0.43,0.022933346234150477,2
0.44,0.023001667013498695,2
0.45,0.023069987792846913,2
0.46,0.02313830857219513,2
0.47000000000000003,0.023267311826716413,2
