Request Id,request_execution_plus_preemption_time_normalized
4,0.12073372902524705
5,0.009261485101899943
14,0.0365767142005869
10,0.026046153632949594
26,0.009937471691639945
28,0.05102512910303118
36,0.012199144577091307
24,0.02108589296057991
13,0.009607563930066133
0,0.010995595795612831
8,0.011305950831395604
15,0.019957774146317532
16,0.010185135111281987
6,0.014873392377635072
32,0.010867529771719092
33,0.5335353816130144
22,0.013436175882655341
44,0.016617114094049312
37,0.01807559410882063
20,0.018266279953280513
84,0.4226944619314796
52,0.015690951604829934
56,0.031397367903302255
12,0.015217277180633293
63,0.027378925770587766
45,0.04180794780520382
3,0.033028545900087705
79,0.029632659052389796
21,0.017192231555888386
57,0.03944554092946872
1,0.02458993014568515
73,0.6497730832571785
7,0.02516862941197151
76,0.015016165766019458
108,0.053345347116314716
31,0.02521533658232622
88,0.04869692988067659
102,0.03332036408268545
94,0.06150436725334263
64,0.038936337582180694
47,0.02699157680955393
60,0.015606918416256447
48,0.025794451436482718
34,0.04537006402953263
68,0.014057542423006221
116,0.012571156697422727
29,0.020509465571111718
25,0.04681385490108
30,0.019595921277689377
42,0.04091435609090761
40,0.019079679970383016
38,0.020907765528093973
41,0.037632070647337014
67,0.09050174295760656
61,0.021202250023673794
110,0.021388817275373163
46,0.02287816385709478
54,0.025006695989156957
77,0.019751542323803807
70,0.022807490439776073
69,0.018808469096475013
92,0.013230715081919775
86,0.017339444799442588
17,0.033189573817047915
100,0.010768195669903356
109,0.011773460062296221
65,0.03859866608195255
112,0.011076735158278119
62,0.020133350775281136
2,0.022728383896105826
53,0.019171887533922134
93,0.01598162333100026
104,0.012095872854581132
58,0.02435878727063877
74,0.024139539264686545
66,0.023640245689152517
114,0.013820378363242363
125,0.00915464086151924
126,0.009094159179099585
124,0.009508984235178616
78,0.019149091818736873
85,0.014240634099539188
72,0.017619256256696466
101,0.010702904824185736
117,0.008902414320604781
120,0.009357756501822507
80,0.014580345441054063
82,0.020903341477041846
96,0.013509393949501838
122,0.01278763172253371
71,0.049035852594274724
50,0.023292529680494573
118,0.011372266745975048
98,0.011515796263321498
18,0.020461759978230534
90,0.01920023850851387
106,0.01076405928494501
39,0.03333819945811998
19,0.03806052672149781
11,0.05938796773979624
43,0.037194236723262365
9,0.04279779079460088
75,0.05244105024158471
51,0.037971284025006005
59,0.03669352556444967
35,0.037882806991358875
115,0.036515018429595224
99,0.034122927257775056
55,0.050501706819629365
83,0.03407898801989219
49,0.06088359878530651
91,0.026732868454239545
27,0.026502549750870425
121,0.013674685682193882
107,0.02200800763228287
123,0.027415713136918134
113,0.014446816061789564
89,0.04166582373467623
119,1.4610675035012248
23,0.036416538773923736
87,0.054026069921224024
81,0.035061655717675555
105,0.011273620616128082
103,0.028726370172157286
111,0.031162923311521262
97,0.0395299319533233
127,0.00965410106372727
95,0.03695221505480626
