cdf,prefill_e2e_time,replica
0.0,0.041230737425916875,0
0.01,0.049346892364258044,0
0.02,0.05746304730259921,0
0.03,0.06557920224094038,0
0.04,0.07369535717928155,0
0.05,0.08181151211762272,0
0.06,0.08992766705596389,0
0.07,0.10030429990400624,0
0.08,0.11520188857145097,0
0.09,0.1300994772388957,0
0.1,0.14499706590634043,0
0.11,0.15989465457378516,0
0.12,0.17479224324122986,0
0.13,0.18968983190867464,0
0.14,0.20193900267303846,0
0.15,0.21286396448586187,0
0.16,0.22378892629868527,0
0.17,0.2347138881115087,0
0.18,0.24563884992433208,0
0.19,0.25656381173715553,0
0.2,0.2674887735499789,0
0.21,0.2793836112892922,0
0.22,0.2912784490286055,0
0.23,0.3031732867679188,0
0.24,0.31506812450723204,0
0.25,0.32696296224654536,0
0.26,0.3388577999858587,0
0.27,0.357605206845959,0
0.28,0.39005775194763265,0
0.29,0.4225102970493063,0
0.3,0.45496284215098026,0
0.31,0.4874153872526541,0
0.32,0.5198679323543278,0
0.33,0.5523204774560017,0
0.34,0.5669956922575994,0
0.35000000000000003,0.5727822419091588,0
0.36,0.5785687915607184,0
0.37,0.5843553412122781,0
0.38,0.5901418908638376,0
0.39,0.5959284405153972,0
0.4,0.6017149901669567,0
0.41000000000000003,0.6429330634426795,0
0.42,0.6841511367184027,0
0.43,0.7253692099941258,0
0.44,0.7665872832698486,0
0.45,0.8078053565455717,0
0.46,0.8490234298212949,0
0.47000000000000003,0.8931605875805961,0
0.48,0.9431359143070542,0
0.49,0.9931112410335126,0
0.5,1.043086567759971,0
0.51,1.0930618944864294,0
0.52,1.1430372212128879,0
0.53,1.1930125479393459,0
0.54,1.2972171501690433,0
0.55,1.4285363901503572,0
0.56,1.5598556301316726,0
0.5700000000000001,1.691174870112988,0
0.58,1.822494110094302,0
0.59,1.9538133500756174,0
0.6,2.085132590056933,0
0.61,2.1447238390909686,0
0.62,2.2043150881250044,0
0.63,2.2639063371590398,0
0.64,2.3234975861930756,0
0.65,2.3830888352271113,0
0.66,2.442680084261147,0
0.67,2.4945858285956755,0
0.68,2.5311205635311884,0
0.6900000000000001,2.5676552984667014,0
0.7000000000000001,2.6041900334022143,0
0.71,2.640724768337727,0
0.72,2.6772595032732402,0
0.73,2.713794238208753,0
0.74,2.7283479721049746,0
0.75,2.7319112054815493,0
0.76,2.735474438858124,0
0.77,2.739037672234699,0
0.78,2.742600905611274,0
0.79,2.746164138987849,0
0.8,2.7497273723644238,0
0.81,2.7647996246399775,0
0.8200000000000001,2.7798718769155317,0
0.8300000000000001,2.7949441291910855,0
0.84,2.8100163814666397,0
0.85,2.8250886337421934,0
0.86,2.840160886017747,0
0.87,2.8628714676459524,0
0.88,2.9008587079794594,0
0.89,2.9388459483129665,0
0.9,2.9768331886464736,0
0.91,3.0148204289799807,0
0.92,3.052807669313488,0
0.93,3.0907949096469953,0
0.9400000000000001,3.1819761159815747,0
0.9500000000000001,3.299754305316692,0
0.96,3.417532494651808,0
0.97,3.535310683986925,0
0.98,3.653088873322042,0
0.99,3.770867062657159,0
1.0,3.8886452519922763,0
0.0,0.3753352900822753,1
0.01,0.4419699634939088,1
0.02,0.5086046369055424,1
0.03,0.5752393103171759,1
0.04,0.6418739837288094,1
0.05,0.708508657140443,1
0.06,0.7751433305520765,1
0.07,0.8317046410595067,1
0.08,0.8681192257585302,1
0.09,0.9045338104575537,1
0.1,0.9409483951565771,1
0.11,0.9773629798556006,1
0.12,1.013777564554624,1
0.13,1.0501921492536477,1
0.14,1.2509486382754786,1
0.15,1.5338760794587132,1
0.16,1.8168035206419477,1
0.17,2.099730961825183,1
0.18,2.3826584030084166,1
0.19,2.6655858441916522,1
0.2,2.9485132853748866,1
0.21,3.0069264937454943,1
0.22,3.0653397021161015,1
0.23,3.1237529104867097,1
0.24,3.182166118857317,1
0.25,3.2405793272279246,1
0.26,3.2989925355985323,1
0.27,3.346414702883389,1
0.28,3.3718547879967438,1
0.29,3.3972948731100985,1
0.3,3.4227349582234536,1
0.31,3.448175043336809,1
0.32,3.4736151284501635,1
0.33,3.4990552135635182,1
0.34,3.5122816952044227,1
0.35000000000000003,3.5194013751091013,1
0.36,3.5265210550137804,1
0.37,3.5336407349184595,1
0.38,3.5407604148231386,1
0.39,3.5478800947278173,1
0.4,3.5549997746324964,1
0.41000000000000003,3.5863873654329916,1
0.42,3.6177749562334873,1
0.43,3.6491625470339826,1
0.44,3.680550137834478,1
0.45,3.7119377286349735,1
