cdf,request_execution_time
0.0,0.13610730375917882
0.01,0.48650055092609534
0.02,0.7353270119422455
0.03,0.9964669730470738
0.04,1.1578216167942736
0.05,1.2993499347799355
0.06,1.5668245091301016
0.07,1.9600757142535652
0.08,2.077973326755434
0.09,2.305060959003471
0.1,2.7509936682435345
0.11,3.202990714934509
0.12,3.8917360616956493
0.13,4.664278378927138
0.14,5.133709506390151
0.15,5.772994248033675
0.16,6.051743422882664
0.17,6.491410725181739
0.18,6.615773154340159
0.19,6.848457559299286
0.2,7.198309343228735
0.21,7.627755248566741
0.22,7.99064775160153
0.23,8.221450530232907
0.24,8.668925810351336
0.25,9.03823281457115
0.26,9.311441799117704
0.27,9.722911272587693
0.28,10.113955072008148
0.29,10.790638791683259
0.3,11.199033313853985
0.31,11.47040629875842
0.32,11.736666502075858
0.33,11.980753118476125
0.34,12.381973426713042
0.35000000000000003,12.750220863321427
0.36,13.131655731648635
0.37,13.765231960680854
0.38,14.054298229474247
0.39,14.902783072555797
0.4,15.42482356673427
0.41000000000000003,15.775103284626143
0.42,16.239962413198498
0.43,17.255228128119068
0.44,18.374291429794475
0.45,18.972497371820367
0.46,19.897529422317835
0.47000000000000003,20.52365039753649
0.48,21.46100813339344
0.49,22.54430426445341
0.5,22.938198857261618
0.51,23.93383407424131
0.52,24.75969458106816
0.53,26.294876431037082
0.54,27.58286911500152
0.55,27.886851718067987
0.56,29.517653693597907
0.5700000000000001,30.931146505702813
0.58,31.67135690549696
0.59,34.12920907657842
0.6,34.791521683463515
0.61,35.67183390877659
0.62,37.93772976705517
0.63,39.17002035753301
0.64,41.22745817373963
0.65,44.28544100143683
0.66,47.825402880052096
0.67,53.894221065290665
0.68,58.57676217422077
0.6900000000000001,66.95035719518032
0.7000000000000001,77.94354130254519
0.71,86.59821967328156
0.72,96.80084295081558
0.73,105.75246048721682
0.74,112.54292471023683
0.75,119.31639299512001
0.76,127.49254717080262
0.77,142.05903520300447
0.78,146.55191331965355
0.79,156.60657038320022
0.8,172.61365594020933
0.81,196.8373419449885
0.8200000000000001,214.59213273092467
0.8300000000000001,228.81888536444256
0.84,241.43858383812957
0.85,255.7331729577429
0.86,288.0487902802371
0.87,305.0095878997906
0.88,318.0983853859396
0.89,335.35556882020524
0.9,358.912359588292
0.91,369.08869037431344
0.92,416.02976537967186
0.93,475.28562551465006
0.9400000000000001,538.6255401451787
0.9500000000000001,618.2503492704576
0.96,683.1679024519508
0.97,819.3416965661498
0.98,1086.928370400037
0.99,1245.518524672476
1.0,1803.7772450198868
