cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,1.993661701417351,0
0.08,1.993661701417351,0
0.09,1.993661701417351,0
0.1,1.993661701417351,0
0.11,1.993661701417351,0
0.12,1.993661701417351,0
0.13,1.993661701417351,0
0.14,1.993661701417351,0
0.15,1.993661701417351,0
0.16,1.993661701417351,0
0.17,1.993661701417351,0
0.18,1.993661701417351,0
0.19,1.993661701417351,0
0.2,1.993661701417351,0
0.21,1.993661701417351,0
0.22,2.974233423476717,0
0.23,2.974233423476717,0
0.24,2.974233423476717,0
0.25,4.014835333028612,0
0.26,5.002829575110743,0
0.27,7.924973703917148,0
0.28,8.935418643763667,0
0.29,8.935418643763667,0
0.3,10.074696689511441,0
0.31,10.074696689511441,0
0.32,10.913817739716958,0
0.33,10.913817739716958,0
0.34,10.913817739716958,0
0.35000000000000003,10.913817739716958,0
0.36,10.913817739716958,0
0.37,12.06167417903937,0
0.38,12.06167417903937,0
0.39,13.066290498147941,0
0.4,13.066290498147941,0
0.41000000000000003,13.066290498147941,0
0.42,13.066290498147941,0
0.43,13.874292528934198,0
0.44,13.874292528934198,0
0.45,13.874292528934198,0
0.46,13.874292528934198,0
0.47000000000000003,13.874292528934198,0
0.48,15.029881751769887,0
0.49,15.029881751769887,0
0.5,15.029881751769887,0
0.51,15.029881751769887,0
0.52,15.959309654787097,0
0.53,15.959309654787097,0
0.54,15.959309654787097,0
0.55,15.959309654787097,0
0.56,15.959309654787097,0
0.5700000000000001,16.94621214351123,0
0.58,16.94621214351123,0
0.59,16.94621214351123,0
0.6,16.94621214351123,0
0.61,16.94621214351123,0
0.62,17.994143369901202,0
0.63,17.994143369901202,0
0.64,17.994143369901202,0
0.65,17.994143369901202,0
0.66,19.106877269947287,0
0.67,19.106877269947287,0
0.68,19.106877269947287,0
0.6900000000000001,19.106877269947287,0
0.7000000000000001,19.106877269947287,0
0.71,19.88667024086647,0
0.72,19.88667024086647,0
0.73,19.88667024086647,0
0.74,21.116435486210914,0
0.75,21.116435486210914,0
0.76,21.116435486210914,0
0.77,21.97824287264948,0
0.78,21.97824287264948,0
0.79,21.97824287264948,0
0.8,22.875222481777087,0
0.81,22.875222481777087,0
0.8200000000000001,22.875222481777087,0
0.8300000000000001,23.808809768044906,0
0.84,23.808809768044906,0
0.85,23.808809768044906,0
0.86,24.78049876990369,0
0.87,24.78049876990369,0
0.88,25.791844500743554,0
0.89,25.791844500743554,0
0.9,26.84446543741302,0
0.91,26.84446543741302,0
0.92,27.940046110299996,0
0.93,29.080339799119507,0
0.9400000000000001,30.267171338722385,0
0.9500000000000001,30.878629345565244,0
0.96,32.13885296950424,0
0.97,34.12627690364846,0
0.98,34.8156966390757,0
0.99,43.38334760361396,0
1.0,55.15148501578211,0
