cdf,prefill_e2e_time_normalized
0.0,5.192955601388918e-05
0.01,0.00014336512322901283
0.02,0.0003808850031531693
0.03,0.0009951042599795287
0.04,0.0012754585631182544
0.05,0.0015261232924533713
0.06,0.0016468207509457691
0.07,0.0018949434851688919
0.08,0.002268542010813776
0.09,0.0028982994211412135
0.1,0.0030953435772216255
0.11,0.003401977563408924
0.12,0.0040484980106152155
0.13,0.004602722738901326
0.14,0.005329758179178506
0.15,0.005874581804958295
0.16,0.00622992335551757
0.17,0.006962201170829086
0.18,0.007714210937462803
0.19,0.008155757637383751
0.2,0.009865280295475965
0.21,0.010673980193130709
0.22,0.011308864721820036
0.23,0.012471773888247911
0.24,0.01294212006961892
0.25,0.014292046461083842
0.26,0.015105749025617938
0.27,0.016426774169106803
0.28,0.017302447296084527
0.29,0.018950959289525487
0.3,0.01988014571519441
0.31,0.02089869513170905
0.32,0.022833132779440515
0.33,0.024801651678237543
0.34,0.026313931596555384
0.35000000000000003,0.029418386493175974
0.36,0.03235821260458888
0.37,0.03390093733428116
0.38,0.03581802532163397
0.39,0.04003525126031405
0.4,0.04434763506792934
0.41000000000000003,0.04809858962439772
0.42,0.051332030675439864
0.43,0.05700944641057749
0.44,0.06201804055828557
0.45,0.0635802970746373
0.46,0.06800866190319227
0.47000000000000003,0.0689574483671974
0.48,0.07411883224708046
0.49,0.07887010685284838
0.5,0.08258662778011705
0.51,0.08556181886242617
0.52,0.08832700242526928
0.53,0.09026625688466064
0.54,0.09405094988427744
0.55,0.09795619808720207
0.56,0.10089486363778556
0.5700000000000001,0.1103961676107861
0.58,0.11414961758747345
0.59,0.12348875173061434
0.6,0.12957280058307327
0.61,0.1361273534414312
0.62,0.14729500552103594
0.63,0.15736055410103456
0.64,0.1706535760912261
0.65,0.18131214912280216
0.66,0.18742949128212677
0.67,0.19285519112773095
0.68,0.19948958548160478
0.6900000000000001,0.20448017791538023
0.7000000000000001,0.2112143555478159
0.71,0.22048020174496274
0.72,0.24653567665220444
0.73,0.2637854217111941
0.74,0.2827858925294357
0.75,0.30802119417281715
0.76,0.3451225876312166
0.77,0.3590073020151429
0.78,0.3761174670172203
0.79,0.4182294934047777
0.8,0.4470375586063262
0.81,0.4756785096405529
0.8200000000000001,0.49716446899553685
0.8300000000000001,0.5227183824100101
0.84,0.540121284288325
0.85,0.5641669494897149
0.86,0.6087025008284805
0.87,0.6510502183409407
0.88,0.7224181306997044
0.89,0.7507846561339445
0.9,0.8745247426419331
0.91,0.9226269401376945
0.92,0.9629826075285723
0.93,1.0114089716018102
0.9400000000000001,1.1157032696815765
0.9500000000000001,1.2208577613627243
0.96,1.3096404477539585
0.97,1.4260831964152842
0.98,1.6713267121381596
0.99,1.8695605375653708
1.0,3.273156797891368
