cdf,request_execution_plus_preemption_time_normalized
0.0,0.012348783512805958
0.01,0.016651039278248406
0.02,0.016792160667917187
0.03,0.017226918184160587
0.04,0.017373557424116937
0.05,0.01751557857538502
0.06,0.017601087267511834
0.07,0.017726277850511844
0.08,0.017942334172631046
0.09,0.01809012047002324
0.1,0.018146856844301295
0.11,0.018294978328232153
0.12,0.01857120093582515
0.13,0.01883130421440523
0.14,0.018940961538692604
0.15,0.01928859549368732
0.16,0.019583309582168935
0.17,0.019827276708685497
0.18,0.02037301977413987
0.19,0.02055283016828163
0.2,0.0208313526930795
0.21,0.021136086256849176
0.22,0.021406185723646446
0.23,0.021798658903443173
0.24,0.022107928617666254
0.25,0.02243763711729573
0.26,0.02269887152574106
0.27,0.023054738532078962
0.28,0.02351074431060409
0.29,0.024139172135136173
0.3,0.024561986570628205
0.31,0.02484728229623372
0.32,0.02514086057979162
0.33,0.02552751111296904
0.34,0.02592961592617283
0.35000000000000003,0.02640434686120534
0.36,0.026927850463960023
0.37,0.027528266568697203
0.38,0.028343726623523257
0.39,0.02885998160006956
0.4,0.029480386359501773
0.41000000000000003,0.030542363505461773
0.42,0.031116793795066586
0.43,0.03199765191700997
0.44,0.03289880792557672
0.45,0.034450778910365104
0.46,0.03551589030341081
0.47000000000000003,0.035928641637936264
0.48,0.03675797757796726
0.49,0.03826253329093634
0.5,0.03927547511411714
0.51,0.04071320032147396
0.52,0.04208842918169193
0.53,0.045484226158350884
0.54,0.04652189210121662
0.55,0.04839430411702053
0.56,0.049429335545595636
0.5700000000000001,0.050143060313544624
0.58,0.051403017410261945
0.59,0.05193384793773606
0.6,0.05294591542477644
0.61,0.053669851462792524
0.62,0.05556648215687849
0.63,0.0560238571472931
0.64,0.05687391994613177
0.65,0.058227692135036486
0.66,0.06003657821440246
0.67,0.06177643766049278
0.68,0.06335728070981882
0.6900000000000001,0.0641682992631353
0.7000000000000001,0.06445541320942635
0.71,0.06475358566379066
0.72,0.06509807719733071
0.73,0.06587340716757367
0.74,0.06629356772560614
0.75,0.06666549523489687
0.76,0.06751504397610898
0.77,0.06834630085725908
0.78,0.06947114118288282
0.79,0.0700522316963104
0.8,0.07039699439517347
0.81,0.07105962587253187
0.8200000000000001,0.07210590096403592
0.8300000000000001,0.07355088501000745
0.84,0.07518433254066809
0.85,0.07717082363352064
0.86,0.07832694586539035
0.87,0.08206985311915985
0.88,0.08370493414886128
0.89,0.08459656196607868
0.9,0.08782281541964757
0.91,0.09593297727905761
0.92,0.10735797280374908
0.93,0.14227522791963731
0.9400000000000001,0.1741495809419112
0.9500000000000001,0.20276793052987438
0.96,0.2950183905468516
0.97,0.44909293148218865
0.98,0.5863656004066299
0.99,0.8560667580721273
1.0,6.259907265603858
