cdf,prefill_e2e_time
0.0,0.37752787222097434
0.01,1.1424860903891527
0.02,7.6907121792995445
0.03,15.595364042235351
0.04,19.865895101186286
0.05,24.94067520030299
0.06,26.37612048154594
0.07,29.94515699091446
0.08,30.646930679897167
0.09,32.99707871194501
0.1,38.129114130564844
0.11,43.02902298726535
0.12,44.502272010570785
0.13,46.746235363511204
0.14,50.29458160852786
0.15,56.40276170859335
0.16,60.843934117145984
0.17,66.15701598244414
0.18,74.44339814509905
0.19,97.10278070386545
0.2,97.51162258226665
0.21,98.27575924266033
0.22,101.03105627202781
0.23,101.80559113918729
0.24,110.0984941698101
0.25,112.438865104293
0.26,114.48020947364793
0.27,118.4432874083971
0.28,119.18588185468766
0.29,121.9426092833796
0.3,123.37617276616724
0.31,124.71609947036747
0.32,125.39828860061775
0.33,128.9975250167149
0.34,130.3822195905359
0.35000000000000003,131.41954027988146
0.36,132.12186099248262
0.37,133.34009011587938
0.38,135.4851507180057
0.39,137.00634991124824
0.4,138.38041549561
0.41000000000000003,140.49492954038965
0.42,143.0475649127
0.43,144.31948752949876
0.44,147.49394881855608
0.45,150.08820306287552
0.46,150.9127727301531
0.47000000000000003,154.79225572180405
0.48,160.14445995392254
0.49,300.26372330748495
0.5,473.67247465983183
0.51,474.69473305412265
0.52,481.7059838329471
0.53,492.9138755327381
0.54,763.1085309644734
0.55,769.3080131964141
0.56,772.3522158012071
0.5700000000000001,778.048294006932
0.58,780.3341841432127
0.59,785.8496866539164
0.6,1179.7227148510533
0.61,1232.6089983555394
0.62,1240.6661149695576
0.63,1254.2373718301376
0.64,1266.0917597469418
0.65,1277.0587748778144
0.66,1280.3462375709707
0.67,1282.684404539178
0.68,1442.3201294646558
0.6900000000000001,1455.1186202931524
0.7000000000000001,1832.581458892896
0.71,1844.146583981773
0.72,1849.1998403525047
0.73,1851.2670801044612
0.74,1857.803549531909
0.75,1878.9374310096398
0.76,1879.842556866679
0.77,1884.7629305033877
0.78,1888.0573047162804
0.79,1896.8548346085804
0.8,1906.2291812617182
0.81,2065.3877726246064
0.8200000000000001,2136.7321124837786
0.8300000000000001,2210.733349859528
0.84,2287.8776492471634
0.85,2311.4558951120557
0.86,2343.0354498352835
0.87,2374.6620143791997
0.88,2378.637614059877
0.89,2383.0025734960204
0.9,2392.6382523441594
0.91,2417.2086850674264
0.92,2474.5200911946067
0.93,2495.926953005542
0.9400000000000001,2504.9551343986486
0.9500000000000001,2507.551689269161
0.96,2511.5425989449936
0.97,2550.4423263275953
0.98,2553.695217478512
0.99,2557.1250059508675
1.0,2684.255787770986
