cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.012537975318963768
0.02,0.016167499453437643
0.03,0.01657205641387723
0.04,0.016783747012078246
0.05,0.017006549007273407
0.06,0.017278600751950843
0.07,0.01737312949921171
0.08,0.017457652431737997
0.09,0.01756135484224416
0.1,0.017662739528339563
0.11,0.017815218578034753
0.12,0.017932426638537714
0.13,0.018006853277482145
0.14,0.018065224553063627
0.15,0.018176975720893353
0.16,0.018474569104246136
0.17,0.018713802518718587
0.18,0.018908819730148786
0.19,0.019267710789092778
0.2,0.01939887824576698
0.21,0.01956826191612412
0.22,0.020199655369900385
0.23,0.02039331849764422
0.24,0.02058210518761327
0.25,0.02092434854420645
0.26,0.02103472049729144
0.27,0.021163881981450566
0.28,0.021565216603907703
0.29,0.02236514035745951
0.3,0.02299133249860568
0.31,0.02339918715572181
0.32,0.02359461837368913
0.33,0.023857502069916003
0.34,0.02456608757496055
0.35000000000000003,0.02469147833842834
0.36,0.02514371127801813
0.37,0.025632703010342164
0.38,0.026058362775828816
0.39,0.02634240474043945
0.4,0.02724019914595235
0.41000000000000003,0.02831628309565387
0.42,0.02892837932150682
0.43,0.03000244585072245
0.44,0.030651725027371183
0.45,0.0313472161374317
0.46,0.03173891554647097
0.47000000000000003,0.03266411111004676
0.48,0.03416110008445202
0.49,0.0350148436088385
0.5,0.03545977048588872
0.51,0.036036492978105975
0.52,0.036784261332515805
0.53,0.038341201247146676
0.54,0.039548569693370936
0.55,0.0412550041999299
0.56,0.043930160742705775
0.5700000000000001,0.04547480270824469
0.58,0.04768230191364565
0.59,0.04879920667809185
0.6,0.04933603079903492
0.61,0.04998403888233598
0.62,0.05066326188980078
0.63,0.05105241332534766
0.64,0.05178777663227741
0.65,0.05219623587790424
0.66,0.053482057683397304
0.67,0.054273081966914265
0.68,0.0557542596533783
0.6900000000000001,0.056550357336070306
0.7000000000000001,0.05756622519526541
0.71,0.05933502421380148
0.72,0.06112872366632904
0.73,0.06250777232457791
0.74,0.06280030327452267
0.75,0.06343705050171329
0.76,0.063613236198066
0.77,0.06384157931435919
0.78,0.06410240380888035
0.79,0.06472623336142878
0.8,0.06488730786067393
0.81,0.06516663232768458
0.8200000000000001,0.06582156403332626
0.8300000000000001,0.06661090952333197
0.84,0.06753866387188345
0.85,0.0691179977506378
0.86,0.06975475706638636
0.87,0.07028046056840706
0.88,0.0715963239797316
0.89,0.07426500201458981
0.9,0.07582622486152968
0.91,0.07880395563552564
0.92,0.08171561607003026
0.93,0.09315918118888396
0.9400000000000001,0.1111932128381751
0.9500000000000001,0.1656459225680474
0.96,0.2010528083576573
0.97,0.314418198577969
0.98,0.5236841009209827
0.99,0.8542374528937791
1.0,6.255529254719603
