cdf,request_e2e_time
0.0,1.1208623263019075
0.01,24.868269566713813
0.02,32.05545523409153
0.03,36.48003579403714
0.04,41.22578621092384
0.05,45.02109872042112
0.06,47.032802284878734
0.07,48.91623999285325
0.08,52.82009565440427
0.09,58.08408523571436
0.1,63.447450309901704
0.11,65.43344889313768
0.12,69.14156107938709
0.13,73.36978755692479
0.14,77.07133824341253
0.15,79.98222602737822
0.16,92.68963989503717
0.17,102.97440385003014
0.18,108.34618309525749
0.19,114.09358083593219
0.2,117.19117005696567
0.21,120.82474613461004
0.22,125.36280352670444
0.23,126.8359144274996
0.24,131.46935829957127
0.25,133.46607398897538
0.26,136.11074742421877
0.27,137.05732601093754
0.28,139.84910937056833
0.29,141.28273555823122
0.3,143.33047076356806
0.31,144.96362567796342
0.32,146.29157639300035
0.33,149.3834229778537
0.34,151.15398118065966
0.35000000000000003,153.78673751055126
0.36,157.04771181040664
0.37,159.09195887231488
0.38,161.85899487398441
0.39,200.20021261687955
0.4,248.2414128076416
0.41000000000000003,291.8839612847856
0.42,325.43083457907807
0.43,397.02687969126345
0.44,473.8161963744538
0.45,479.725727778465
0.46,486.2154753431863
0.47000000000000003,581.6231845002164
0.48,746.4798977164012
0.49,769.14983076884
0.5,778.3104821117955
0.51,783.2296641623325
0.52,789.5429960182636
0.53,851.2043724305298
0.54,986.7144651691549
0.55,1098.191471584407
0.56,1214.1031812058447
0.5700000000000001,1240.9243426698235
0.58,1251.6316769905472
0.59,1278.7318933085617
0.6,1282.7756484392542
0.61,1287.1243643806438
0.62,1337.831810749308
0.63,1446.6332351274782
0.64,1456.3700952606978
0.65,1620.4063708496847
0.66,1812.9613741538528
0.67,1849.4658157049275
0.68,1854.4725731540734
0.6900000000000001,1861.5528797001064
0.7000000000000001,1884.189586835271
0.71,1888.1464222505408
0.72,1892.3572712922353
0.73,1903.629005783055
0.74,1951.1933295283022
0.75,1989.7615839175444
0.76,2038.0936525649229
0.77,2080.2809642130765
0.78,2140.3676649462095
0.79,2206.6262607426247
0.8,2287.5069138154163
0.81,2313.0252956566123
0.8200000000000001,2370.1473339614336
0.8300000000000001,2380.6216941720554
0.84,2387.3546104852244
0.85,2394.76978117899
0.86,2428.7455524745155
0.87,2475.997061883337
0.88,2495.091759051882
0.89,2505.8384743716356
0.9,2511.27642263635
0.91,2550.4867056781386
0.92,2560.427494873642
0.93,2565.8047136295304
0.9400000000000001,2639.766595591112
0.9500000000000001,2691.610960056039
0.96,2856.941288229014
0.97,2917.50849585153
0.98,3036.372613544063
0.99,3097.8689767596416
1.0,3760.4712380970013
