cdf,request_scheduling_delay
0.0,0.0
0.01,0.6173968359600128
0.02,4.990328779994289
0.03,15.213434589074948
0.04,18.653162269493954
0.05,23.064017177322036
0.06,25.713087839075165
0.07,29.556697761917803
0.08,29.949827062447806
0.09,32.53014854001652
0.1,37.63437083364617
0.11,42.36862134661815
0.12,43.920069256631734
0.13,45.963253603556005
0.14,48.865402341019916
0.15,55.56189351073432
0.16,60.08030765262723
0.17,63.041718717944505
0.18,72.9989453447546
0.19,88.98828898332246
0.2,97.16734373090343
0.21,97.78831450008495
0.22,100.49004983380586
0.23,101.35438650207294
0.24,109.60799652852327
0.25,110.92522720730369
0.26,114.14807197411673
0.27,118.08210008249884
0.28,118.85441346650245
0.29,121.55081429159605
0.3,122.91384191208356
0.31,124.50458183501237
0.32,124.97792502791681
0.33,127.52543744231906
0.34,130.19573615387415
0.35000000000000003,130.78844073130335
0.36,131.80639591573902
0.37,133.146554811149
0.38,135.3051986804999
0.39,136.6138388926483
0.4,138.23748747475497
0.41000000000000003,140.32796946149608
0.42,142.94510866688657
0.43,144.056038567605
0.44,147.3059535458732
0.45,149.80417514605065
0.46,150.4350029518055
0.47000000000000003,154.40284036328725
0.48,160.00457351421144
0.49,300.05501016199156
0.5,473.17284328317646
0.51,474.49481586884076
0.52,481.14583426776903
0.53,492.40906064911525
0.54,762.1764290994357
0.55,768.7710870146855
0.56,772.2152283430332
0.5700000000000001,775.9181679946694
0.58,779.9795851228153
0.59,785.7282014069561
0.6,1179.299945205293
0.61,1232.1344869188229
0.62,1240.4264302269407
0.63,1253.9925129483063
0.64,1265.5994100828134
0.65,1276.5570346746563
0.66,1279.997069409296
0.67,1282.5335101205837
0.68,1442.1811521654506
0.6900000000000001,1454.8621007062504
0.7000000000000001,1832.3337780869283
0.71,1843.6362681782743
0.72,1849.0420977569004
0.73,1851.03280839871
0.74,1857.277296837352
0.75,1878.76726595116
0.76,1879.3991198597153
0.77,1884.6982996890833
0.78,1887.8727822020633
0.79,1896.3123628433493
0.8,1905.8684805033242
0.81,2064.219286418796
0.8200000000000001,2135.9581943624526
0.8300000000000001,2210.5417785686977
0.84,2286.3892754884496
0.85,2311.1405949625937
0.86,2342.3990863905838
0.87,2374.3080339189905
0.88,2377.966881828956
0.89,2380.647316351557
0.9,2391.93635273312
0.91,2417.1199839991327
0.92,2473.5390248815306
0.93,2495.3140791174637
0.9400000000000001,2504.7104932138445
0.9500000000000001,2507.3567857039698
0.96,2511.402654602867
0.97,2550.1741783291536
0.98,2553.4439610859413
0.99,2556.8068173951524
1.0,2683.950177407772
