cdf,batch_execution_time,replica
0.0,0.010150797433730712,0
0.01,0.010150797433730712,0
0.02,0.010150797433730712,0
0.03,0.010150797433730712,0
0.04,0.010150797433730712,0
0.05,0.010150797433730712,0
0.06,0.010150797433730712,0
0.07,0.010150797433730712,0
0.08,0.010150797433730712,0
0.09,0.010150797433730712,0
0.1,0.010150797433730712,0
0.11,0.010150797433730712,0
0.12,0.010150797433730712,0
0.13,0.010150797433730712,0
0.14,0.010150797433730712,0
0.15,0.010150797433730712,0
0.16,0.010150797433730712,0
0.17,0.010150797433730712,0
0.18,0.010150797433730712,0
0.19,0.010150797433730712,0
0.2,0.010150797433730712,0
0.21,0.010150797433730712,0
0.22,0.010565073423271811,0
0.23,0.010565073423271811,0
0.24,0.010565073423271811,0
0.25,0.011218403515895998,0
0.26,0.012152783858054406,0
0.27,0.012904295852863203,0
0.28,0.013164988698375592,0
0.29,0.013164988698375592,0
0.3,0.013430948066019544,0
0.31,0.013430948066019544,0
0.32,0.013430948066019544,0
0.33,0.013702280350181556,0
0.34,0.013702280350181556,0
0.35000000000000003,0.013702280350181556,0
0.36,0.013702280350181556,0
0.37,0.013702280350181556,0
0.38,0.013702280350181556,0
0.39,0.013979094094629668,0
0.4,0.014261500035935319,0
0.41000000000000003,0.014261500035935319,0
0.42,0.014261500035935319,0
0.43,0.014261500035935319,0
0.44,0.014549611147772397,0
0.45,0.014549611147772397,0
0.46,0.014549611147772397,0
0.47000000000000003,0.014549611147772397,0
0.48,0.014549611147772397,0
0.49,0.014843542686111233,0
0.5,0.014843542686111233,0
0.51,0.014843542686111233,0
0.52,0.014843542686111233,0
0.53,0.014843542686111233,0
0.54,0.014843542686111233,0
0.55,0.014843542686111233,0
0.56,0.014843542686111233,0
0.5700000000000001,0.014843542686111233,0
0.58,0.014843542686111233,0
0.59,0.015143412235325603,0
0.6,0.015143412235325603,0
0.61,0.015143412235325603,0
0.62,0.015143412235325603,0
0.63,0.015143412235325603,0
0.64,0.01544933975523117,0
0.65,0.01544933975523117,0
0.66,0.01544933975523117,0
0.67,0.015761447629074225,0
0.68,0.015761447629074225,0
0.6900000000000001,0.015761447629074225,0
0.7000000000000001,0.015761447629074225,0
0.71,0.016079860712489867,0
0.72,0.016079860712489867,0
0.73,0.016079860712489867,0
0.74,0.01640470638344926,0
0.75,0.01640470638344926,0
0.76,0.01640470638344926,0
0.77,0.016736114593215903,0
0.78,0.016736114593215903,0
0.79,0.016736114593215903,0
0.8,0.017074217918331375,0
0.81,0.017074217918331375,0
0.8200000000000001,0.017074217918331375,0
0.8300000000000001,0.017419151613651204,0
0.84,0.017419151613651204,0
0.85,0.017419151613651204,0
0.86,0.017419151613651204,0
0.87,0.017771053666452236,0
0.88,0.017771053666452236,0
0.89,0.01813006485163309,0
0.9,0.01813006485163309,0
0.91,0.01849632878802972,0
0.92,0.01849632878802972,0
0.93,0.01849632878802972,0
0.9400000000000001,0.018869991995868703,0
0.9500000000000001,0.018869991995868703,0
0.96,0.018869991995868703,0
0.97,0.019251203955381206,0
0.98,0.054467722072250084,0
0.99,0.06265308598107648,0
1.0,0.17375511791697984,0
