cdf,request_preemption_time
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41000000000000003,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47000000000000003,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.01349421167753206
0.59,0.014824705753321725
0.6,0.015436107892071504
0.61,0.015647569236208764
0.62,0.016068016427379914
0.63,0.01629259988906824
0.64,0.030314058836618276
0.65,0.09858978616402453
0.66,0.15673223966992417
0.67,0.35426835256911804
0.68,0.46489384868874517
0.6900000000000001,0.6544414629150951
0.7000000000000001,1.3824821350437753
0.71,2.293608474966077
0.72,2.765586208690455
0.73,3.371847036572956
0.74,5.192340025204334
0.75,6.38654417359038
0.76,7.278082025621963
0.77,10.610705022101701
0.78,15.630769671171507
0.79,22.721883604048138
0.8,32.48009116949389
0.81,39.46804842582128
0.8200000000000001,46.09968830728184
0.8300000000000001,52.057933826133485
0.84,61.84197385298176
0.85,71.77143779218825
0.86,83.9925898288228
0.87,101.81473666757975
0.88,125.40839350878424
0.89,146.50341390561147
0.9,193.49035332339668
0.91,234.51894448057652
0.92,250.082841484975
0.93,258.20664109411786
0.9400000000000001,262.90737152237546
0.9500000000000001,279.6894439444612
0.96,289.7107883009975
0.97,314.02459060498444
0.98,352.65430597237673
0.99,391.2247480419625
1.0,477.8686746458301
