Request Id,request_scheduling_delay
5,0.6372282138720895
11,4.902869331490718
6,0.6001615727805658
15,14.762318842071927
4,0.5504520675564007
16,15.087387914483061
29,25.11437222293147
27,24.75552528595964
25,20.10543917704534
34,26.59296336147832
9,3.5038398613184514
2,0.25249718528415843
1,0.0
7,0.6149457667798686
37,29.78708005678009
8,1.7870304981272243
14,14.731553436971081
17,15.469347534458478
12,5.300412279234219
20,17.13192003259597
26,20.996618377876068
46,31.342723841402574
21,17.90426977125792
35,26.960961398716076
18,15.521462188766305
10,3.983218721602632
38,29.831351295065247
45,30.996516648071346
23,19.606298176339816
42,29.83197685978544
33,26.419509771106007
58,42.83710171857556
13,14.473807289621192
43,30.498831270129465
32,25.508533695972645
22,19.622883903362197
3,0.3533841710052331
57,42.24408858951554
64,44.78292118102043
68,45.99591625394294
44,31.152786067179626
53,37.84599212370348
48,32.898296946629195
74,50.952602539477866
49,32.81433376291177
36,28.785417905204916
50,33.05642297214353
65,44.7256887986963
66,45.862390276642785
30,25.410412049598854
40,29.920954865331097
31,25.818464215824946
47,32.54214272889141
39,29.901999696490073
52,37.61085735697314
80,58.99810673001643
85,61.99709512209955
41,29.953764180236448
59,43.036217492023766
72,48.62363571513188
55,39.68632419481561
62,43.811439275122225
28,24.86834905731815
60,43.173953932817035
67,45.93861335852727
89,66.46503365793937
56,40.47834978993035
24,19.657004310510736
19,16.020937615480904
76,52.88389986393538
51,34.60021261818812
71,48.19947105318623
77,55.573601584963534
54,38.20302363752447
75,52.78904695832872
61,43.08773274513618
70,47.795574390795196
63,44.150907967339435
95,76.45426811886027
78,55.540149944308645
69,47.52346206766933
84,60.88480165955753
87,62.915517014854274
73,49.07135168899861
83,60.15371290762949
103,97.32312719946562
79,56.58976996397925
88,63.06057644369362
90,67.06175509666849
81,58.96240651828212
92,71.97335868720226
82,59.847857678453416
86,62.44498679320869
94,74.32841932673587
91,67.82518227564248
100,97.12839786376288
111,98.86919156819422
114,100.68703176951986
93,73.01987568470466
122,108.73677043093825
130,112.71739218391545
116,101.16080235616236
115,101.18233400801087
117,101.03972556959071
105,96.99099545550455
113,100.34740774242675
110,98.15513335189858
139,118.24090167121469
134,114.26851374949543
97,86.42086525048316
99,97.45341114834692
129,110.91499451131243
104,97.06908577446639
106,97.5592448592003
149,121.48638841980829
96,77.45537958176354
151,121.88946352374333
123,109.05993880542907
102,96.88558122628179
101,96.88218901724225
159,124.60350431518691
160,124.48200404413313
166,125.31343305893506
107,97.55533431514051
127,110.89500100237275
156,123.21083190878582
118,101.38762711554376
128,110.92863810596744
121,108.6001105412698
126,110.82443519189225
152,122.1952722686041
171,129.28691335082178
132,112.83798438319285
136,117.74483789714621
168,126.96680766037832
138,118.05031579770836
155,123.28559184372727
167,125.86979676303253
125,110.14570884774926
158,124.37833120382888
141,118.31062403777841
145,119.34071209216482
133,113.40821535393327
157,124.3825840312451
154,122.78656048492546
142,118.37713752272366
131,113.05310579266907
197,135.34106680217738
150,121.82547195553336
164,124.65702895525699
140,118.34127792060116
173,129.6958161852121
148,121.278476596112
188,133.14017760555237
165,125.19949907531549
191,133.23128054264706
184,131.79586963849445
176,130.3089997418876
163,124.6084671729989
175,130.26307575226735
185,131.88354825095965
170,127.83472873664826
187,132.5696640975948
177,130.63175085181302
172,129.61879606866677
169,126.99880631954233
196,135.40127099245126
205,138.22216041611864
161,124.73788647656825
162,124.53707182676544
192,133.24792695289233
146,121.19427062542334
204,137.43062376490013
195,135.29732519037557
201,136.8863839388306
203,137.04728616672529
209,139.32184449584997
147,121.14391786292994
193,133.40423866345577
231,149.98103675786723
212,141.16767094990956
235,150.27941980182447
216,142.9517814010237
202,136.56237205661455
219,143.1934706808196
194,134.17378891657384
217,142.93422157434705
232,149.96993595842807
225,147.3400967091943
239,151.83441590466214
240,153.9740032843058
224,147.10694857841963
228,148.28971140812715
230,149.7752468080363
234,150.40500396164157
237,150.90498713104034
247,160.10151011639798
243,156.6361536267109
153,122.29659449166124
182,131.20184231583158
108,97.62351182753099
183,131.6336515146206
143,118.08308310161607
214,142.5502150064175
206,138.26047806270944
210,139.50965603863284
186,131.8068345106242
