cdf,request_execution_time_normalized
0.0,0.012288619213664923
0.01,0.0163784105643506
0.02,0.01672895096965564
0.03,0.016911055992955504
0.04,0.017274488977514057
0.05,0.017368985004760938
0.06,0.017427381166900083
0.07,0.01754206799894227
0.08,0.01769071473036609
0.09,0.017860735480349204
0.1,0.01791986104123948
0.11,0.0180265843968575
0.12,0.018113297792804645
0.13,0.018252427002884618
0.14,0.018385926912407875
0.15,0.018646059708629117
0.16,0.018839421969777836
0.17,0.0189355859569117
0.18,0.019074474175311145
0.19,0.019293546664751686
0.2,0.019527927220040635
0.21,0.01965777400003834
0.22,0.01984948963270411
0.23,0.020041600088911638
0.24,0.020323004503789988
0.25,0.020467425832267995
0.26,0.020696436041039618
0.27,0.020820962166403386
0.28,0.02105599449685667
0.29,0.021279599818732807
0.3,0.02146598551759276
0.31,0.021794243673768175
0.32,0.02190756384667472
0.33,0.022072024534794153
0.34,0.022230391684263388
0.35000000000000003,0.022494511985821128
0.36,0.022953645317715623
0.37,0.023510004813226806
0.38,0.02389368357309523
0.39,0.02425218623175276
0.4,0.02461065682926551
0.41000000000000003,0.02479290025256049
0.42,0.025072972304742893
0.43,0.02539144316018887
0.44,0.02565167023970926
0.45,0.026187450331257512
0.46,0.02659422220674334
0.47000000000000003,0.027040399925429868
0.48,0.02744218065079919
0.49,0.028211024338370777
0.5,0.029044801585404106
0.51,0.03058018418109075
0.52,0.0312237693323687
0.53,0.03200512343397378
0.54,0.033668210044021825
0.55,0.03552227445378387
0.56,0.03668583327168156
0.5700000000000001,0.03804836842673382
0.58,0.039592685549252486
0.59,0.0409497786524483
0.6,0.04326308251540428
0.61,0.04725740975512501
0.62,0.04898986589954028
0.63,0.05007412588318787
0.64,0.051642472047264264
0.65,0.05204081150558643
0.66,0.05349690242075617
0.67,0.05497829163804489
0.68,0.05591664929144194
0.6900000000000001,0.05671423478549904
0.7000000000000001,0.05739886655868452
0.71,0.05986037229148645
0.72,0.062314306008300506
0.73,0.06330876724378386
0.74,0.0641657395477854
0.75,0.06444416398336866
0.76,0.06477358681827342
0.77,0.06517797301601456
0.78,0.065909517242531
0.79,0.06632031647982357
0.8,0.06676396568229236
0.81,0.06784889573505841
0.8200000000000001,0.06900099300401263
0.8300000000000001,0.06985256896300462
0.84,0.07034712674915801
0.85,0.07108528185143662
0.86,0.07250219748643526
0.87,0.0746709205123904
0.88,0.07602527438947411
0.89,0.07824292018250834
0.9,0.0807112136976769
0.91,0.08331074194986017
0.92,0.08414502240495919
0.93,0.08632960924544848
0.9400000000000001,0.09020159942775564
0.9500000000000001,0.10187683241899669
0.96,0.11208777212310159
0.97,0.16968458099091738
0.98,0.2328207821916149
0.99,0.3591175589485594
1.0,2.585976889568728
