cdf,request_execution_plus_preemption_time
0.0,0.13610730375917882
0.01,0.48650055092609534
0.02,0.7353270119422455
0.03,0.9964669730470738
0.04,1.1981453979972494
0.05,1.4320586430088393
0.06,1.6108464094944024
0.07,1.9943711486626534
0.08,2.0970557624591044
0.09,2.3214262379645874
0.1,2.814977967988202
0.11,3.43575370253024
0.12,4.408025973716972
0.13,5.133514121031487
0.14,5.857504352704983
0.15,6.221813487697191
0.16,6.527290907267738
0.17,6.736529322831434
0.18,7.023793674030422
0.19,7.606332009391121
0.2,7.710804651993613
0.21,8.046506448705696
0.22,8.399835085496377
0.23,8.790802091961348
0.24,9.072784553768427
0.25,9.670077964147325
0.26,10.08758967311685
0.27,10.938978380188503
0.28,11.352384588431512
0.29,11.633403981177267
0.3,11.924530097400744
0.31,12.362877071959055
0.32,12.779528851678624
0.33,13.017457507208958
0.34,13.195348356782777
0.35000000000000003,13.740456209807126
0.36,14.276109133144532
0.37,14.850980468809457
0.38,15.460131496436498
0.39,15.768925822456952
0.4,16.218079511121314
0.41000000000000003,17.151015313017012
0.42,18.333394392614753
0.43,18.915471640935134
0.44,19.981071508524664
0.45,20.51384567033003
0.46,21.435963133591564
0.47000000000000003,22.458226762229497
0.48,22.913815369010567
0.49,23.90915364062577
0.5,24.667029112052713
0.51,26.209075325343093
0.52,27.57957425431218
0.53,27.838814033175172
0.54,29.41811272321065
0.55,30.673060667888294
0.56,31.66947457732933
0.5700000000000001,34.148460342906915
0.58,34.85235382388737
0.59,36.03865354373059
0.6,38.28861747725481
0.61,39.47217833674789
0.62,43.672388405265664
0.63,47.44349395206726
0.64,52.021070112263004
0.65,58.93330623961508
0.66,67.10084203120353
0.67,80.97903853753103
0.68,88.87316152946278
0.6900000000000001,98.9453413898771
0.7000000000000001,111.37021878784154
0.71,129.82221452048978
0.72,138.1663595766164
0.73,146.92978033493418
0.74,152.49305376797312
0.75,159.74765323662822
0.76,185.88409889948582
0.77,206.95963327495704
0.78,243.99621688725168
0.79,264.1157889310057
0.8,280.71422293787276
0.81,320.9044800492206
0.8200000000000001,357.4163531271226
0.8300000000000001,366.54364403758535
0.84,393.8074041230861
0.85,411.81563200814526
0.86,429.22327071505117
0.87,448.0060288545849
0.88,493.85989933538
0.89,511.30336829573855
0.9,528.4330027046191
0.91,564.9220585793516
0.92,607.8801955547697
0.93,643.7777029553799
0.9400000000000001,681.9601337085738
0.9500000000000001,784.1523902220388
0.96,888.715965420704
0.97,956.70772354062
0.98,1104.9457379179812
0.99,1501.882150186446
1.0,1866.6240854932928
