cdf,request_e2e_time_normalized
0.0,0.018055767114950848
0.01,0.020442787507989033
0.02,0.02390294617137904
0.03,0.026967242043904542
0.04,0.029473001765422932
0.05,0.03270030254855535
0.06,0.03552486751618725
0.07,0.04086308499211277
0.08,0.044236946949051094
0.09,0.05008209888357131
0.1,0.05764814258895303
0.11,0.06365724556340213
0.12,0.07095025307657277
0.13,0.07599238302865258
0.14,0.07914667230287065
0.15,0.08488234938397966
0.16,0.09637068408724846
0.17,0.1036499132850263
0.18,0.10723023572397614
0.19,0.11231414241181642
0.2,0.11764474725535701
0.21,0.1252469987380581
0.22,0.13044188970204162
0.23,0.13751658509500397
0.24,0.14927773844072417
0.25,0.15553619404452734
0.26,0.16119074213113985
0.27,0.164908052022094
0.28,0.1699136915340814
0.29,0.17627845225520136
0.3,0.18505464354590423
0.31,0.19009287941815511
0.32,0.1993244216122854
0.33,0.20678009474002607
0.34,0.21220820239088878
0.35000000000000003,0.2158597383205205
0.36,0.22083176308277797
0.37,0.22886763621152176
0.38,0.24135756427730506
0.39,0.2498628261109526
0.4,0.2591010998099807
0.41000000000000003,0.2616051847001331
0.42,0.27029723222164753
0.43,0.2876834117458599
0.44,0.2964602184238026
0.45,0.3046512728384068
0.46,0.31100708688488776
0.47000000000000003,0.32339140987175974
0.48,0.3303725936617108
0.49,0.34301558387373643
0.5,0.35223833616841704
0.51,0.362086355661212
0.52,0.3779067971969988
0.53,0.39398832670758827
0.54,0.41089964764373255
0.55,0.43101760380349907
0.56,0.46910374180516756
0.5700000000000001,0.5054805457940615
0.58,0.5216321018640355
0.59,0.5643786123033421
0.6,0.5744552685281599
0.61,0.6683737533820566
0.62,0.742851067275416
0.63,0.8336876268025812
0.64,0.9522479334874091
0.65,1.0301658881901312
0.66,1.1368867541275924
0.67,1.2377262915906413
0.68,1.3314938166570478
0.6900000000000001,1.5117770829766233
0.7000000000000001,1.6404630510629195
0.71,1.883574827255018
0.72,2.301235203915757
0.73,2.5316723025458203
0.74,2.8487385807724226
0.75,3.158397016225535
0.76,3.348554716805285
0.77,3.684573770120902
0.78,4.066574821459924
0.79,4.24794024015038
0.8,4.716472275531419
0.81,4.920676563446132
0.8200000000000001,5.3922753926535325
0.8300000000000001,5.719864355277505
0.84,5.882969344802972
0.85,6.386123251527024
0.86,6.771199709134709
0.87,7.223776150764603
0.88,7.766872097338435
0.89,8.272921103801655
0.9,9.549859237596095
0.91,12.292284791411388
0.92,13.308819317971901
0.93,16.920694903347137
0.9400000000000001,19.607105391929718
0.9500000000000001,28.256492410921254
0.96,38.70946086614204
0.97,59.158558272192394
0.98,79.98161116078704
0.99,245.74431087586106
1.0,2550.479115087729
