Request Id,request_model_execution_time_normalized
5,0.1612113708099393
11,0.10712254057055544
6,0.08289530878666013
15,0.07829722346029526
4,0.07276460720257594
16,0.06632104079543344
29,0.09849839971136407
27,0.060402913889091484
25,0.083991978131884
34,0.509692644214158
9,0.07463137444043573
2,0.07110012874887241
1,0.07063722905284069
7,0.07470075351404042
37,0.059978877783328284
8,0.07499630536323873
14,0.06341334071501475
17,0.06367128243440294
12,0.08636868054287955
20,0.06838224058124004
26,0.07743373762613259
46,0.07836183738441502
21,0.07019235745825739
35,0.0716279725681308
18,0.06650837152245222
10,0.07209992236547176
38,0.06443105651741134
45,0.06780629282051218
23,0.06593709220886204
42,0.06784921190831605
33,0.06435467661018075
58,0.06479451383672062
13,0.06462511428339282
43,0.06674189790258535
32,0.06578962507870732
22,0.06510189635582388
3,0.06802752593463153
57,0.06667519403945134
64,0.06261662437303979
68,0.11390535604792218
44,0.06295692734266371
53,0.06288858050204565
48,0.06371559845527225
74,0.6771115413733267
49,0.06456846124537106
36,0.06526376159027215
50,0.06933597771717277
65,0.07239885229368007
66,0.06628947572618707
30,0.06505415687465926
40,0.06476181537039687
31,0.06430851034671167
47,0.06585584542310778
39,0.06446291269346482
52,0.06493072254099622
80,0.060200802518228964
85,0.5208178831249386
41,0.06417063144823189
59,0.06416494319189876
72,0.06899910815272926
55,0.06610739280328949
62,0.06735121650113218
28,0.06482917151617221
60,0.06540715578578732
67,0.0665438844167139
89,0.08330987076974065
56,0.06899369414246019
24,0.06628056716435426
19,0.06708829328633788
76,0.08139574982598129
51,0.07176011354514904
71,0.07088104852742319
77,0.0702208969190328
54,0.06959522814152043
75,0.0704796131797731
61,0.06956144384175997
70,0.07050589677145772
63,0.06980621868563007
95,0.10977448349151171
78,0.07899635663001427
69,0.07598552794168184
84,0.08405775437082212
87,0.0846958145665527
73,0.08339698878169241
83,0.08522586452670754
103,0.055970797752166665
79,0.08384984961576428
88,0.08643126676221952
90,0.07829258836368866
81,0.07577018939837912
92,0.07805607321521092
82,0.07521232650088706
86,0.07704844383881083
94,0.08413436412349128
91,0.08422318313572394
100,0.061050160062020825
111,0.07026657403980636
114,0.07262351575619136
93,0.07840091555207318
122,0.06358246735788801
130,0.07107728736820196
116,0.06784569887211993
115,0.06831442978127596
117,0.07016275928081897
105,0.06330553301271487
113,0.06631870429346615
110,0.06446577967854251
139,0.0644379144133366
134,0.05349609277402439
97,0.0667694826272191
99,0.057247924054078816
129,0.058515353171658846
104,0.05679265982620788
106,0.05660137923911316
149,0.08090175337186158
96,0.07604397860019989
151,0.0825783871824349
123,0.055649800570751765
102,0.057463556203515544
101,0.056890764617411944
159,0.05911887903593574
160,0.06587143752712146
166,0.31786954333075734
107,0.05687321808482843
127,0.05459434853682928
156,0.07349690418230298
118,0.05935516466837123
128,0.05550334098679372
121,0.05587253348184084
126,0.05558034241372637
152,0.06030064963469774
171,0.04836639803935385
132,0.05293065287420377
136,0.049905724353296425
168,0.04900421021080068
138,0.050732077699712816
155,0.05260286980418546
167,0.05397479485574386
125,0.0532230347287173
158,0.05193700878483843
141,0.04941048987910665
145,0.05594568496400812
133,0.051941624747010105
157,0.05119007371541079
154,0.05374082332158515
142,0.05008680126715819
131,0.05164012760622538
197,0.06242423174275967
150,0.05188651980411657
164,0.05125769180628436
140,0.04918130090566597
173,0.046526683748828936
148,0.05177099963463628
188,0.04952827529466281
165,0.05029516810562644
191,0.05169873863219735
184,0.04396059881327507
176,0.04136829407875994
163,0.04629988980662328
175,0.03548972190096108
185,0.03554915646724399
170,0.0394090679433866
187,0.03587020297607297
177,0.03576902569380961
172,0.036700322434798566
169,0.039141882284847676
196,0.03072768481604371
205,0.026617896780401478
161,0.03858797567013846
162,0.0385736505208928
192,0.03095810234666999
146,0.03808274771155182
204,0.024469016586959647
195,0.02726779031858653
201,0.024880565321948836
203,0.024616820798461628
209,0.029161659197910375
147,0.03552085961097018
193,0.028333466991226172
231,0.03270992952053659
212,0.025956446231028028
235,0.05342626778497561
216,0.025587602083548388
202,0.02640571594566854
219,0.025663873698025617
194,0.027519504923367435
217,0.024135924363768314
232,0.02483185226414372
225,0.023865286142353507
239,0.02402304964647419
240,0.02037672608672285
224,0.02412458670788065
228,0.02317496660233756
230,0.02269894363620048
234,0.022185389387952465
237,0.021433426342975105
247,0.021815951886336903
243,0.018953012727936595
153,0.024751322784708617
182,0.02117609711456615
108,0.027020005807883198
183,0.019979638174779973
143,0.022386274185077545
214,0.017701813472852528
206,0.01812858796460876
210,0.01740284762770861
186,0.01803123125660515
189,0.01795208113715376
207,0.017416435918480147
174,0.018106102417838003
199,0.01751109531656693
198,0.017600840676014428
215,0.08631793859816388
135,0.019489574017260734
227,0.1020133083899531
109,0.020381556292435543
137,0.018925617266217935
119,0.01929904602420047
178,0.01743387816118362
181,0.017383410230333934
200,0.017025916000358195
213,0.03217254972208518
218,0.027163526272053897
112,0.01881898951407811
229,0.021925561321822707
120,0.018845874324209328
257,0.09768930609211353
251,0.10176517026094144
258,0.05602785086520584
253,0.04057760786068165
259,0.018895785395531044
261,0.01728796825735849
256,0.019635683136117705
255,0.02200099987222383
254,0.021541956925033957
241,0.20490620664487383
262,0.017290633959124432
266,0.01625614519253035
221,0.025414893543803954
249,0.023815402694839737
233,0.04334484394503404
244,2.585976889568728
226,0.020127401387190054
222,0.020496049012212147
236,0.027013128884726394
208,0.01665000836459279
98,0.01786168708690752
271,0.1031323819902544
211,0.0167787334836147
278,0.024869486488753482
270,0.04080081903498236
272,0.026705548269416974
277,0.022168076036977614
273,0.024982376863353396
286,0.036687797587360835
144,0.01735135417350505
274,0.032983861270306274
284,0.03668545911631408
293,0.08786669104381335
281,0.03241985943492562
280,0.0337825841896344
289,0.033905625348909715
285,0.029487628496237595
283,0.03132708427125152
294,0.02340135956843562
300,0.019600721875503286
288,0.02540108445300839
291,0.02660051349824427
299,0.02036074450893095
260,0.031739706784028744
248,0.04844473473627713
276,0.018025349155658756
264,0.02174017000008956
275,0.01796390428714134
250,0.023759930044985656
223,0.018740345002653105
265,0.01960493988024927
245,0.026593820634945406
242,0.03075427456198543
252,0.020519376830495505
220,0.01891605811759773
263,0.018646614196599423
268,0.040612948022625064
301,0.027286478731542663
180,0.016845508418415346
302,0.21791355729335785
295,0.11390991114809246
190,0.016906573658045373
308,0.08290902250623726
311,0.022393275957160612
309,0.024538486187271027
310,0.02296425788777876
314,0.07030528892896377
318,0.030780562214917945
312,0.01982890026687902
316,0.01892308308626407
320,0.0261941078126131
304,0.08526439840323087
124,0.01729629885888124
326,0.027644671285221297
325,0.021270660778860622
324,0.022452424170674102
296,0.04308949243754035
305,0.043140440370959675
332,0.02167271197612925
330,0.020104720652309054
290,0.028374739513679123
340,0.04793689208757859
339,0.025128498543013873
335,0.021888121683017472
341,0.01665592643120663
336,0.01829143358110109
338,0.01719684874512281
323,0.01975994546885598
307,0.019206962768176645
319,0.019572009747873546
317,0.01761587204298363
321,0.018650898041878767
315,0.01729349651192435
297,0.024393256544874835
269,0.027876524089179355
313,0.18443413940829503
282,0.02478535535002136
346,0.018223000987738856
345,0.02134204436925653
306,0.01793160736199138
347,0.09066618780052046
348,0.05466992932211304
351,0.04110481825430061
349,0.01949713179947013
267,0.02363485113037822
334,0.1685087534636402
303,0.01935416360327721
328,0.022611099901179574
279,0.020230804149734733
179,0.016721046806330773
331,0.1066560010516097
344,0.03803565280084223
322,0.02223604492447301
357,0.020965549032935425
246,0.01920265749673945
358,0.039892272169349464
360,0.030764318111325302
363,0.025252943297643448
359,0.032039643127034306
362,0.02658597401227414
361,0.029221398971420558
372,0.02250421695440963
367,0.02177915830571194
374,0.018558628433954824
354,0.02131770835713528
368,0.02082137091270894
373,0.01981641135769808
365,0.020522431389914993
377,0.01754988949670822
238,0.021839102034335645
379,0.07752747770165934
287,0.019936198756122053
387,0.058206107713688164
388,0.04892451959268735
385,0.02196777886346849
386,0.021947041849254324
390,0.019877922566462567
381,0.028927943972897836
391,0.019280410548140007
399,0.03034947805975405
383,0.026060958185501335
389,0.023502003849243194
392,0.031406512106283556
394,0.024756722035848118
398,0.021046418722752758
397,0.02080774603585722
352,0.024183559974224864
406,0.055889847132150075
404,0.04755587530699246
371,0.020719290644508934
333,0.03785821004216068
396,0.01663878780733329
355,0.03173891702260917
375,0.018326068536679715
407,0.1731940434854626
393,0.01692015649110638
378,0.017916628608507696
370,0.017766526431075867
369,0.0177602424901892
343,0.023616303334723407
380,0.017865197188321427
350,0.021049992684971736
402,0.05349920679991586
408,0.25388660149906117
366,0.017682052925062863
353,0.01903175806747446
364,0.017905526098880405
329,0.03371189188064197
412,0.037025363625679306
413,0.020632840851536716
292,0.020072567184774064
417,0.08996226602360409
418,0.07391214131849123
415,0.17026371992226297
401,0.05685883082653339
420,0.022214301692897537
403,0.035586307138797825
400,0.017596589097099595
376,0.017937558290121326
423,0.05601462257054989
337,0.02250193924731766
425,0.031836586109031124
342,0.02120848416967092
298,0.018637848047228657
429,0.027847032897680174
431,0.3642156282945806
432,0.020374091398669126
384,0.017918555894489267
434,0.028390849974321546
435,0.023010323978374273
409,0.02138505129373742
411,0.019599365549832753
424,0.025435420851706872
410,0.020006679746768907
382,0.018135741304102525
444,0.08742793480215537
447,0.02649175612990657
445,0.028256501803809786
428,0.019878409208960536
452,0.04116095191399407
446,0.02585325275081572
448,0.022530047241280195
449,0.02087127981456175
441,0.025358115935321193
442,0.024201352114488678
443,0.02437664217401999
456,0.02556869536437013
454,0.024606547516468093
459,0.018715913269406984
426,0.02589037834119832
453,0.018619056193829895
430,0.01893707553138318
462,0.23702538408599574
461,0.06311735747349134
455,0.017420623208416787
451,0.017430862539452082
438,0.021125015333533392
450,0.017883401634300577
439,0.019706943987474593
433,0.02713997120521657
469,0.01907205075836632
470,0.017515882984682353
458,0.09206956479698021
421,0.025235465280534677
437,0.020838978402003983
405,0.02183578241489704
436,0.02211373743185926
464,0.02623168996579932
477,0.02070678874630753
475,0.021657927431528824
476,0.020752551159618063
467,0.020562897450933353
486,0.016792243661610837
480,0.018352026091429514
482,0.0176974629772464
488,0.02476800715224825
481,0.018090400068804555
463,0.02239242449443688
466,0.019132356123972502
419,0.021888523585658546
497,0.23952107552970014
494,0.04020916457868578
493,0.04443978667054517
468,0.01864502994525569
457,0.018089789724754814
495,0.019516906588082406
496,0.019293002772058948
503,0.02138645975792569
505,0.01897219259517006
489,0.02480014927656867
504,0.018177185097026937
506,0.018034784130128018
501,0.020376343040858152
485,0.021925139472228114
478,0.025365375961084242
427,0.018300603553834192
465,0.017499352127531145
356,0.018141563808386302
512,0.034026825939794704
498,0.27693155772229916
510,0.01978006238618662
511,0.14440488741840732
460,0.019074523632799815
479,0.028181948581778627
472,0.016471918296316872
440,0.016756974821443806
483,1.5786757940101694
422,0.018406040072528797
473,0.016366853428939038
492,0.0690933507168979
416,0.017263898114779148
508,0.020255911161317166
490,0.03034162727194429
502,0.02071058631660818
499,0.023044716796409844
484,0.027412110100355984
500,0.01836231581139636
507,0.01701292452639052
491,0.021155948582951292
487,0.022166106869061095
509,0.015503434571898287
327,0.01769189588563471
414,0.016169082792064342
474,0.017414213229140687
395,0.014107365061978303
471,0.012288619213664923
