request_id,outsourced_at,arrived_at,queued_at,was_running,num_prefill_tokens,num_decode_tokens,num_processed_tokens,api_cost_usd,replica_id
104,12.748778,11.706547,11.706547,False,2940,508,0,0.008755,0
101,12.748778,11.142539,11.142539,False,3397,613,0,0.010376,0
115,12.796683,12.753428,12.753428,False,4047,228,0,0.007339,0
107,12.845016,12.127430,12.127430,False,2904,621,0,0.009840,0
114,12.942790,12.729113,12.729113,False,9739,160,0,0.013774,0
116,13.245056,12.996205,12.996205,False,1718,223,0,0.004378,0
117,13.245056,13.173826,13.173826,False,9032,232,0,0.013610,0
113,13.245056,12.620907,12.620907,False,8999,306,0,0.014309,0
118,13.454310,13.332707,13.332707,False,1409,574,0,0.007501,0
102,13.454310,11.292914,11.292914,False,9131,593,0,0.017344,0
109,13.561069,12.179823,12.179823,False,14058,17,0,0.017742,0
105,13.561069,11.895106,11.895106,False,12039,373,0,0.018779,0
110,13.561069,12.470943,12.470943,False,14201,358,0,0.021331,0
108,13.561069,12.167154,12.167154,False,12512,529,0,0.020930,0
111,13.561069,12.546992,12.546992,False,16976,182,0,0.023040,0
112,13.561069,12.575255,12.575255,False,23320,463,0,0.033780,0
122,13.779334,13.767644,13.767644,False,6565,89,0,0.009096,0
121,13.779334,13.636471,13.636471,False,5676,494,0,0.012035,0
123,13.779334,13.778672,13.778672,False,15966,338,0,0.023338,0
125,13.890842,13.851176,13.851176,False,13695,566,0,0.022779,0
119,13.890842,13.403432,13.403432,False,23891,616,0,0.036024,0
96,13.890842,10.385199,10.385199,True,44217,39254,0,0.447811,0
124,13.890842,13.845862,13.845862,False,70157,400,0,0.091696,0
128,19.940927,14.005872,14.005872,False,1408,439,0,0.006150,0
127,19.940927,13.986359,13.986359,False,1419,396,0,0.005734,0
126,19.940927,13.936326,13.936326,False,2407,456,0,0.007569,0
98,19.940927,10.452806,10.452806,True,65155,56570,0,0.647144,0
120,19.940927,13.526808,13.526808,False,87684,7,0,0.109675,0
