Request Id,request_execution_time_normalized
5,0.13691461885541167
6,0.033238723120262756
11,0.050063381087238054
4,0.03681097691812324
15,0.05864980932302148
1,0.04033691933286788
2,0.04073547618347764
7,0.044660373622519726
9,0.044069710546663254
16,0.03716760981207032
8,0.045544792505057524
25,0.05405552103057463
14,0.03537139065679749
27,0.03270215120340429
12,0.059466095267851626
17,0.03549440146813388
10,0.04266135642973008
3,0.03906773859039207
29,0.06583623688203112
34,0.5555658934057373
20,0.03784837130767373
18,0.036448558013481624
13,0.034785236276690785
21,0.039779197408072474
37,0.031579322341805556
26,0.04677851927667749
23,0.035000097531107034
22,0.034542403259880804
35,0.039644621035413156
33,0.03301373591875941
32,0.035219797930606554
46,0.04604644464059933
38,0.03255584675841157
42,0.038506673026050695
45,0.038980187665072136
43,0.038387843910881264
44,0.035337881177639724
30,0.034909153791844894
36,0.03687174645715361
31,0.03425878107963819
48,0.036082782510408924
19,0.03610651940092086
58,0.03995188834966082
49,0.03638913228127367
24,0.03541683024117055
53,0.03670475860377249
40,0.034451005758029854
28,0.03392208913301781
39,0.034425093765056355
50,0.039592560064410524
57,0.03784023950157297
41,0.034214633422523996
64,0.03237523877946851
47,0.03521587845527328
68,0.09095647003656769
52,0.03395988137195667
65,0.039701724723357784
66,0.03359501600454537
55,0.03544391969065329
59,0.0334095281280584
74,0.6880706492396415
51,0.038676021991535615
56,0.038004448886650166
62,0.03532456517386073
60,0.03387258356474787
54,0.036928625298100336
72,0.03937082026295108
67,0.03486280508257976
61,0.0362481482756214
80,0.03220402574853092
71,0.036641565039346416
63,0.03600752125803679
70,0.03597241872843808
85,0.48876398363362455
76,0.04430711303441229
75,0.03448022176338068
77,0.032961817036344536
69,0.034624198571576045
89,0.049541715445718594
78,0.03741803792889481
73,0.0391467364406158
84,0.040809963728785315
87,0.039190531044127466
79,0.041059587145588314
83,0.03868510845109927
95,0.06625116989327733
81,0.03932336554710064
82,0.03981725620717884
88,0.05008443551892676
86,0.04390295050901342
90,0.04588491621609715
92,0.04770170294210734
91,0.05649421032460234
94,0.0604802525132458
93,0.05931025124694564
103,0.03295104659107255
109,0.0831667121047733
100,0.03250026311462176
97,0.05236339808732039
111,0.041498321434176984
96,0.061106106069843784
114,0.04508535783321365
105,0.03953141615573049
116,0.0515053598467981
115,0.05248226397823628
110,0.04871899655527015
99,0.042989029931343875
117,0.05789461629642837
120,1.5595622439603651
104,0.04314323794593028
113,0.05115714026055827
106,0.043172771158083656
98,0.07062154200791196
108,0.04439111572792793
102,0.042512725448747186
122,0.03877745242273552
101,0.041617365965144516
112,0.05116966986585896
107,0.04430947412250128
130,0.04190680376941384
118,0.045868118848215865
123,0.04247108887715979
119,0.04865237086012874
134,0.04453988835908384
129,0.04629934379694605
121,0.04049926238580308
139,0.03765749132794556
124,0.05260682028289772
137,0.045437828636775195
127,0.036109350333929154
135,0.06036868013834983
128,0.03651371805515649
126,0.03651119460154481
149,0.049105448383808085
151,0.060876048396825186
147,0.029370140765679936
132,0.03730463831926395
125,0.03651611907350686
136,0.033369781996276604
159,0.030527146501007747
133,0.03673055930230065
138,0.03395168356778588
160,0.03893250950128329
131,0.034630156430559104
166,0.29621209492076683
152,0.03096115879613087
156,0.041024996845460536
141,0.033120627196655726
143,0.034732068191608984
142,0.032891197711098934
155,0.03187712362267713
145,0.03595412063400528
140,0.03293906442480362
168,0.03272222993456876
158,0.033244196331643265
171,0.04008970865861563
153,0.033464765270514646
167,0.04081181012336559
154,0.033349368586358584
157,0.03186377280146221
150,0.03190243549692369
148,0.03169579955618818
144,0.0375435919503997
164,0.035324364263866884
165,0.03557381717073006
163,0.03989676875350885
173,0.052103240796235115
176,0.05590879489441208
170,0.05552016907859935
178,0.061378999859198306
175,0.054945974206654785
174,0.05457254841100257
172,0.05095862848527193
169,0.05108239413584127
161,0.04561204084309487
162,0.04548537827833062
146,0.042215493751286436
177,0.05227322082602082
186,0.29898962905564996
179,0.07586643145018399
188,0.04322983291089381
184,0.04594415228866527
181,0.044718496597103634
185,0.0407587366637725
197,0.05648682960642257
183,0.04082327126565307
191,0.03268931452467446
189,0.04349313089764288
199,0.07544715228866952
187,0.04186054428261363
180,0.05290184131864961
182,0.03871823342149725
207,0.04128074777761766
190,0.05065851085526826
196,0.03378991646914348
192,0.03451758793478738
205,0.03660621994986691
198,0.03738507832581394
200,0.03748864407786786
195,0.03416657483099761
208,0.04500593805891147
206,0.036738118437124684
204,0.03957714864414175
193,0.03728766996129895
201,0.036923488841823816
203,0.037734458311607835
222,0.10923702572312437
210,0.038685962746700324
209,0.03818421766420616
202,0.03843918415685819
218,0.043977249725745945
212,0.0409396604670084
194,0.037846271155637046
227,0.11709800689355876
211,0.043531048454327995
223,0.06778935249551658
216,0.03839086010102053
231,0.030504967076965126
214,0.03958908672123876
219,0.039621214393343374
213,0.0389839471985449
235,0.048656308720229455
229,0.03692286381614836
217,0.037376200619119504
221,0.04138250542732421
232,0.046700678458913174
226,0.048256538817618884
220,0.05011056079359197
225,0.04237178112046622
241,0.04762322368626833
215,0.04200085954010017
236,0.055106071881843986
224,0.04161693059774851
239,0.034546638858907325
228,0.04161634710744109
230,0.04282700511475115
240,0.0376075794926979
234,0.04581904639132648
237,0.04871493170465039
247,0.032398375924707346
233,0.0470870591759609
242,0.044928355437869716
257,0.07529393953476236
258,0.0326908408626536
243,0.04003523685201018
253,0.03332146484085581
244,0.041314442142866885
251,0.03277900678147931
238,0.05711766482125331
245,0.04290630669434929
249,0.03415318228643551
246,0.05372411175520054
248,0.03776291421744779
250,0.03900991784070897
268,0.10414839418782737
259,0.038133062286886114
261,0.03912071239646866
263,0.047295168728174894
252,0.04033081480381172
256,0.03785668627663471
255,0.03977531936855319
254,0.03756464113156557
270,0.034099697763088466
269,0.04741666467422474
278,0.04382750081007576
264,0.03944046494426041
279,0.1955490206809548
266,0.03918734276358582
262,0.03788628461566843
271,0.03585855126183014
286,0.04937951670247299
277,0.04069602275408693
276,0.03966960799937435
267,0.04535466905207578
260,0.03928355702145465
272,0.03834626791206608
293,0.04738766018431614
275,0.038506027262917034
284,0.04209228096738787
281,0.03619320373963717
273,0.040245445609689755
280,0.03660794804126647
289,0.03641742017458939
283,0.03888186346735395
285,0.039646299376842414
302,0.0972701330979249
294,0.04455502527716198
274,0.03978181244379565
290,0.04236835349121122
300,0.0340162438073075
297,0.0476721666021056
305,0.05150750414308991
308,0.04741869136435473
287,0.04495275760671787
295,0.0404851142762986
291,0.03981691979767992
288,0.037561746380595916
311,0.03463050862948937
314,0.06267106288106751
298,0.05040056470786223
313,0.04371954332765329
318,0.034662091324613314
304,0.03523231891873999
319,0.05046428363061801
320,0.03503726530373122
301,0.0348038019609653
306,0.03811735133765516
265,0.03798055715773239
299,0.03452519788485378
309,0.03930187711590295
296,0.03769395504950547
310,0.03577891205316201
323,0.035330363302011294
307,0.03483081533747325
303,0.038298739486029965
326,0.050131350034388816
316,0.038173541002002785
315,0.037955377302838794
333,0.07105881271070624
340,0.04095266277137269
325,0.03771067305587466
332,0.035248875218206806
321,0.03734684209784956
339,0.03257994322383284
312,0.035318674968256705
