cdf,request_e2e_time
0.0,1.1214589084413478
0.01,17.439805595697
0.02,21.559754151128473
0.03,27.81237893022708
0.04,29.690584086564638
0.05,33.09995157610929
0.06,35.47607984819859
0.07,38.6899534975166
0.08,41.21490358938392
0.09,47.2694664289929
0.1,48.83464906712685
0.11,50.27285885822983
0.12,51.803272562855774
0.13,54.26595556221171
0.14,57.614133456327764
0.15,60.97545954306997
0.16,63.98723679401802
0.17,67.08785986640974
0.18,69.50271048969552
0.19,77.17984694707006
0.2,83.33729768951441
0.21,92.35379484631432
0.22,105.94952961129806
0.23,118.9301586429458
0.24,124.37535619660721
0.25,129.51545940860672
0.26,132.36390935160912
0.27,134.48964823233018
0.28,138.69534699271054
0.29,146.82547995554282
0.3,150.34023978464262
0.31,153.9153465782471
0.32,155.51173591617984
0.33,158.27995161156886
0.34,159.98566587569368
0.35000000000000003,162.5122522437658
0.36,163.66253290348791
0.37,165.51265110762958
0.38,167.0501139243028
0.39,172.6637716598327
0.4,185.83708834847198
0.41000000000000003,187.98710564279955
0.42,190.09818620663205
0.43,197.0198632416963
0.44,199.96257900593477
0.45,204.35841727301136
0.46,210.49528524488767
0.47000000000000003,216.89144275152222
0.48,221.6417776585757
0.49,223.96152403022356
0.5,228.19587553142964
0.51,229.99942397372715
0.52,231.46238331333703
0.53,239.36967815019122
0.54,245.02195355376418
0.55,247.92328238296582
0.56,252.05014335694
0.5700000000000001,258.60856212848864
0.58,261.1678208061475
0.59,263.3261666479872
0.6,270.28632592487725
0.61,272.7151161230757
0.62,277.74261203061303
0.63,283.36730246778836
0.64,287.32369937868117
0.65,292.2883892949426
0.66,295.45263493581143
0.67,300.89422545162716
0.68,306.20444631701514
0.6900000000000001,307.6614919281964
0.7000000000000001,313.46141008514553
0.71,315.4786419464218
0.72,317.3786335606988
0.73,321.721063337973
0.74,324.36801478235066
0.75,330.4241692169129
0.76,332.71134596964714
0.77,334.7686527786359
0.78,337.326471610121
0.79,340.51249238975197
0.8,341.3904247882066
0.81,343.08950942865914
0.8200000000000001,345.648468583005
0.8300000000000001,346.9665204581407
0.84,349.0052470757704
0.85,350.32387342281254
0.86,358.7498872459747
0.87,361.21430048927937
0.88,372.1067222550136
0.89,376.3131733399299
0.9,378.60961660629107
0.91,383.3448393257111
0.92,393.58716388288013
0.93,396.37940938465647
0.9400000000000001,402.9931896769124
0.9500000000000001,407.7611594745135
0.96,410.21894697885153
0.97,411.18362984894543
0.98,411.5515332936066
0.99,412.7587690029178
1.0,426.50273751857475
