cdf,request_model_execution_time
0.0,0.1421629805529484
0.01,0.4868815954813045
0.02,0.6855832449405299
0.03,0.8250968762185567
0.04,0.9121386730272608
0.05,0.9982469883901401
0.06,1.1834105141876228
0.07,1.39028382009248
0.08,1.6130984228062213
0.09,1.8027455975448936
0.1,2.017221599299113
0.11,2.2563478634951517
0.12,2.666535343820366
0.13,3.1802553648068534
0.14,3.699455467240527
0.15,4.161004900425615
0.16,4.414283980223573
0.17,4.915574368503509
0.18,5.381234483812478
0.19,5.7518248583349365
0.2,6.088459241488069
0.21,6.483740645994484
0.22,7.190177212905145
0.23,7.552825528873467
0.24,7.91976760254928
0.25,8.676792251144136
0.26,9.25741226973743
0.27,9.619023439311487
0.28,10.002919426199824
0.29,10.329829640507675
0.3,10.486741969572114
0.31,11.16761954854157
0.32,11.450922371326499
0.33,11.58921991111788
0.34,11.874444527373683
0.35000000000000003,11.965560416494439
0.36,12.114068750877166
0.37,12.445122343516033
0.38,12.720198176465939
0.39,12.97285153399055
0.4,13.202406441148403
0.41000000000000003,13.314819610111517
0.42,13.649882668919904
0.43,13.924920144113567
0.44,14.152466501950249
0.45,14.25898545107985
0.46,14.361188086227479
0.47000000000000003,14.501491388978902
0.48,14.67233062132659
0.49,14.859038235874952
0.5,15.172842914532495
0.51,15.636492448247191
0.52,15.86633427056001
0.53,16.21269205908061
0.54,16.537681445963745
0.55,16.8139472599505
0.56,17.07325206227114
0.5700000000000001,17.347444242419428
0.58,17.44500435016899
0.59,17.53455752546461
0.6,17.731848889308036
0.61,17.873534132862428
0.62,18.014485822583527
0.63,18.34875400437513
0.64,18.771318924601257
0.65,19.016614788319593
0.66,19.180595606617647
0.67,19.597408970738638
0.68,19.756151501064586
0.6900000000000001,19.913750290973248
0.7000000000000001,20.01326091396051
0.71,20.297678776831294
0.72,20.439630146536768
0.73,20.651726424589317
0.74,20.873464724594935
0.75,21.01573870384316
0.76,21.314950827749406
0.77,21.667162177206702
0.78,21.893827137259414
0.79,22.134381417399087
0.8,22.534760541686005
0.81,22.762365993111008
0.8200000000000001,23.16174418982567
0.8300000000000001,23.435617186771783
0.84,23.60079517652977
0.85,23.773515000433196
0.86,24.265431482506163
0.87,24.883581628616405
0.88,25.18090041947825
0.89,25.369573774627113
0.9,26.00432572964946
0.91,26.169401337682082
0.92,27.04834289889991
0.93,27.787102125242676
0.9400000000000001,29.77866562688549
0.9500000000000001,30.417310427220876
0.96,31.099163166520466
0.97,33.028010102329006
0.98,34.45045170494386
0.99,41.564975707858125
1.0,85.06686781134003
