Time (sec),request_arrival
0.18587822790020653,1
0.2581054418999912,2
0.5026239187698309,3
0.6520286474043208,4
0.6643926149444088,5
1.0393926149444088,6
1.2183771680830981,7
1.4111371432162756,8
1.4282741652495143,9
1.5030915342908466,10
1.561004405250437,11
1.8877646149933345,12
2.016820332956791,13
2.2331027873161404,14
2.3063445298344227,15
2.338567667730464,16
2.439661213850804,17
2.447904286645341,18
2.6676691302857094,19
2.7925142299716663,20
2.9699117525845815,21
3.024633039957767,22
3.399633039957767,23
3.6791404225404687,24
3.8674912794396046,25
3.894549315955471,26
3.973138134280582,27
3.978737149415827,28
3.999684420308469,29
4.1433104132662475,30
4.314005344092296,31
4.689005344092296,32
4.738288605227173,33
4.796134282485957,34
4.875389348924266,35
4.901647924060357,36
4.919044405016743,37
4.999756984424623,38
5.03192685513306,39
5.170439246487655,40
5.24228243716196,41
5.4657619810465015,42
5.616369089588529,43
5.663181526098627,44
5.886348892776472,45
6.090542396136543,46
6.1518137758420055,47
6.194331062580397,48
6.337738975085511,49
6.356555865258917,50
6.384434466632794,51
6.385358154759903,52
6.578621672395099,53
6.71526912764862,54
6.867936713317787,55
7.057617589908098,56
7.134390131074273,57
7.239520993032181,58
7.258344351644796,59
7.273548949712905,60
7.411528298160123,61
7.491146889138603,62
7.59526591023464,63
7.7762865230834315,64
7.902172335208592,65
8.00298405064613,66
8.105381583916207,67
8.150673324295209,68
8.154586160737452,69
8.226332886218005,70
8.256525713955755,71
8.322168466744031,72
8.562177023416455,73
8.595488787439717,74
8.602997717176656,75
8.64430121577366,76
8.687746814904635,77
8.823304616923215,78
8.925086878200645,79
9.11658759422144,80
9.253034808023447,81
9.318225739733611,82
9.52849051551531,83
9.551326656543973,84
9.554198402203138,85
9.565993811592302,86
9.726172265279871,87
9.80363083381668,88
9.825614403453466,89
9.912519268068793,90
9.933174612642292,91
10.082147362476016,92
10.156006452213798,93
10.215966989442919,94
10.260821665409571,95
10.385198706702981,96
10.441339122315064,97
10.452805560085608,98
10.468501799428651,99
10.843501799428651,100
11.142539119607381,101
11.292913752093453,102
11.33154738982286,103
11.70654738982286,104
11.895105649925805,105
12.05284570397926,106
12.127430300090746,107
12.167153562786975,108
12.179823374336326,109
12.470942583562485,110
12.546991944154405,111
12.575254710352901,112
12.620907312753477,113
12.729112828100911,114
12.753428207162882,115
12.996205327901155,116
13.173826162656459,117
13.332707349955594,118
13.403432059467972,119
13.526807708651935,120
13.636470902233178,121
13.767643894638669,122
13.778671906980861,123
13.84586247694576,124
13.851175582048043,125
13.93632564030726,126
13.986359445591871,127
14.005871628165147,128
14.019515222820162,129
14.130248924400881,130
14.153629456080253,131
14.477613209542849,132
14.586366995523656,133
14.639614344158831,134
14.751343534407326,135
14.754227022026681,136
15.129227022026681,137
15.211522771272447,138
15.402352586060012,139
15.413146762509205,140
15.496498466727637,141
15.580839939034648,142
15.92806815039126,143
16.034067762082692,144
16.11425323916579,145
16.15307528614855,146
16.20342804864195,147
16.29534942309871,148
16.367583993241745,149
16.37031512339819,150
16.58911251264565,151
16.87222644502384,152
16.891115516281136,153
16.992055187477533,154
17.006422038039766,155
17.14585627924092,156
17.187133669929644,157
17.321772790968506,158
17.484055760481617,159
17.667032350808423,160
17.681282196962638,161
17.990917134915776,162
18.023622474042238,163
18.02838876981984,164
18.12955746010763,165
18.187495019463423,166
18.408835119593647,167
18.615281434063885,168
18.662964408698766,169
19.037964408698766,170
19.08093739307596,171
19.17140291647759,172
19.208361331973805,173
19.552055483158156,174
19.57453723126487,175
19.580281025092564,176
19.65166869386867,177
20.02666869386867,178
20.304498722926226,179
20.477091458242114,180
20.75390463989047,181
21.03379331284151,182
21.125242510738115,183
21.172704215906254,184
21.35751223819587,185
21.492975701367016,186
21.55145798865609,187
21.563861887631365,188
21.73555370764719,189
21.773608164455883,190
22.11881554914922,191
22.153279890927912,192
22.16965142929304,193
22.391966864963738,194
22.412765654409093,195
22.43746053309265,196
22.551804145581436,197
22.8112971445744,198
22.838634242698642,199
22.885075853024652,200
23.07287592496371,201
23.44787592496371,202
23.534704756559414,203
23.55412540280922,204
23.555879691501506,205
23.588494460200796,206
23.60616430608528,207
23.747682340463555,208
23.763922082254226,209
23.852158065091537,210
24.000286587319923,211
24.10905692499786,212
24.136914819398353,213
24.340699339314444,214
24.497786294938916,215
24.665682993171107,216
24.683242819847784,217
24.6997563425316,218
25.027885325285034,219
25.091235000825264,220
25.135988892966,221
25.219810395294598,222
25.35571908283199,223
25.73071908283199,224
25.77290626778676,225
26.096370786064803,226
26.09951749943588,227
26.200783266287356,228
26.326415009665027,229
26.34040685335102,230
26.35930908435442,231
26.42720924741861,232
26.80220924741861,233
26.915514964463185,234
27.253441128302644,235
27.45737659372924,236
27.53612035143128,237
27.728122553885555,238
27.730372275970044,239
27.74481883560801,240
27.96589400921318,241
28.16510009207599,242
28.198200116262413,243
28.29278278540404,244
28.40921335097296,245
28.662085561774035,246
28.77759668083142,247
28.84409678838452,248
28.902684157154674,249
28.972049217070033,250
29.103968544131376,251
29.35660628566878,252
29.43222471821916,253
29.46782542205021,254
29.50158227619064,255
29.67289193056251,256
29.884881357346593,257
29.898786646438257,258
29.907396317407333,259
30.02020517085443,260
30.039958541832583,261
30.257590070850043,262
30.30403367506639,263
30.323450587943388,264
30.64069230423921,265
30.66331237307239,266
30.705197538030884,267
30.726044918540996,268
30.741385109991224,269
30.74405696489586,270
30.7511805725768,271
30.775172748372608,272
30.782030195259487,273
30.893829171935533,274
31.036537881443884,275
31.09907109038911,276
31.146910161251782,277
31.234690270903517,278
31.49462540594581,279
31.732712001565442,280
31.738268053855077,281
31.763303046242825,282
31.79707341219019,283
31.832931642203068,284
31.9387867445672,285
32.00607471409555,286
32.01238827228654,287
32.070861860478615,288
32.1635891784903,289
32.17699166763523,290
32.4010555519282,291
32.40772562096424,292
32.73124574245635,293
32.74429269278127,294
32.97618998124001,295
33.267374336587714,296
33.642374336587714,297
33.84482670724811,298
34.03379617391934,299
34.162367816108116,300
34.35106482641797,301
34.369128354901,302
34.46513052573906,303
34.55538119335164,304
34.79899615360388,305
34.87666910777681,306
34.93745392576174,307
35.06500878167846,308
35.10374349073168,309
35.122562695281445,310
35.20379427171878,311
35.27121656526394,312
35.304305056688705,313
35.3615667730229,314
35.41860746330332,315
35.46820078478567,316
35.52784725813237,317
35.67254041510491,318
35.716568251449864,319
36.088211722523674,320
36.398347994555536,321
36.4803078477485,322
36.53006217155042,323
36.625893839388205,324
36.861839964337335,325
36.99399521250105,326
37.19795043035636,327
37.29305436787435,328
37.41832549446169,329
37.46081248829953,330
37.62676528494332,331
37.6550345123226,332
37.80338224339631,333
38.04979003018729,334
38.0675002861241,335
38.1866130583163,336
38.199103825819854,337
38.36080255804075,338
38.371837246518346,339
38.715328792405465,340
38.7338054659044,341
39.1088054659044,342
39.31053904013542,343
39.423116438350704,344
39.6138823367636,345
39.812045542634884,346
40.17695460780064,347
40.2134800348999,348
40.32495294078102,349
40.3374372781197,350
40.45713031936987,351
40.48061614158863,352
40.58465310627529,353
40.69085791421802,354
40.769274368843334,355
40.861707759694454,356
41.04215762319665,357
41.2428661991663,358
41.327563134461194,359
41.44197249094389,360
41.776607285235194,361
41.79254861985855,362
41.80811704160006,363
41.81959157583896,364
41.95365968464588,365
42.021451005671445,366
42.20753144158487,367
42.346581586537866,368
42.39732181777426,369
42.683119635246605,370
42.86283501284109,371
42.902265488995226,372
42.95887282349065,373
43.00606272693846,374
43.02750199520851,375
43.04749131106991,376
43.39134953566633,377
43.46335987208503,378
43.523785464686064,379
43.68730670906352,380
43.78795435537768,381
44.13183709107714,382
44.32127447850018,383
