cdf,request_scheduling_delay
0.0,0.0
0.01,0.6798411747704441
0.02,4.024035435699121
0.03,15.752181939758925
0.04,16.718345649920355
0.05,21.31643775834411
0.06,24.09037939794662
0.07,27.542748738688275
0.08,29.027601318272527
0.09,32.103032010062805
0.1,32.952487376251526
0.11,35.2023443311994
0.12,39.348699374261635
0.13,43.525129990436696
0.14,46.58820255516753
0.15,48.42942017991611
0.16,50.62218108956343
0.17,52.9230264766866
0.18,59.818787431453465
0.19,63.635769606718775
0.2,66.79286139767926
0.21,71.53846869514193
0.22,79.085564205489
0.23,94.53132234649583
0.24,110.18442096203106
0.25,110.66317559051214
0.26,112.65180370260728
0.27,116.41630261689325
0.28,117.16788040808275
0.29,130.0655211425211
0.3,138.413518812436
0.31,140.55371174529827
0.32,146.09764034287244
0.33,147.7300898002397
0.34,149.85127601438393
0.35000000000000003,153.38577102221535
0.36,154.20442091169906
0.37,156.41117423278737
0.38,156.62752596553236
0.39,157.34473477150593
0.4,159.84102745166788
0.41000000000000003,162.2258371309738
0.42,163.43150219631087
0.43,185.4331670027654
0.44,186.83250484655173
0.45,194.6962255439051
0.46,197.52467368952227
0.47000000000000003,199.22694215117855
0.48,201.45979536678982
0.49,203.09447618734927
0.5,209.80787986459922
0.51,213.04493050750483
0.52,216.19918170422918
0.53,225.39047810126405
0.54,227.194406727214
0.55,228.31155769514962
0.56,231.38067136310275
0.5700000000000001,242.89464913883214
0.58,245.51939767935212
0.59,254.69190925901233
0.6,256.6731218028952
0.61,258.3153615039288
0.62,259.5965952507473
0.63,262.8522377820758
0.64,272.2578488669171
0.65,276.45873017803285
0.66,279.7974791791645
0.67,283.9699585471203
0.68,289.94423444203244
0.6900000000000001,291.75958575005495
0.7000000000000001,293.5082420843502
0.71,301.60785246567804
0.72,304.9899193140165
0.73,309.13637792035394
0.74,311.70723512667104
0.75,314.07419545454286
0.76,316.904134255345
0.77,324.86474730178804
0.78,328.97715138135175
0.79,329.80967705965867
0.8,330.1573984832072
0.81,330.8092715931476
0.8200000000000001,332.7781316254839
0.8300000000000001,334.11908698526275
0.84,337.75073979690546
0.85,339.73097302880075
0.86,341.3330364661428
0.87,342.9530367143783
0.88,349.30064981709035
0.89,356.6536813085811
0.9,357.57699051694505
0.91,373.6840239433866
0.92,376.6981914496517
0.93,378.32282842875367
0.9400000000000001,385.04165038333565
0.9500000000000001,386.2599017256137
0.96,387.51783691075866
0.97,388.28136273228705
0.98,389.45287389438283
0.99,391.15691597476933
1.0,391.53186170450977
