cdf,request_model_execution_time_normalized
0.0,0.02506419206908946
0.01,0.031011290468793525
0.02,0.031866415569605386
0.03,0.03225882725753144
0.04,0.03248803665183203
0.05,0.03263067443312004
0.06,0.0326922123748667
0.07,0.03275288943190046
0.08,0.032948170871168005
0.09,0.03312056905937953
0.1,0.03332704558995637
0.11,0.03338801382445566
0.12,0.03358760921617536
0.13,0.03371571839298397
0.14,0.033924456687799254
0.15,0.03404127999404179
0.16,0.0341601464096078
0.17,0.0342473026887885
0.18,0.03447905312316665
0.19,0.03456059960718769
0.2,0.03469008207141158
0.21,0.03483985482545642
0.22,0.03503120252686768
0.23,0.03522054918989456
0.24,0.03532026797102755
0.25,0.0353546359172186
0.26,0.035490068258372136
0.27,0.03585680953604851
0.28,0.03603238551062097
0.29,0.03614673049768603
0.3,0.036380855091092235
0.31,0.03650187924805731
0.32,0.03660628907352289
0.33,0.036711466785389814
0.34,0.03684014629685782
0.35000000000000003,0.03709591445787932
0.36,0.03737385193741791
0.37,0.037492528030539186
0.38,0.03758009894157321
0.39,0.0377244685041999
0.4,0.03784506482482423
0.41000000000000003,0.037955880899936664
0.42,0.038142777178514116
0.43,0.03836539287152106
0.44,0.03850611184485348
0.45,0.03868587731714022
0.46,0.03888794099142547
0.47000000000000003,0.038992777216880686
0.48,0.039139607527050625
0.49,0.039297846695124324
0.5,0.03953141615573049
0.51,0.03962636385459872
0.52,0.03973410636724376
0.53,0.03981714182794921
0.54,0.040083172041822976
0.55,0.04035173882721095
0.56,0.040574045588378266
0.5700000000000001,0.04078639927887942
0.58,0.040942333147063956
0.59,0.04127510141115536
0.6,0.04140566862869476
0.61,0.0416165921733702
0.62,0.04189015035416576
0.63,0.04221468879297874
0.64,0.042379725741001704
0.65,0.042545657688135376
0.66,0.04286244280670157
0.67,0.04312528069859291
0.68,0.04329018608617576
0.6900000000000001,0.04359134172658037
0.7000000000000001,0.04397355800875918
0.71,0.0443600919178658
0.72,0.04464514679200345
0.73,0.0450107032453696
0.74,0.045451142536410714
0.75,0.045727069243661246
0.76,0.0460178027820578
0.77,0.04677384882761163
0.78,0.04741698894464554
0.79,0.047683390411306266
0.8,0.04865473357618917
0.81,0.04871826488215859
0.8200000000000001,0.0493860046522028
0.8300000000000001,0.05011596599619915
0.84,0.050656832684008765
0.85,0.05116591098426875
0.86,0.05205674634883002
0.87,0.05238003931204861
0.88,0.053017558940310114
0.89,0.053845473997701336
0.9,0.05497143861126273
0.91,0.05648697722078616
0.92,0.058075862622810726
0.93,0.060420003430801984
0.9400000000000001,0.0622576027140693
0.9500000000000001,0.07033832305667236
0.96,0.07549746578805126
0.97,0.09382893819364736
0.98,0.11363917517856764
0.99,0.2983785715459756
1.0,1.5595622439603651
