cdf,request_model_execution_time
0.0,0.9065252673662625
0.01,1.0242071869033758
0.02,1.1418891064404892
0.03,1.2541273096591683
0.04,1.2792660517829009
0.05,1.3044047939066332
0.06,1.3946590374568888
0.07,1.973279541706067
0.08,2.5519000459552443
0.09,3.0513877466085497
0.1,3.1815890304811205
0.11,3.3117903143536904
0.12,3.416506422937772
0.13,3.4383957118342656
0.14,3.460285000730759
0.15,3.491472470580778
0.16,3.544975574719258
0.17,3.5984786788577376
0.18,3.6690238640496373
0.19,3.77081286450614
0.2,3.8726018649626424
0.21,3.9514878707350762
0.22,3.9976553126731273
0.23,4.0438227546111785
0.24,4.138044577840522
0.25,4.286327580022569
0.26,4.434610582204616
0.27,4.648098603646795
0.28,4.919546642209092
0.29,5.190994680771387
0.3,5.4135591369222755
0.31,5.60190508538518
0.32,5.790251033848085
0.33,5.940379858454489
0.34,6.069662979139165
0.35000000000000003,6.198946099823841
0.36,6.24672619492644
0.37,6.260546696036506
0.38,6.274367197146572
0.39,6.289164290455252
0.4,6.3042618736712
0.41000000000000003,6.319359456887146
0.42,6.375558575699468
0.43,6.4405651664253005
0.44,6.505571757151134
0.45,6.515067078964418
0.46,6.51716089825603
0.47000000000000003,6.519254717547643
0.48,6.614644724729929
0.49,6.715865743655381
0.5,6.817086762580834
0.51,6.8925276877049155
0.52,6.967968612828997
0.53,7.046734047626621
0.54,7.178691637200913
0.55,7.310649226775206
0.56,7.429419847171391
0.5700000000000001,7.449288198731776
0.58,7.46915655029216
0.59,7.490225947781123
0.6,7.51690022627011
0.61,7.543574504759097
0.62,7.568392897409885
0.63,7.587179661086526
0.64,7.605966424763167
0.65,7.640879117811377
0.66,7.714494041351349
0.67,7.788108964891323
0.68,7.8482879629388
0.6900000000000001,7.8838344309167026
0.7000000000000001,7.919380898894605
0.71,7.9526672124990885
0.72,7.9827247341415415
0.73,8.012782255783995
0.74,8.05580179979698
0.75,8.113403618976811
0.76,8.171005438156644
0.77,8.25117409076192
0.78,8.351402150856474
0.79,8.45163021095103
0.8,8.669222314866198
0.81,8.968969249455789
0.8200000000000001,9.268716184045378
0.8300000000000001,9.431809820252266
0.84,9.520365293704952
0.85,9.608920767157638
0.86,9.762534399672
0.87,9.943255598462065
0.88,10.123976797252128
0.89,10.616531113341177
0.9,11.205034080906831
0.91,11.793537048472487
0.92,11.992912710754583
0.93,12.108903950475918
0.9400000000000001,12.224895190197254
0.9500000000000001,12.252441186208815
0.96,12.268194483059075
0.97,12.283947779909333
0.98,13.646219846063104
0.99,15.092649335298326
1.0,16.53907882453358
