Request Id,decode_time_execution_plus_preemption_normalized
5,0.022132618034183996
24,0.02628235364528292
3,0.02373415009187632
63,0.02222192703326316
79,0.025207681794466752
16,0.022132765749674838
34,0.021212359719087616
0,0.023065813307580334
65,0.022174384864973525
102,0.025923628490476934
22,0.023479555570985605
7,0.022842065016188653
43,0.02273863404328348
47,0.022787029109512892
71,0.02322336142973536
76,0.022129139148431183
66,0.0210103040975438
113,0.017871457531378566
99,0.01983947233593353
54,0.020154072363804315
59,0.019970754287759723
86,0.01715789558689561
115,0.015092856416196107
30,0.019848145728720325
2,0.020333773026330916
104,0.013766397185975351
98,0.014569859521435143
126,0.008935183730410983
105,0.012280271140517222
80,0.013754130328038836
127,0.008814711817140488
101,0.012657422522068343
100,0.013123161919609284
117,0.010934447826146507
118,0.008752944249212583
