Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
28,73.166082,0.098210,48.297733,0.064829,48.297733,0.064829,0.000000,24.868349,48.297733,0.064829,25.193334,0.004049,0.324985,0.000052,0.064393,0.005599,6967,6222,512,745,8.351678,0,3.978737,0
29,26.197855,2.381623,1.083482,0.098498,1.083482,0.098498,0.000000,25.114372,1.083482,0.098498,25.615708,0.003305,0.501336,0.000065,0.052922,0.020947,7761,7750,512,11,704.545455,0,3.999684,0
30,63.402040,0.108565,37.991628,0.065054,37.991628,0.065054,0.000000,25.410412,37.991628,0.065054,26.054229,0.002398,0.643817,0.000059,0.063952,0.143626,11451,10867,512,584,18.607877,0,4.143310,0
31,65.368198,0.106290,39.549734,0.064309,39.549734,0.064309,0.000000,25.818464,39.549734,0.064309,25.935512,0.013039,0.117048,0.000059,0.064118,0.170695,2604,1989,512,615,3.234146,0,4.314005,0
32,48.140165,0.139942,22.631631,0.065790,22.631631,0.065790,0.000000,25.508534,22.631631,0.065790,26.541944,0.001672,1.033410,0.000065,0.062786,0.375000,16222,15878,512,344,46.156977,0,4.689005,0
33,46.305105,0.149855,19.885595,0.064355,19.885595,0.064355,0.000000,26.419510,19.885595,0.064355,26.707159,0.006185,0.287650,0.000067,0.063424,0.049283,4627,4318,512,309,13.974110,0,4.738289,0
34,27.102656,27.102656,0.509693,0.509693,0.509693,0.509693,0.000000,26.592963,0.509693,0.509693,27.102656,0.002919,0.509693,0.000055,0.000000,0.057846,9285,9284,512,1,9284.000000,0,4.796134,0
35,44.008419,0.184909,17.047457,0.071628,17.047457,0.071628,0.000000,26.960961,17.047457,0.071628,28.900920,0.001084,1.939958,0.000073,0.063477,0.079255,26906,26668,512,238,112.050420,0,4.875389,0
36,58.088847,0.129374,29.303429,0.065264,29.303429,0.065264,0.000000,28.785418,29.303429,0.065264,29.878874,0.001743,1.093456,0.000064,0.062828,0.026259,17596,17147,512,449,38.189310,0,4.901648,0
37,31.646425,1.020852,1.859345,0.059979,1.859345,0.059979,0.000000,29.787080,1.859345,0.059979,29.964956,0.010683,0.177876,0.000063,0.054241,0.017396,2836,2805,512,31,90.483871,0,4.919044,0
