cdf,request_e2e_time
0.0,1.1214589084413478
0.01,1.4182235845004263
0.02,1.7149882605595046
0.03,2.011752936618583
0.04,2.3085176126776616
0.05,2.60528228873674
0.06,2.9020469647958187
0.07,3.198811640854897
0.08,3.4955763169139757
0.09,3.7923409929730543
0.1,4.089105669032133
0.11,4.385870345091211
0.12,4.68263502115029
0.13,4.979399697209368
0.14,5.276164373268447
0.15,5.5729290493275245
0.16,5.869693725386604
0.17,6.1664584014456825
0.18,6.463223077504759
0.19,6.759987753563839
0.2,7.056752429622917
0.21,7.320919011081746
0.22,7.585085592540574
0.23,7.849252173999403
0.24,8.11341875545823
0.25,8.37758533691706
0.26,8.641751918375888
0.27,8.905918499834716
0.28,9.170085081293545
0.29,9.434251662752374
0.3,9.6984182442112
0.31,9.96258482567003
0.32,10.226751407128859
0.33,10.490917988587688
0.34,10.755084570046517
0.35000000000000003,11.019251151505344
0.36,11.283417732964171
0.37,11.547584314423
0.38,11.811750895881827
0.39,12.075917477340658
0.4,12.340084058799485
0.41000000000000003,12.711494001403796
0.42,13.08290394400811
0.43,13.454313886612422
0.44,13.825723829216736
0.45,14.197133771821047
0.46,14.56854371442536
0.47000000000000003,14.939953657029669
0.48,15.311363599633983
0.49,15.682773542238298
0.5,16.054183484842607
0.51,16.42559342744692
0.52,16.797003370051232
0.53,17.16841331265555
0.54,17.539823255259858
0.55,17.91123319786417
0.56,18.282643140468483
0.5700000000000001,18.654053083072796
0.58,19.025463025677105
0.59,19.396872968281418
0.6,19.76828291088573
0.61,19.77035559395308
0.62,19.772428277020435
0.63,19.774500960087785
0.64,19.776573643155135
0.65,19.778646326222486
0.66,19.78071900928984
0.67,19.78279169235719
0.68,19.78486437542454
0.6900000000000001,19.78693705849189
0.7000000000000001,19.78900974155924
0.71,19.791082424626595
0.72,19.793155107693945
0.73,19.795227790761295
0.74,19.79730047382865
0.75,19.799373156896
0.76,19.80144583996335
0.77,19.8035185230307
0.78,19.805591206098054
0.79,19.807663889165404
0.8,19.809736572232755
0.81,19.916828860080425
0.8200000000000001,20.023921147928096
0.8300000000000001,20.131013435775767
0.84,20.238105723623438
0.85,20.34519801147111
0.86,20.45229029931878
0.87,20.559382587166446
0.88,20.66647487501412
0.89,20.77356716286179
0.9,20.88065945070946
0.91,20.98775173855713
0.92,21.094844026404804
0.93,21.201936314252475
0.9400000000000001,21.309028602100142
0.9500000000000001,21.416120889947813
0.96,21.523213177795483
0.97,21.630305465643154
0.98,21.737397753490825
0.99,21.844490041338496
1.0,21.951582329186166
