cdf,request_model_execution_time_normalized
0.0,0.02716127688619758
0.01,0.027648767744625196
0.02,0.028136258603052813
0.03,0.028623749461480434
0.04,0.02911124031990805
0.05,0.02959873117833567
0.06,0.030086222036763286
0.07,0.030573712895190903
0.08,0.031061203753618524
0.09,0.03154869461204614
0.1,0.03203618547047376
0.11,0.03252367632890138
0.12,0.033011167187328994
0.13,0.033498658045756614
0.14,0.033986148904184235
0.15,0.03447363976261185
0.16,0.03496113062103947
0.17,0.035448621479467084
0.18,0.035936112337894704
0.19,0.03642360319632232
0.2,0.03691109405474994
0.21,0.03692322611291897
0.22,0.03693535817108799
0.23,0.03694749022925702
0.24,0.03695962228742605
0.25,0.036971754345595076
0.26,0.036983886403764106
0.27,0.036996018461933136
0.28,0.03700815052010216
0.29,0.03702028257827119
0.3,0.03703241463644022
0.31,0.03704454669460924
0.32,0.03705667875277827
0.33,0.037068810810947296
0.34,0.037080942869116326
0.35000000000000003,0.037093074927285356
0.36,0.03710520698545438
0.37,0.03711733904362341
0.38,0.03712947110179244
0.39,0.03714160315996146
0.4,0.03715373521813049
0.41000000000000003,0.03727702211444724
0.42,0.037400309010763994
0.43,0.03752359590708075
0.44,0.0376468828033975
0.45,0.03777016969971425
0.46,0.037893456596031
0.47000000000000003,0.03801674349234775
0.48,0.03814003038866451
0.49,0.03826331728498126
0.5,0.03838660418129801
0.51,0.03850989107761476
0.52,0.03863317797393151
0.53,0.03875646487024827
0.54,0.03887975176656502
0.55,0.03900303866288177
0.56,0.03912632555919852
0.5700000000000001,0.039249612455515275
0.58,0.039372899351832025
0.59,0.039496186248148775
0.6,0.039619473144465525
0.61,0.03962863144542899
0.62,0.039637789746392454
0.63,0.03964694804735592
0.64,0.039656106348319384
0.65,0.03966526464928285
0.66,0.03967442295024631
0.67,0.03968358125120978
0.68,0.03969273955217324
0.6900000000000001,0.03970189785313671
0.7000000000000001,0.03971105615410017
0.71,0.03972021445506364
0.72,0.03972937275602711
0.73,0.03973853105699057
0.74,0.03974768935795404
0.75,0.0397568476589175
0.76,0.039766005959880966
0.77,0.03977516426084443
0.78,0.039784322561807896
0.79,0.03979348086277136
0.8,0.039802639163734825
0.81,0.044658238148318735
0.8200000000000001,0.04951383713290247
0.8300000000000001,0.0543694361174863
0.84,0.05922503510207021
0.85,0.06408063408665404
0.86,0.06893623307123786
0.87,0.07379183205582168
0.88,0.0786474310404056
0.89,0.08350303002498942
0.9,0.08835862900957325
0.91,0.09321422799415707
0.92,0.09806982697874099
0.93,0.10292542596332482
0.9400000000000001,0.10778102494790856
0.9500000000000001,0.11263662393249246
0.96,0.11749222291707628
0.97,0.12234782190166012
0.98,0.12720342088624403
0.99,0.13205901987082785
1.0,0.13691461885541167
