cdf,prefill_e2e_time_normalized
0.0,5.0135331436980095e-05
0.01,5.1834926636145364e-05
0.02,5.3534521835310626e-05
0.03,5.5234117034475894e-05
0.04,5.693371223364116e-05
0.05,5.863330743280643e-05
0.06,6.0332902631971694e-05
0.07,6.203249783113697e-05
0.08,6.373209303030223e-05
0.09,6.543168822946749e-05
0.1,6.713128342863275e-05
0.11,6.883087862779803e-05
0.12,7.053047382696329e-05
0.13,7.223006902612857e-05
0.14,7.392966422529383e-05
0.15,7.562925942445909e-05
0.16,7.732885462362437e-05
0.17,7.902844982278963e-05
0.18,8.072804502195489e-05
0.19,8.242764022112017e-05
0.2,8.412723542028543e-05
0.21,8.493997534532261e-05
0.22,8.575271527035978e-05
0.23,8.656545519539696e-05
0.24,8.737819512043412e-05
0.25,8.81909350454713e-05
0.26,8.900367497050847e-05
0.27,8.981641489554565e-05
0.28,9.062915482058283e-05
0.29,9.144189474562e-05
0.3,9.225463467065718e-05
0.31,9.306737459569434e-05
0.32,9.388011452073152e-05
0.33,9.469285444576869e-05
0.34,9.550559437080587e-05
0.35000000000000003,9.631833429584304e-05
0.36,9.713107422088022e-05
0.37,9.794381414591738e-05
0.38,9.875655407095456e-05
0.39,9.956929399599174e-05
0.4,0.00010038203392102891
0.41000000000000003,0.00010275314904413703
0.42,0.00010512426416724517
0.43,0.00010749537929035329
0.44,0.00010986649441346143
0.45,0.00011223760953656955
0.46,0.0001146087246596777
0.47000000000000003,0.0001169798397827858
0.48,0.00011935095490589394
0.49,0.00012172207002900207
0.5,0.0001240931851521102
0.51,0.0001264643002752183
0.52,0.00012883541539832646
0.53,0.0001312065305214346
0.54,0.00013357764564454272
0.55,0.00013594876076765083
0.56,0.00013831987589075899
0.5700000000000001,0.00014069099101386712
0.58,0.00014306210613697522
0.59,0.00014543322126008335
0.6,0.00014780433638319148
0.61,0.00014931836070002577
0.62,0.00015083238501686008
0.63,0.0001523464093336944
0.64,0.00015386043365052867
0.65,0.000155374457967363
0.66,0.0001568884822841973
0.67,0.00015840250660103158
0.68,0.0001599165309178659
0.6900000000000001,0.00016143055523470018
0.7000000000000001,0.00016294457955153447
0.71,0.00016445860386836878
0.72,0.00016597262818520306
0.73,0.00016748665250203738
0.74,0.0001690006768188717
0.75,0.00017051470113570597
0.76,0.00017202872545254028
0.77,0.00017354274976937457
0.78,0.00017505677408620888
0.79,0.0001765707984030432
0.8,0.00017808482271987748
0.81,0.0001825314434297543
0.8200000000000001,0.00018697806413963097
0.8300000000000001,0.0001914246848495077
0.84,0.00019587130555938454
0.85,0.0002003179262692613
0.86,0.00020476454697913806
0.87,0.0002092111676890148
0.88,0.00021365778839889163
0.89,0.00021810440910876837
0.9,0.00022255102981864512
0.91,0.00022699765052852186
0.92,0.0002314442712383987
0.93,0.00023589089194827543
0.9400000000000001,0.00024033751265815212
0.9500000000000001,0.0002447841333680289
0.96,0.00024923075407790567
0.97,0.0002536773747877824
0.98,0.00025812399549765926
0.99,0.000262570616207536
1.0,0.00026701723691741275
