Request Id,decode_time_execution_plus_preemption_normalized
4,0.015541924754259787
5,0.03161497569766572
10,0.03809312656376047
3,0.03634047512074244
14,0.026206067742005196
0,0.039607951613774194
1,0.03993126589444326
6,0.041371982271505056
8,0.0424767719603285
15,0.03309030464260965
7,0.041506574953291686
24,0.04110950768201871
13,0.03498764101005582
26,0.02825812979716684
11,0.034558717148690674
16,0.03532775872337108
9,0.040819046411514126
2,0.03857374423614164
28,0.025081014401627497
33,0.0
19,0.03461149058342691
17,0.03464072851792033
12,0.03400425774040295
20,0.034495722867648675
36,0.026866313001645933
25,0.031347539737473555
22,0.03412988234552764
21,0.03373703382898027
34,0.031671837316852754
32,0.03226870694796543
31,0.03225986165887585
45,0.03265372624348835
37,0.03222325896953594
41,0.03445511014283365
44,0.035996643373900995
42,0.03504062353164828
43,0.034982655263622806
29,0.03378654380615551
35,0.034310266578050135
30,0.03407955781010065
47,0.035897893891178256
18,0.034570652468998216
57,0.028201002402248914
48,0.03544439807874566
23,0.03457940953028421
52,0.033986917912175306
39,0.03419516318624697
27,0.03341411513428802
38,0.03398973243729457
49,0.034787250195913964
56,0.029982314756253313
40,0.03398988870815104
63,0.03082542898939497
46,0.034270800461970174
67,0.02725077806793572
51,0.03277068396390312
64,0.03207489347975859
65,0.03255371923523423
54,0.032774933167469045
58,0.03295605093368016
73,0.0174883480502596
50,0.0331926717709831
55,0.03330602871799023
61,0.033889436633751414
59,0.03367589608430575
53,0.03390171924108542
71,0.03601747848887481
66,0.03442486461227305
60,0.034433270350421756
79,0.030071168468152425
70,0.03535654907783334
62,0.03436442740791162
69,0.034771030024641755
84,0.0
75,0.032883484106351675
74,0.03403986716665154
76,0.03252022593682177
68,0.03391836839487182
88,0.029500762991289814
77,0.034330281120138
72,0.03561994944242938
83,0.037431240749330685
86,0.03843455247771315
78,0.03597217365520885
82,0.036871256867300015
94,0.03189236105191274
80,0.03767732974483668
81,0.03891958538843101
87,0.04237251027968253
85,0.04279748836507592
89,0.04411250384276589
91,0.04502513696164282
90,0.048272974081724165
93,0.05556982088153666
92,0.05668918163766767
102,0.029271461233215924
108,0.02875924922295446
99,0.032193798188122354
96,0.04894517699617593
110,0.035159722288488564
95,0.0474616501389004
113,0.04118768546338973
104,0.037529139869227526
115,0.05107346072219611
114,0.051330678811801284
109,0.0461368656970827
98,0.042655801219961806
116,0.05509992705859888
119,0.024381677573192713
103,0.04282262364261416
112,0.049304121542502494
105,0.04299640477693028
97,0.04124255676933115
107,0.04293706754648962
101,0.04160129779549064
121,0.03421587949258549
100,0.041303653585112156
111,0.04748409948986541
106,0.04404722075396593
117,0.040762286887780844
122,0.0283371445908591
118,0.03628131105963949
120,0.0241459723200412
123,0.01082470871872708
126,0.009137766977766412
127,0.008946098309902008
125,0.009022484337056469
124,0.008927676355054691
