cdf,request_e2e_time
0.0,1.1214589084413478
0.01,7.092068956125453
0.02,10.701582180608378
0.03,15.826886788424137
0.04,20.173012737164
0.05,20.48827432925575
0.06,21.304497840236905
0.07,21.615224184155327
0.08,23.391961407859576
0.09,26.802160267108835
0.1,27.823658164409533
0.11,28.322445928864788
0.12,29.25820662498624
0.13,29.525018394807113
0.14,30.213599391846206
0.15,31.423936662762426
0.16,32.179318234779636
0.17,33.430118580447555
0.18,34.13174975586031
0.19,34.76354452151529
0.2,35.53938526303248
0.21,37.17369734220981
0.22,38.5200084492974
0.23,38.648024045161264
0.24,39.220610745520275
0.25,39.86159252391491
0.26,40.85403871696348
0.27,41.52874133619641
0.28,43.687015510778
0.29,46.793306264063006
0.3,47.29607725212214
0.31,47.63664226842903
0.32,48.26006732636043
0.33,48.77170881136316
0.34,49.05129174497661
0.35000000000000003,49.656782014409465
0.36,50.16717807877335
0.37,50.31858717734885
0.38,50.94639913103201
0.39,51.31629488519563
0.4,51.90330511076924
0.41000000000000003,52.131740091845224
0.42,52.20324595348926
0.43,53.696139221022996
0.44,55.37016097531634
0.45,56.32570895489661
0.46,57.32667430031714
0.47000000000000003,58.13966283948835
0.48,60.029266294601314
0.49,60.72049373327082
0.5,61.009013479499046
0.51,61.69086589305359
0.52,62.47426836074556
0.53,63.533473844261515
0.54,65.30203702844341
0.55,66.19719129201717
0.56,67.04973332578773
0.5700000000000001,67.24524959721317
0.58,68.11200058297541
0.59,68.98596865229291
0.6,69.65018847347885
0.61,71.43658771593616
0.62,74.01165546072954
0.63,76.69226055785035
0.64,80.14208713923178
0.65,82.12947702403149
0.66,82.96619518142077
0.67,84.129032452108
0.68,88.64391396013667
0.6900000000000001,90.4076721500034
0.7000000000000001,92.99624048021562
0.71,94.9268676303365
0.72,100.37551336691214
0.73,105.5831266338156
0.74,111.22498511405688
0.75,111.8315033554957
0.76,115.97936949100627
0.77,120.09600241447272
0.78,121.97272142853576
0.79,123.53796431090741
0.8,124.59129996807921
0.81,127.62764413813736
0.8200000000000001,128.67202805338175
0.8300000000000001,129.51443867382662
0.84,129.76115760866205
0.85,131.166177614333
0.86,132.17137696374604
0.87,132.5099400360029
0.88,132.75287145780288
0.89,134.24276241128763
0.9,134.71409500810665
0.91,135.36430123221413
0.92,137.30901084807402
0.93,138.40674867929792
0.9400000000000001,140.32153550104806
0.9500000000000001,140.85742886643237
0.96,141.4285732092636
0.97,142.03682159827903
0.98,142.23970244392024
0.99,142.53944795905278
1.0,143.5321590138019
