cdf,request_execution_plus_preemption_time_normalized
0.0,0.009087958846605204
0.01,0.009286110590477237
0.02,0.009939730121518322
0.03,0.022164362352650024
0.04,0.028743820852460904
0.05,0.031376986360647605
0.06,0.03196663845397528
0.07,0.032356405346065376
0.08,0.03250915649762813
0.09,0.03261875766975844
0.1,0.032876377974772074
0.11,0.032961493922986376
0.12,0.03306773284712022
0.13,0.03332583367423853
0.14,0.03355420867171824
0.15,0.03387505884316137
0.16,0.03393418264947824
0.17,0.034110185081791394
0.18,0.0342526004076422
0.19,0.03442846232414291
0.2,0.034462692160170186
0.21,0.03452188336603576
0.22,0.03461929085287433
0.23,0.03480152572592747
0.24,0.034885052463027026
0.25,0.0349773615962915
0.26,0.03521595684477995
0.27,0.03525018043115027
0.28,0.03533202213597696
0.29,0.035365694045340665
0.3,0.03541953918611883
0.31,0.03546259794832111
0.32,0.03580033251472857
0.33,0.036004362030372904
0.34,0.036087055150701076
0.35000000000000003,0.036170252394536105
0.36,0.03634965675969103
0.37,0.036447963756159545
0.38,0.03665799536609719
0.39,0.036761054310378384
0.4,0.036859592549347536
0.41000000000000003,0.036945354214078234
0.42,0.037252755371790645
0.43,0.037675580888228484
0.44,0.03784739549094164
0.45,0.03806195814028483
0.46,0.03843775213925243
0.47000000000000003,0.03862352381223529
0.48,0.03868474499271673
0.49,0.038824081528472935
0.5,0.039023963127732104
0.51,0.03912856693506434
0.52,0.039195844424246395
0.53,0.039338076509014275
0.54,0.03938131799502511
0.55,0.03951004170252238
0.56,0.03959880738093084
0.5700000000000001,0.03966689147371156
0.58,0.03975285669526948
0.59,0.03981459209124139
0.6,0.040028894546302235
0.61,0.04052424105265447
0.62,0.04079059696700532
0.63,0.04088401206646028
0.64,0.04118243274639314
0.65,0.041563795926209124
0.66,0.04235156074169871
0.67,0.04269084704487532
0.68,0.04304454481659498
0.6900000000000001,0.04316184386958691
0.7000000000000001,0.043829932573920434
0.71,0.04411006896958059
0.72,0.044308151913171445
0.73,0.0443674396623542
0.74,0.04465498846462789
0.75,0.04520021650117462
0.76,0.045721656834798126
0.77,0.04601252367145387
0.78,0.04683391029660328
0.79,0.04803740983445107
0.8,0.04921262788953922
0.81,0.04999556455384053
0.8200000000000001,0.05023461418275517
0.8300000000000001,0.051162277398731554
0.84,0.05139793905289757
0.85,0.05232049617529428
0.86,0.05282838052975071
0.87,0.05525047878464819
0.88,0.05755851886319013
0.89,0.058669622580739204
0.9,0.059357004453217434
0.91,0.060044164897726314
0.92,0.061005969500788106
0.93,0.06588187951326821
0.9400000000000001,0.06791191129683846
0.9500000000000001,0.07877590257087172
0.96,0.09033328940202415
0.97,0.20376599816327132
0.98,0.519492862128796
0.99,0.6522943651644878
1.0,1.5595622439603651
