Request Id,prefill_e2e_time
4,1.0748331341785684
5,0.9520414622604649
10,6.200659894777114
3,0.7481822978425906
14,16.303300268383122
0,0.3644838595468453
1,0.6590527622825161
6,2.235011592128025
8,4.429854457450158
15,16.830689352383494
7,3.850807057980216
24,22.89170165497485
13,15.949631119802559
26,26.891560191490214
11,15.851676773901536
16,16.755451878290543
9,5.446352915845182
2,0.777759998820132
28,27.632361262360053
33,29.246017277585914
19,19.698377517617224
17,17.563801278400135
12,16.060578203044354
20,21.43757840917367
36,32.19971485176474
25,26.915760158432548
22,21.67962528916504
21,21.719713862122767
34,31.031592243529573
32,28.777370165999695
31,28.63477931184952
45,35.192700410823406
37,32.17115063836364
41,33.022975609880234
44,34.02462224040217
42,33.63585420362753
43,33.669847713503614
29,28.111703518873462
35,32.110111863299565
30,28.017873318177585
47,35.52882635618241
18,18.734708997720453
57,46.59488160505462
48,35.69921462132258
23,22.079803089520915
52,41.3559759682948
39,32.32089879770662
27,27.23681818189325
38,32.35405898338366
49,37.389086063069605
56,46.45236993409401
40,32.35372267683787
63,48.562339976165944
46,35.544090773453405
67,51.441901368705786
51,40.98521886825759
64,49.76789015347007
65,49.82901943006887
54,43.878064439177024
58,46.70733706750695
73,57.115958129835875
50,40.54638808589385
55,45.80543113901424
61,47.95083028368447
59,46.74757638693362
53,42.963324104865706
71,53.33333718167185
66,49.85854437354374
60,47.52891071016533
79,63.580993164133034
70,52.63669740929537
62,48.69174975951996
69,52.201933366962884
84,67.10384841570284
75,60.05928624489548
74,57.21488482849649
76,60.09167795778267
68,51.777012779529805
88,71.87225158526314
77,61.125104589909476
72,55.18474949175837
83,66.6179561777284
86,67.7982580356878
78,63.72177840963505
82,65.51062603986473
94,82.61479983276296
80,64.45421408816749
81,64.91901948347835
87,71.27039188718877
85,67.71838228388086
89,72.62354656260332
91,78.04506864360575
90,77.0801399090065
93,81.50520736711725
92,79.40743499474407
102,110.57242609238936
108,112.39758201333537
99,110.30297934735144
96,93.60288605333415
110,114.03231267306458
95,91.77009835170024
113,116.62855320651371
104,110.86286051119733
115,116.65163467207998
114,116.83225365068346
109,112.99279074027271
98,110.62463045193665
116,117.09092862578568
119,129.35045841437278
103,110.33276990263832
112,116.14711989132473
105,110.75854307646266
97,110.58524349212092
107,111.52091458619321
101,110.5302521248526
121,129.771813713112
100,110.16924262189706
111,115.6706591801717
106,110.81973246890409
117,116.96314905291393
122,130.71957552341544
118,118.77560971365796
120,129.52686948167346
123,137.69453544548702
126,138.47114039557806
127,138.48845966756716
125,138.4709290822159
124,138.47909419684095
