cdf,request_scheduling_delay
0.0,0.0
0.01,0.29753518609586715
0.02,0.5010751156407682
0.03,0.6575235667778027
0.04,0.7134874725345747
0.05,1.1849468983219618
0.06,3.109981049684178
0.07,4.263908232244554
0.08,5.428874055032382
0.09,10.050197983917567
0.1,15.759429210946818
0.11,15.848028762007102
0.12,16.349115367072827
0.13,16.709073808979877
0.14,17.17885072337531
0.15,18.6144054790732
0.16,20.068754295458472
0.17,21.327721709243537
0.18,21.36511935449515
0.19,21.982189486239303
0.2,24.406336602297387
0.21,26.83119811992877
0.22,27.164513239341456
0.23,27.48979629613098
0.24,27.756284325432354
0.25,28.3872799123713
0.26,28.699323750866828
0.27,29.66359164544248
0.28,31.57242572977921
0.29,32.08491750787515
0.3,32.10418709649852
0.31,32.13996286861393
0.32,32.20921184331383
0.33,32.78060214267672
0.34,33.44340526754655
0.35000000000000003,33.659024225156145
0.36,34.72465614040115
0.37,35.355479001054555
0.38,35.515889219803384
0.39,36.5331432757905
0.4,39.856700516329965
0.41000000000000003,40.79057215431441
0.42,41.72324296466571
0.43,43.30419018478915
0.44,45.43828086575827
0.45,46.347884190494604
0.46,46.56113320678014
0.47000000000000003,46.638970735085955
0.48,47.38274163620441
0.49,47.951412249721
0.5,48.44215750512058
0.51,49.36101443941122
0.52,49.70174997005581
0.53,50.284312205854135
0.54,51.55689394705542
0.55,52.06966535626073
0.56,52.60093539129207
0.5700000000000001,53.85608150667418
0.58,56.39640579399583
0.59,57.140368332303495
0.6,59.936837471720786
0.61,60.44354924297939
0.62,62.78598958819316
0.63,63.48734676978841
0.64,64.44256910591038
0.65,65.10307765249193
0.66,66.40578264926378
0.67,67.10138287146394
0.68,67.58488111599803
0.6900000000000001,69.89630297032836
0.7000000000000001,71.69545362761325
0.71,73.29779993975738
0.72,77.33571261690983
0.73,78.90700125060816
0.74,81.37010337277115
0.75,84.74498977881281
0.76,92.62465871402031
0.77,106.52632090830687
0.78,109.99734968226322
0.79,110.13379396180524
0.8,110.20101881971915
0.81,110.42324487646705
0.8200000000000001,110.48615093160052
0.8300000000000001,110.66204114708783
0.84,110.72540468405825
0.85,111.43660854203789
0.86,112.24665383485349
0.87,113.41060833764267
0.88,115.19229070739661
0.89,116.01805468019994
0.9,116.47638885601464
0.91,116.56351267459607
0.92,116.81466184957611
0.93,117.08238552465536
0.9400000000000001,122.61133453280338
0.9500000000000001,129.29004689557783
0.96,129.69988611928085
0.97,131.944347937724
0.98,137.95579268670107
0.99,138.38475011024585
1.0,138.42618289195337
