cdf,prefill_e2e_time
0.0,0.37752787222097434
0.01,0.7084924330083652
0.02,0.922369731098361
0.03,3.033202773259372
0.04,4.8849434080652365
0.05,14.782185160355608
0.06,15.049025057313578
0.07,15.602768321582241
0.08,17.00491215248804
0.09,19.586592962673276
0.1,20.072726061831982
0.11,22.283461644286778
0.12,25.07775146060474
0.13,25.849165090140644
0.14,26.512680662347805
0.15,27.37239558618597
0.16,29.909863362584744
0.17,30.038849166526507
0.18,30.11268478388353
0.19,31.261027271635474
0.2,31.82466746762706
0.21,33.00369827173483
0.22,34.1119488837184
0.23,38.03401226979948
0.24,39.95605319709032
0.25,42.5590904771421
0.26,43.17036686524455
0.27,43.73369219127772
0.28,44.83083157906299
0.29,46.04579457080707
0.3,46.5492827082072
0.31,48.11095595397907
0.32,49.20189013294295
0.33,52.757473632019824
0.34,55.72011952565533
0.35000000000000003,57.6008873861209
0.36,59.679723212973805
0.37,60.849431435194674
0.38,62.50907324781837
0.39,63.84106301296234
0.4,67.4953053376178
0.41000000000000003,72.80956995619258
0.42,76.21187391593787
0.43,86.69831170171464
0.44,97.12415837227526
0.45,97.32260827040793
0.46,97.5372697414804
0.47000000000000003,97.71434805890027
0.48,98.2003817590483
0.49,99.30950263357914
0.5,101.06396546657837
0.51,101.39940627500653
0.52,101.59888280114768
0.53,108.95362869639166
0.54,110.370212780535
0.55,110.99047102248855
0.56,112.45804255744528
0.5700000000000001,113.21141936439234
0.58,114.41188960325967
0.59,117.69894952955636
0.6,118.2727370044598
0.61,118.47698628916794
0.62,118.51851751194728
0.63,121.18752751268269
0.64,121.43054264937113
0.65,122.07076366494326
0.66,122.52062064937205
0.67,123.36732561252674
0.68,124.52036357584748
0.6900000000000001,124.70453117937102
0.7000000000000001,124.78263757882
0.71,124.89347415329763
0.72,125.51449643845939
0.73,127.14966745884686
0.74,128.89626784276533
0.75,129.783154813976
0.76,130.31292668473284
0.77,130.47198936356128
0.78,131.05801263492972
0.79,131.71505151924976
0.8,132.1008809780732
0.81,133.21106818347297
0.8200000000000001,133.27708813466197
0.8300000000000001,133.85479798633895
0.84,135.4493214939605
0.85,135.84970501129
0.86,136.74077488239308
0.87,137.08558881235805
0.88,137.88764495837722
0.89,138.40599098309153
0.9,139.5359075625541
0.91,142.40849185128644
0.92,143.01465965290694
0.93,143.1551993213287
0.9400000000000001,146.45376855509818
0.9500000000000001,147.50647076689265
0.96,150.06203767213856
0.97,150.3959584716686
0.98,151.1094056363937
0.99,153.96138652396294
1.0,160.15318182668602
