cdf,request_e2e_time_normalized
0.0,0.02581707568233896
0.01,0.026514310948697023
0.02,0.02894395319580115
0.03,0.03192426577025502
0.04,0.03289966339166244
0.05,0.03472144551143569
0.06,0.039152769136393754
0.07,0.04566458979419307
0.08,0.05015729378221271
0.09,0.06284684105559132
0.1,0.06895201636845777
0.11,0.07251167477645137
0.12,0.07739545019375736
0.13,0.0821460896600869
0.14,0.08624260285564554
0.15,0.09211302154725004
0.16,0.09964826576445292
0.17,0.10574715552724513
0.18,0.10706350004341325
0.19,0.11257821835226232
0.2,0.11764474725535701
0.21,0.11992732115000027
0.22,0.1300745998593709
0.23,0.13447881803628695
0.24,0.14749493388656704
0.25,0.15220020027663855
0.26,0.15550939753298804
0.27,0.15701168516736277
0.28,0.16046671587740044
0.29,0.163766956300583
0.3,0.16606492096982375
0.31,0.16971318610069064
0.32,0.17143706374200324
0.33,0.17616057416908015
0.34,0.17972156020704658
0.35000000000000003,0.18443638184663064
0.36,0.1872611169431137
0.37,0.1893535661149856
0.38,0.19430621359856962
0.39,0.2008823667065343
0.4,0.2092843124233447
0.41000000000000003,0.212142646874544
0.42,0.21448360203841688
0.43,0.21600355797738147
0.44,0.21855236220425447
0.45,0.2215170638138131
0.46,0.22257594982186762
0.47000000000000003,0.23595130829554667
0.48,0.2420490173577804
0.49,0.24784032585892377
0.5,0.24991700856453092
0.51,0.25619781635814126
0.52,0.2604933548362078
0.53,0.2614122213728365
0.54,0.26528958185199303
0.55,0.27227444065523965
0.56,0.28254932070197175
0.5700000000000001,0.2893509924383587
0.58,0.2944321474154873
0.59,0.29733215791889744
0.6,0.3018051639696151
0.61,0.30802942870862804
0.62,0.3109161074424561
0.63,0.3181166600373464
0.64,0.32348098384255625
0.65,0.3253403610927349
0.66,0.33073608231317014
0.67,0.33554321918345004
0.68,0.34232170646959326
0.6900000000000001,0.35184822721101416
0.7000000000000001,0.3650892480581789
0.71,0.3765720817676972
0.72,0.3858992631899292
0.73,0.38986513514190446
0.74,0.39683740536784484
0.75,0.4103654752232877
0.76,0.42095118334873
0.77,0.43371664344810995
0.78,0.47623300209401404
0.79,0.5081764920279565
0.8,0.5196045863984817
0.81,0.5419154329083612
0.8200000000000001,0.5721832974421425
0.8300000000000001,0.6204768258530685
0.84,0.7117395537365572
0.85,0.8313023148622684
0.86,0.9832044028261998
0.87,1.0147832618823007
0.88,1.0875626211248164
0.89,1.1508825876752415
0.9,1.2771966904716499
0.91,1.853337335772017
0.92,2.0497591980556766
0.93,2.3405258757370886
0.9400000000000001,3.077494997733172
0.9500000000000001,4.072988521179177
0.96,6.183502154831675
0.97,7.595702399182208
0.98,10.630570985451962
0.99,25.119973845948834
1.0,62.517913005224486
